  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63-215                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.000 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4098   0.00786   0.00234  -0.0353   0.6431   0.0454
  -4.850  -0.3924   0.00774   0.00224  -0.0354   0.6392   0.0516
  -4.700  -0.3750   0.00762   0.00215  -0.0355   0.6353   0.0593
  -4.550  -0.3577   0.00749   0.00204  -0.0356   0.6311   0.0705
  -4.400  -0.3403   0.00734   0.00194  -0.0357   0.6284   0.0824
  -4.250  -0.3228   0.00720   0.00185  -0.0358   0.6253   0.0950
  -4.100  -0.3053   0.00707   0.00176  -0.0359   0.6217   0.1092
  -3.950  -0.2880   0.00693   0.00167  -0.0361   0.6178   0.1262
  -3.800  -0.2705   0.00678   0.00158  -0.0362   0.6143   0.1452
  -3.650  -0.2530   0.00662   0.00150  -0.0364   0.6114   0.1644
  -3.500  -0.2354   0.00648   0.00142  -0.0366   0.6079   0.1839
  -3.350  -0.2179   0.00633   0.00134  -0.0367   0.6041   0.2062
  -3.200  -0.2005   0.00617   0.00125  -0.0369   0.6002   0.2314
  -3.050  -0.1829   0.00601   0.00117  -0.0371   0.5974   0.2575
  -2.900  -0.1652   0.00586   0.00110  -0.0373   0.5948   0.2814
  -2.750  -0.1476   0.00571   0.00103  -0.0375   0.5916   0.3064
  -2.600  -0.1300   0.00555   0.00096  -0.0377   0.5880   0.3357
  -2.450  -0.1125   0.00538   0.00090  -0.0379   0.5840   0.3715
  -2.300  -0.0946   0.00528   0.00086  -0.0381   0.5810   0.3918
  -2.150  -0.0766   0.00521   0.00083  -0.0383   0.5782   0.4080
  -2.000  -0.0586   0.00514   0.00080  -0.0385   0.5750   0.4230
  -1.850  -0.0406   0.00508   0.00078  -0.0387   0.5717   0.4377
  -1.700  -0.0226   0.00503   0.00076  -0.0389   0.5680   0.4524
  -1.550  -0.0045   0.00500   0.00075  -0.0391   0.5650   0.4634
  -1.400   0.0137   0.00497   0.00074  -0.0393   0.5623   0.4701
  -1.250   0.0319   0.00497   0.00073  -0.0395   0.5590   0.4745
  -1.100   0.0501   0.00496   0.00072  -0.0397   0.5552   0.4805
  -0.950   0.0682   0.00496   0.00072  -0.0399   0.5511   0.4873
  -0.800   0.0863   0.00493   0.00072  -0.0401   0.5481   0.4948
  -0.650   0.1045   0.00492   0.00072  -0.0404   0.5448   0.5026
  -0.500   0.1227   0.00492   0.00072  -0.0405   0.5409   0.5075
  -0.350   0.1408   0.00492   0.00072  -0.0407   0.5367   0.5126
  -0.200   0.1590   0.00493   0.00072  -0.0409   0.5329   0.5168
  -0.050   0.1772   0.00493   0.00072  -0.0411   0.5302   0.5205
   0.100   0.1954   0.00494   0.00073  -0.0413   0.5267   0.5236
   0.250   0.2135   0.00494   0.00074  -0.0415   0.5229   0.5282
   0.400   0.2316   0.00495   0.00075  -0.0417   0.5185   0.5322
   0.550   0.2499   0.00496   0.00075  -0.0419   0.5157   0.5359
   0.700   0.2681   0.00497   0.00076  -0.0421   0.5124   0.5387
   0.850   0.2862   0.00498   0.00077  -0.0423   0.5083   0.5435
   1.000   0.3042   0.00500   0.00079  -0.0425   0.5033   0.5477
   1.150   0.3224   0.00501   0.00080  -0.0427   0.4989   0.5516
   1.300   0.3404   0.00504   0.00082  -0.0429   0.4924   0.5545
   1.450   0.3583   0.00509   0.00084  -0.0430   0.4846   0.5579
   1.600   0.3764   0.00510   0.00086  -0.0432   0.4785   0.5620
   1.750   0.3943   0.00514   0.00089  -0.0434   0.4725   0.5657
   1.900   0.4124   0.00517   0.00091  -0.0435   0.4680   0.5689
   2.050   0.4305   0.00520   0.00093  -0.0437   0.4632   0.5714
   2.200   0.4483   0.00524   0.00096  -0.0439   0.4561   0.5750
   2.350   0.4661   0.00529   0.00100  -0.0440   0.4467   0.5786
   2.500   0.4837   0.00537   0.00104  -0.0441   0.4333   0.5821
   2.650   0.5011   0.00547   0.00109  -0.0442   0.4190   0.5853
   2.800   0.5186   0.00557   0.00114  -0.0443   0.4056   0.5880
   2.950   0.5361   0.00564   0.00119  -0.0444   0.3931   0.5919
   3.100   0.5533   0.00576   0.00126  -0.0445   0.3769   0.5958
   3.250   0.5700   0.00593   0.00134  -0.0445   0.3526   0.5993
   3.400   0.5861   0.00618   0.00146  -0.0444   0.3202   0.6023
   3.550   0.6021   0.00643   0.00159  -0.0443   0.2902   0.6048
   3.700   0.6186   0.00662   0.00171  -0.0443   0.2676   0.6086
   3.850   0.6351   0.00681   0.00182  -0.0442   0.2465   0.6127
   4.000   0.6515   0.00700   0.00194  -0.0442   0.2251   0.6164
   4.300   0.6840   0.00742   0.00219  -0.0441   0.1829   0.6229
   4.450   0.6999   0.00765   0.00234  -0.0439   0.1606   0.6270
   4.600   0.7160   0.00786   0.00248  -0.0438   0.1406   0.6309
   4.750   0.7322   0.00806   0.00261  -0.0437   0.1240   0.6343
   4.900   0.7484   0.00827   0.00275  -0.0436   0.1084   0.6373
   5.050   0.7643   0.00848   0.00290  -0.0435   0.0929   0.6409
   5.200   0.7806   0.00865   0.00303  -0.0434   0.0818   0.6452
   5.350   0.7969   0.00883   0.00317  -0.0433   0.0715   0.6494
   5.500   0.8130   0.00902   0.00332  -0.0432   0.0619   0.6529
   5.650   0.8290   0.00921   0.00347  -0.0430   0.0527   0.6561
   5.800   0.8451   0.00939   0.00362  -0.0429   0.0455   0.6604
   5.950   0.8612   0.00955   0.00377  -0.0428   0.0399   0.6645
   6.100   0.8777   0.00970   0.00390  -0.0427   0.0363   0.6683
   6.250   0.8939   0.00985   0.00404  -0.0425   0.0331   0.6717
   6.400   0.9105   0.00997   0.00416  -0.0425   0.0315   0.6760
   6.550   0.9270   0.01009   0.00430  -0.0424   0.0301   0.6804
   6.700   0.9433   0.01023   0.00443  -0.0422   0.0289   0.6843
   6.850   0.9595   0.01038   0.00458  -0.0421   0.0272   0.6877
   7.000   0.9759   0.01050   0.00471  -0.0420   0.0264   0.6914
   7.150   0.9923   0.01061   0.00484  -0.0418   0.0259   0.6959
   7.300   1.0086   0.01074   0.00498  -0.0417   0.0252   0.7003
   7.450   1.0246   0.01089   0.00513  -0.0415   0.0245   0.7040
   7.600   1.0405   0.01104   0.00528  -0.0413   0.0236   0.7079
   7.750   1.0562   0.01119   0.00545  -0.0411   0.0226   0.7124
   7.900   1.0721   0.01134   0.00561  -0.0409   0.0218   0.7168
   8.050   1.0880   0.01147   0.00575  -0.0406   0.0215   0.7207
   8.200   1.1037   0.01162   0.00591  -0.0404   0.0209   0.7246
   8.350   1.1192   0.01177   0.00608  -0.0401   0.0201   0.7292
   8.500   1.1343   0.01194   0.00626  -0.0398   0.0193   0.7338
   8.650   1.1491   0.01214   0.00645  -0.0394   0.0180   0.7375
   8.800   1.1644   0.01230   0.00663  -0.0391   0.0176   0.7412
   8.950   1.1793   0.01247   0.00681  -0.0387   0.0168   0.7461
   9.100   1.1937   0.01266   0.00702  -0.0383   0.0158   0.7506
   9.250   1.2077   0.01289   0.00724  -0.0378   0.0146   0.7549
   9.400   1.2220   0.01307   0.00744  -0.0373   0.0141   0.7590
   9.550   1.2357   0.01328   0.00767  -0.0368   0.0133   0.7642
   9.700   1.2488   0.01352   0.00791  -0.0361   0.0125   0.7691
  10.000   1.2749   0.01397   0.00840  -0.0348   0.0116   0.7786
  10.150   1.2876   0.01419   0.00864  -0.0341   0.0113   0.7841
  10.300   1.2998   0.01442   0.00890  -0.0333   0.0111   0.7888
  10.450   1.3113   0.01467   0.00917  -0.0324   0.0108   0.7942
  10.600   1.3200   0.01491   0.00944  -0.0310   0.0104   0.8007
  10.750   1.3281   0.01516   0.00971  -0.0295   0.0103   0.8061
  10.900   1.3354   0.01544   0.01003  -0.0279   0.0101   0.8130
  11.050   1.3427   0.01575   0.01036  -0.0264   0.0099   0.8203
  11.200   1.3499   0.01608   0.01073  -0.0249   0.0097   0.8272
  11.350   1.3568   0.01644   0.01114  -0.0235   0.0095   0.8355
  11.500   1.3637   0.01683   0.01157  -0.0221   0.0093   0.8439
  11.650   1.3715   0.01719   0.01198  -0.0209   0.0093   0.8538
  11.800   1.3790   0.01758   0.01242  -0.0197   0.0092   0.8647
  11.950   1.3860   0.01799   0.01289  -0.0184   0.0092   0.8779
  12.100   1.3929   0.01839   0.01336  -0.0172   0.0091   0.8961
  12.250   1.3985   0.01876   0.01383  -0.0157   0.0091   0.9266
  12.700   1.4220   0.02026   0.01551  -0.0131   0.0088   1.0000
  12.850   1.4293   0.02084   0.01612  -0.0123   0.0089   1.0000
  13.000   1.4364   0.02145   0.01676  -0.0114   0.0088   1.0000
  13.150   1.4434   0.02210   0.01743  -0.0106   0.0087   1.0000
  13.300   1.4498   0.02279   0.01815  -0.0098   0.0086   1.0000
  13.450   1.4560   0.02351   0.01890  -0.0091   0.0085   1.0000
  13.600   1.4628   0.02421   0.01962  -0.0084   0.0085   1.0000
  13.750   1.4685   0.02500   0.02045  -0.0076   0.0084   1.0000
  13.900   1.4750   0.02575   0.02122  -0.0070   0.0084   1.0000
  14.050   1.4808   0.02657   0.02207  -0.0064   0.0083   1.0000
  14.200   1.4865   0.02741   0.02293  -0.0058   0.0082   1.0000
  14.350   1.4902   0.02843   0.02399  -0.0051   0.0081   1.0000
  14.500   1.4957   0.02932   0.02492  -0.0046   0.0082   1.0000
  14.650   1.5018   0.03018   0.02580  -0.0041   0.0081   1.0000
  14.800   1.5054   0.03126   0.02691  -0.0036   0.0080   1.0000
  14.950   1.5095   0.03231   0.02800  -0.0031   0.0080   1.0000
  15.100   1.5121   0.03352   0.02924  -0.0026   0.0079   1.0000
  15.250   1.5166   0.03459   0.03035  -0.0023   0.0079   1.0000
  15.400   1.5190   0.03585   0.03165  -0.0019   0.0078   1.0000
  15.550   1.5220   0.03708   0.03292  -0.0016   0.0077   1.0000
  15.700   1.5237   0.03848   0.03436  -0.0013   0.0076   1.0000
  15.850   1.5255   0.03989   0.03581  -0.0011   0.0076   1.0000
  16.000   1.5272   0.04136   0.03732  -0.0010   0.0075   1.0000
  16.150   1.5272   0.04302   0.03904  -0.0009   0.0075   1.0000
  16.300   1.5265   0.04478   0.04085  -0.0009   0.0074   1.0000
  16.450   1.5297   0.04618   0.04229  -0.0009   0.0075   1.0000
  16.600   1.5264   0.04830   0.04447  -0.0011   0.0073   1.0000
  16.750   1.5227   0.05054   0.04678  -0.0013   0.0072   1.0000
  16.900   1.5245   0.05219   0.04847  -0.0016   0.0073   1.0000
  17.050   1.5226   0.05430   0.05064  -0.0019   0.0072   1.0000
  17.200   1.5243   0.05602   0.05239  -0.0022   0.0072   1.0000
  17.350   1.5235   0.05808   0.05451  -0.0027   0.0072   1.0000
  17.500   1.5226   0.06020   0.05667  -0.0032   0.0072   1.0000
  17.650   1.5263   0.06177   0.05827  -0.0036   0.0071   1.0000
  17.800   1.5207   0.06454   0.06111  -0.0044   0.0071   1.0000
  17.950   1.5243   0.06616   0.06276  -0.0049   0.0071   1.0000
  18.100   1.5180   0.06911   0.06578  -0.0059   0.0071   1.0000
  18.250   1.5171   0.07139   0.06811  -0.0067   0.0071   1.0000
  18.400   1.5166   0.07367   0.07043  -0.0075   0.0070   1.0000
  18.550   1.5175   0.07575   0.07255  -0.0083   0.0070   1.0000
  18.700   1.5090   0.07922   0.07610  -0.0097   0.0070   1.0000
  18.850   1.5086   0.08155   0.07847  -0.0107   0.0070   1.0000
  19.000   1.5024   0.08478   0.08176  -0.0121   0.0070   1.0000
  19.150   1.4991   0.08763   0.08466  -0.0134   0.0070   1.0000
  19.300   1.4949   0.09067   0.08776  -0.0149   0.0069   1.0000
  19.450   1.4857   0.09454   0.09169  -0.0168   0.0069   1.0000
  19.600   1.4844   0.09717   0.09437  -0.0181   0.0069   1.0000
  19.750   1.4742   0.10128   0.09855  -0.0203   0.0069   1.0000
  19.900   1.4696   0.10455   0.10187  -0.0220   0.0068   1.0000
  20.050   1.4630   0.10819   0.10556  -0.0240   0.0068   1.0000
