  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     5.000 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2189   0.00632   0.00178  -0.0809   0.7456   0.0109
  -4.850  -0.2015   0.00627   0.00173  -0.0810   0.7419   0.0111
  -4.700  -0.1841   0.00623   0.00167  -0.0810   0.7380   0.0112
  -4.550  -0.1665   0.00618   0.00161  -0.0811   0.7351   0.0113
  -4.400  -0.1490   0.00610   0.00152  -0.0813   0.7319   0.0115
  -4.250  -0.1316   0.00601   0.00140  -0.0813   0.7281   0.0122
  -4.100  -0.1142   0.00594   0.00132  -0.0814   0.7239   0.0129
  -3.950  -0.0967   0.00588   0.00125  -0.0816   0.7209   0.0134
  -3.800  -0.0791   0.00582   0.00119  -0.0817   0.7176   0.0138
  -3.650  -0.0616   0.00577   0.00113  -0.0818   0.7138   0.0144
  -3.500  -0.0442   0.00573   0.00108  -0.0819   0.7098   0.0150
  -3.350  -0.0266   0.00568   0.00103  -0.0820   0.7068   0.0154
  -3.200  -0.0091   0.00564   0.00099  -0.0822   0.7037   0.0158
  -3.050   0.0085   0.00561   0.00095  -0.0823   0.6999   0.0159
  -2.900   0.0259   0.00558   0.00091  -0.0824   0.6957   0.0160
  -2.750   0.0435   0.00553   0.00084  -0.0826   0.6926   0.0173
  -2.600   0.0610   0.00548   0.00080  -0.0827   0.6895   0.0195
  -2.450   0.0786   0.00544   0.00076  -0.0828   0.6859   0.0213
  -2.300   0.0960   0.00541   0.00073  -0.0830   0.6820   0.0224
  -2.150   0.1136   0.00539   0.00070  -0.0831   0.6788   0.0229
  -2.000   0.1312   0.00536   0.00067  -0.0833   0.6760   0.0231
  -1.850   0.1487   0.00533   0.00064  -0.0834   0.6727   0.0266
  -1.700   0.1662   0.00529   0.00061  -0.0836   0.6691   0.0301
