altitude_m,T_K,T_degC,P_Pa,rho_kg_m3,a_m_s,mu_Pa_s,nu_m2_s,note
0,288.15,15.0,101325.0,1.22501,340.292,1.78940e-05,1.46072e-05,takeoff (SL)
500,284.9,11.75,95460.78,1.16728,338.368,1.77525e-05,1.52084e-05,
1000,281.65,8.5,89874.46,1.11165,336.432,1.76105e-05,1.58417e-05,
1500,278.4,5.25,84555.84,1.05808,334.486,1.74680e-05,1.65092e-05,
2000,275.15,2.0,79495.01,1.0065,332.527,1.73250e-05,1.72131e-05,
2500,271.9,-1.25,74682.29,0.95687,330.558,1.71815e-05,1.79560e-05,
3000,268.65,-4.5,70108.27,0.90913,328.576,1.70375e-05,1.87405e-05,
3048,268.338,-4.812,69681.38,0.90464,328.385,1.70236e-05,1.88181e-05,descent (FL100)
3500,265.4,-7.75,65763.78,0.86323,326.583,1.68929e-05,1.95694e-05,
4000,262.15,-11.0,61639.91,0.81913,324.577,1.67479e-05,2.04458e-05,
4500,258.9,-14.25,57727.98,0.77678,322.559,1.66022e-05,2.13732e-05,
4572,258.432,-14.718,57181.61,0.77082,322.267,1.65812e-05,2.15112e-05,climb (FL150)
5000,255.65,-17.5,54019.55,0.73612,320.528,1.64561e-05,2.23552e-05,
5500,252.4,-20.75,50506.43,0.69711,318.484,1.63094e-05,2.33958e-05,
6000,249.15,-24.0,47180.64,0.6597,316.427,1.61621e-05,2.44992e-05,
6500,245.9,-27.25,44034.45,0.62384,314.356,1.60142e-05,2.56702e-05,
7000,242.65,-30.5,41060.35,0.5895,312.272,1.58657e-05,2.69139e-05,
7500,239.4,-33.75,38251.03,0.55662,310.174,1.57167e-05,2.82358e-05,
8000,236.15,-37.0,35599.41,0.52517,308.061,1.55670e-05,2.96421e-05,
8500,232.9,-40.25,33098.64,0.49509,305.934,1.54168e-05,3.11394e-05,
9000,229.65,-43.5,30742.07,0.46635,303.792,1.52658e-05,3.27350e-05,
9500,226.4,-46.75,28523.23,0.4389,301.634,1.51143e-05,3.44368e-05,
10000,223.15,-50.0,26435.89,0.4127,299.462,1.49621e-05,3.62537e-05,
10500,219.9,-53.25,24474.0,0.38772,297.273,1.48092e-05,3.81953e-05,
10668,218.808,-54.342,23841.93,0.3796,296.534,1.47577e-05,3.88775e-05,cruise (FL350)
11000,216.65,-56.5,22631.7,0.36392,295.068,1.46557e-05,4.02721e-05,tropopause
