  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.000 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5669   0.00720   0.00229  -0.0023   0.8793   0.0691
  -4.850  -0.5502   0.00712   0.00220  -0.0021   0.8694   0.0734
  -4.700  -0.5335   0.00705   0.00212  -0.0019   0.8581   0.0792
  -4.550  -0.5167   0.00696   0.00203  -0.0018   0.8470   0.0851
  -4.400  -0.4999   0.00688   0.00195  -0.0016   0.8357   0.0920
  -4.250  -0.4831   0.00682   0.00187  -0.0015   0.8236   0.0982
  -4.100  -0.4664   0.00673   0.00179  -0.0013   0.8110   0.1071
  -3.950  -0.4494   0.00667   0.00173  -0.0012   0.7984   0.1136
  -3.800  -0.4326   0.00659   0.00165  -0.0011   0.7861   0.1230
  -3.650  -0.4158   0.00652   0.00158  -0.0010   0.7730   0.1328
  -3.500  -0.3988   0.00647   0.00152  -0.0009   0.7599   0.1412
  -3.350  -0.3819   0.00639   0.00146  -0.0008   0.7470   0.1529
  -3.200  -0.3650   0.00632   0.00140  -0.0007   0.7340   0.1644
  -3.050  -0.3480   0.00628   0.00134  -0.0007   0.7201   0.1739
  -2.900  -0.3310   0.00622   0.00129  -0.0006   0.7061   0.1854
  -2.600  -0.2971   0.00610   0.00119  -0.0005   0.6785   0.2114
  -2.450  -0.2801   0.00604   0.00114  -0.0004   0.6656   0.2237
  -2.300  -0.2630   0.00600   0.00110  -0.0004   0.6527   0.2368
  -2.150  -0.2459   0.00596   0.00107  -0.0003   0.6386   0.2487
  -2.000  -0.2289   0.00592   0.00103  -0.0003   0.6244   0.2621
  -1.850  -0.2118   0.00587   0.00100  -0.0002   0.6107   0.2767
  -1.700  -0.1947   0.00583   0.00097  -0.0002   0.5969   0.2900
  -1.550  -0.1775   0.00579   0.00094  -0.0002   0.5844   0.3034
  -1.400  -0.1604   0.00577   0.00091  -0.0001   0.5709   0.3171
  -1.250  -0.1433   0.00574   0.00089  -0.0001   0.5574   0.3309
  -1.100  -0.1260   0.00572   0.00087  -0.0001   0.5441   0.3443
  -0.950  -0.1089   0.00569   0.00085  -0.0001   0.5308   0.3586
