  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-210                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.000 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3897   0.00746   0.00249  -0.0399   0.7803   0.0120
  -4.850  -0.3727   0.00736   0.00237  -0.0400   0.7768   0.0123
  -4.700  -0.3555   0.00728   0.00228  -0.0400   0.7728   0.0125
  -4.550  -0.3383   0.00722   0.00220  -0.0400   0.7685   0.0127
  -4.400  -0.3212   0.00714   0.00210  -0.0401   0.7644   0.0128
  -4.250  -0.3040   0.00706   0.00201  -0.0401   0.7609   0.0129
  -4.100  -0.2870   0.00690   0.00181  -0.0401   0.7569   0.0138
  -3.950  -0.2700   0.00681   0.00168  -0.0401   0.7530   0.0149
  -3.800  -0.2528   0.00673   0.00160  -0.0402   0.7495   0.0158
  -3.650  -0.2355   0.00665   0.00153  -0.0403   0.7462   0.0165
  -3.500  -0.2182   0.00658   0.00145  -0.0403   0.7424   0.0172
  -3.350  -0.2009   0.00653   0.00138  -0.0404   0.7384   0.0179
  -3.200  -0.1836   0.00648   0.00132  -0.0405   0.7348   0.0184
  -3.050  -0.1662   0.00643   0.00127  -0.0406   0.7314   0.0188
  -2.900  -0.1489   0.00636   0.00118  -0.0407   0.7275   0.0205
  -2.750  -0.1317   0.00630   0.00112  -0.0408   0.7236   0.0234
  -2.600  -0.1144   0.00624   0.00107  -0.0409   0.7203   0.0256
  -2.450  -0.0970   0.00619   0.00102  -0.0410   0.7169   0.0270
  -2.300  -0.0796   0.00615   0.00097  -0.0411   0.7131   0.0275
  -2.150  -0.0622   0.00611   0.00093  -0.0412   0.7092   0.0304
  -2.000  -0.0449   0.00606   0.00089  -0.0413   0.7059   0.0350
  -1.850  -0.0275   0.00600   0.00085  -0.0414   0.7026   0.0396
  -1.700  -0.0105   0.00585   0.00079  -0.0415   0.6988   0.0719
  -1.550   0.0064   0.00568   0.00073  -0.0416   0.6949   0.1157
  -1.400   0.0234   0.00550   0.00067  -0.0418   0.6917   0.1630
  -1.250   0.0402   0.00524   0.00061  -0.0419   0.6884   0.2293
  -1.100   0.0567   0.00492   0.00054  -0.0421   0.6848   0.3166
  -0.950   0.0730   0.00455   0.00046  -0.0423   0.6811   0.4205
  -0.800   0.0896   0.00426   0.00041  -0.0424   0.6779   0.5018
  -0.650   0.1067   0.00410   0.00039  -0.0426   0.6747   0.5509
  -0.500   0.1239   0.00400   0.00039  -0.0427   0.6704   0.5851
  -0.350   0.1411   0.00397   0.00039  -0.0428   0.6651   0.6068
  -0.200   0.1586   0.00394   0.00039  -0.0429   0.6603   0.6213
  -0.050   0.1760   0.00392   0.00039  -0.0430   0.6543   0.6324
   0.100   0.1933   0.00394   0.00040  -0.0431   0.6443   0.6408
   0.250   0.2105   0.00397   0.00041  -0.0432   0.6330   0.6498
   0.400   0.2278   0.00396   0.00042  -0.0433   0.6249   0.6628
   0.550   0.2451   0.00397   0.00043  -0.0434   0.6164   0.6718
   0.700   0.2624   0.00401   0.00045  -0.0435   0.6052   0.6766
   0.850   0.2796   0.00407   0.00046  -0.0436   0.5922   0.6804
   1.000   0.2967   0.00412   0.00048  -0.0436   0.5760   0.6844
   1.150   0.3134   0.00423   0.00052  -0.0436   0.5511   0.6882
   1.300   0.3293   0.00444   0.00057  -0.0435   0.5051   0.6917
   1.450   0.3440   0.00480   0.00067  -0.0433   0.4331   0.6950
   1.600   0.3582   0.00522   0.00081  -0.0430   0.3505   0.6990
   1.900   0.3874   0.00601   0.00108  -0.0425   0.1983   0.7064
   2.050   0.4028   0.00630   0.00120  -0.0423   0.1446   0.7100
   2.200   0.4184   0.00657   0.00132  -0.0421   0.0967   0.7141
   2.350   0.4346   0.00675   0.00141  -0.0421   0.0690   0.7181
   2.500   0.4508   0.00694   0.00150  -0.0420   0.0431   0.7215
