alpha,cd
-5.000000,0.006640
-4.850000,0.006590
-4.700000,0.006540
-4.550000,0.006480
-4.400000,0.006390
-4.250000,0.006310
-4.100000,0.006240
-3.950000,0.006170
-3.800000,0.006110
-3.650000,0.006060
-3.500000,0.006010
-3.350000,0.005960
-3.200000,0.005920
-3.050000,0.005890
-2.900000,0.005860
-2.750000,0.005800
-2.600000,0.005750
-2.450000,0.005710
-2.300000,0.005680
-2.150000,0.005650
-2.000000,0.005620
-1.850000,0.005590
-1.700000,0.005550
-1.550000,0.005520
-1.400000,0.005490
-1.250000,0.005450
-1.100000,0.005360
-0.950000,0.005270
-0.800000,0.005090
-0.650000,0.004930
-0.350000,0.004450
-0.200000,0.004220
-0.050000,0.004070
0.100000,0.004020
0.250000,0.004020
0.400000,0.004030
0.550000,0.004060
0.700000,0.004110
0.850000,0.004190
1.000000,0.004300
1.150000,0.004540
1.300000,0.005010
1.450000,0.005400
1.600000,0.005660
1.750000,0.006040
1.900000,0.006400
2.050000,0.006640
2.200000,0.006820
2.350000,0.006970
2.500000,0.007160
2.650000,0.007280
2.800000,0.007350
2.950000,0.007430
3.100000,0.007500
3.250000,0.007570
3.400000,0.007640
3.550000,0.007710
3.700000,0.007810
3.850000,0.007910
4.000000,0.007990
4.150000,0.008090
4.300000,0.008200
4.450000,0.008310
4.600000,0.008400
4.750000,0.008500
4.900000,0.008600
5.050000,0.008710
5.200000,0.008820
5.350000,0.008930
5.500000,0.009060
5.650000,0.009180
5.800000,0.009310
5.950000,0.009440
6.100000,0.009590
6.250000,0.009740
6.400000,0.009920
6.550000,0.010130
6.700000,0.010250
6.850000,0.010380
7.000000,0.010530
7.150000,0.010640
7.300000,0.010790
7.450000,0.010950
7.600000,0.011110
7.750000,0.011290
7.900000,0.011460
8.050000,0.011630
8.200000,0.011790
8.350000,0.011980
8.500000,0.012170
8.650000,0.012360
8.800000,0.012580
8.950000,0.012830
9.100000,0.013130
9.250000,0.013400
9.400000,0.013600
9.550000,0.013800
9.700000,0.014020
9.850000,0.014230
10.000000,0.014420
10.300000,0.014810
10.450000,0.015070
10.600000,0.015360
10.750000,0.015680
10.900000,0.016040
11.050000,0.016390
11.200000,0.016750
11.350000,0.017130
11.500000,0.017510
11.650000,0.017910
11.800000,0.018330
11.950000,0.018780
12.100000,0.019280
12.250000,0.019790
12.400000,0.020370
12.550000,0.020990
12.700000,0.021590
12.850000,0.022210
13.000000,0.022880
13.150000,0.023580
13.300000,0.024360
13.450000,0.025130
13.600000,0.025990
13.750000,0.026940
13.900000,0.027920
14.050000,0.028950
14.200000,0.030070
14.350000,0.031280
14.500000,0.032590
14.650000,0.033980
14.800000,0.035470
14.950000,0.037090
15.100000,0.038840
15.250000,0.040720
15.400000,0.042750
15.550000,0.044860
15.700000,0.047160
15.850000,0.049820
16.000000,0.052350
16.150000,0.055230
16.300000,0.058450
16.450000,0.061750
16.600000,0.065250
16.750000,0.069150
16.900000,0.073390
17.050000,0.077950
17.200000,0.082570
17.350000,0.087430
17.500000,0.092860
17.650000,0.098940
17.800000,0.105070
17.950000,0.111900
18.100000,0.119420
18.250000,0.128410
18.400000,0.141020
19.000000,0.246040
19.150000,0.248880
19.300000,0.251620
19.450000,0.254820
19.600000,0.257230
19.750000,0.260020
19.900000,0.262640
20.050000,0.265250
20.200000,0.268140
20.350000,0.272430
20.500000,0.275240
20.650000,0.277740
20.800000,0.280590
20.950000,0.284650
21.100000,0.287760
21.250000,0.290960
21.400000,0.293730
21.550000,0.296350
21.700000,0.298960
21.850000,0.301280
22.000000,0.303750
22.150000,0.306140
22.300000,0.308420
22.450000,0.310580
22.600000,0.312710
22.750000,0.314860
22.900000,0.316990
23.050000,0.318860
