alpha,cl
-5.000000,-0.219600
-4.850000,-0.202300
-4.700000,-0.184800
-4.550000,-0.167300
-4.400000,-0.149900
-4.250000,-0.132500
-4.100000,-0.115100
-3.950000,-0.097600
-3.800000,-0.080100
-3.650000,-0.062700
-3.500000,-0.045300
-3.350000,-0.027700
-3.200000,-0.010200
-3.050000,0.007300
-2.900000,0.024700
-2.750000,0.042300
-2.600000,0.059800
-2.450000,0.077300
-2.300000,0.094700
-2.150000,0.112300
-2.000000,0.129800
-1.850000,0.147400
-1.700000,0.164800
-1.550000,0.182300
-1.400000,0.199900
-1.250000,0.217400
-1.100000,0.234900
-0.950000,0.252400
-0.800000,0.269900
-0.650000,0.287400
-0.350000,0.322300
-0.200000,0.339700
-0.050000,0.357100
0.100000,0.374500
0.250000,0.391600
0.400000,0.408700
0.550000,0.425800
0.700000,0.442800
0.850000,0.459600
1.000000,0.476000
1.150000,0.491200
1.300000,0.504300
1.450000,0.518300
1.600000,0.533500
1.750000,0.547600
1.900000,0.562000
2.050000,0.577500
2.200000,0.593500
2.350000,0.609700
2.500000,0.625600
2.650000,0.642200
2.800000,0.659000
2.950000,0.675900
3.100000,0.692800
3.250000,0.709800
3.400000,0.726700
3.550000,0.743600
3.700000,0.760200
3.850000,0.776800
4.000000,0.793600
4.150000,0.810200
4.300000,0.826800
4.450000,0.843200
4.600000,0.859900
4.750000,0.876500
4.900000,0.893000
5.050000,0.909500
5.200000,0.925800
5.350000,0.942200
5.500000,0.958500
5.650000,0.974800
5.800000,0.991000
5.950000,1.007100
6.100000,1.023100
6.250000,1.039000
6.400000,1.054700
6.550000,1.070100
6.700000,1.086200
6.850000,1.102200
7.000000,1.118100
7.150000,1.134200
7.300000,1.150100
7.450000,1.165600
7.600000,1.181200
7.750000,1.196700
7.900000,1.212000
8.050000,1.227400
8.200000,1.242800
8.350000,1.258000
8.500000,1.273000
8.650000,1.287800
8.800000,1.302400
8.950000,1.316500
9.100000,1.330000
9.250000,1.343500
9.400000,1.357800
9.550000,1.371900
9.700000,1.385600
9.850000,1.399100
10.000000,1.411800
10.300000,1.437600
10.450000,1.451300
10.600000,1.464500
10.750000,1.477200
10.900000,1.489300
11.050000,1.501400
11.200000,1.513200
11.350000,1.524100
11.500000,1.533500
11.650000,1.542000
11.800000,1.550000
11.950000,1.557800
12.100000,1.565000
12.250000,1.572200
12.400000,1.578800
12.550000,1.584900
12.700000,1.591500
12.850000,1.597900
13.000000,1.603800
13.150000,1.609500
13.300000,1.614400
13.450000,1.619500
13.600000,1.623700
13.750000,1.627100
13.900000,1.630200
14.050000,1.632900
14.200000,1.634900
14.350000,1.636000
14.500000,1.636400
14.650000,1.636200
14.800000,1.635100
14.950000,1.633100
15.100000,1.630200
15.250000,1.626500
15.400000,1.621700
15.550000,1.616700
15.700000,1.610800
15.850000,1.602100
16.000000,1.595300
16.150000,1.586500
16.300000,1.576000
16.450000,1.565900
16.600000,1.555300
16.750000,1.543000
16.900000,1.529800
17.050000,1.515900
17.200000,1.502800
17.350000,1.489700
17.500000,1.475000
17.650000,1.458400
17.800000,1.443100
17.950000,1.425700
18.100000,1.406800
18.250000,1.383300
18.400000,1.346500
19.000000,1.063500
19.150000,1.067000
19.300000,1.070700
19.450000,1.073700
19.600000,1.077900
19.750000,1.081500
19.900000,1.085400
20.050000,1.089400
20.200000,1.093100
20.350000,1.095300
20.500000,1.099200
20.650000,1.103600
20.800000,1.107700
20.950000,1.110900
21.100000,1.115000
21.250000,1.119100
21.400000,1.123500
21.550000,1.128000
21.700000,1.132600
21.850000,1.137200
22.000000,1.141700
22.150000,1.146400
22.300000,1.150900
22.450000,1.155600
22.600000,1.160200
22.750000,1.164900
22.900000,1.169500
23.050000,1.174100
