alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.219600,0.006640,-0.080600,-33.072289,4000000.000000,6.000000
-4.850000,-0.202300,0.006590,-0.080700,-30.698027,4000000.000000,6.000000
-4.700000,-0.184800,0.006540,-0.080800,-28.256881,4000000.000000,6.000000
-4.550000,-0.167300,0.006480,-0.080900,-25.817901,4000000.000000,6.000000
-4.400000,-0.149900,0.006390,-0.081000,-23.458529,4000000.000000,6.000000
-4.250000,-0.132500,0.006310,-0.081000,-20.998415,4000000.000000,6.000000
-4.100000,-0.115100,0.006240,-0.081100,-18.445513,4000000.000000,6.000000
-3.950000,-0.097600,0.006170,-0.081300,-15.818476,4000000.000000,6.000000
-3.800000,-0.080100,0.006110,-0.081400,-13.109656,4000000.000000,6.000000
-3.650000,-0.062700,0.006060,-0.081500,-10.346535,4000000.000000,6.000000
-3.500000,-0.045300,0.006010,-0.081600,-7.537438,4000000.000000,6.000000
-3.350000,-0.027700,0.005960,-0.081700,-4.647651,4000000.000000,6.000000
-3.200000,-0.010200,0.005920,-0.081900,-1.722973,4000000.000000,6.000000
-3.050000,0.007300,0.005890,-0.082000,1.239389,4000000.000000,6.000000
-2.900000,0.024700,0.005860,-0.082100,4.215017,4000000.000000,6.000000
-2.750000,0.042300,0.005800,-0.082200,7.293103,4000000.000000,6.000000
-2.600000,0.059800,0.005750,-0.082400,10.400000,4000000.000000,6.000000
-2.450000,0.077300,0.005710,-0.082500,13.537653,4000000.000000,6.000000
-2.300000,0.094700,0.005680,-0.082600,16.672535,4000000.000000,6.000000
-2.150000,0.112300,0.005650,-0.082800,19.876106,4000000.000000,6.000000
-2.000000,0.129800,0.005620,-0.082900,23.096085,4000000.000000,6.000000
-1.850000,0.147400,0.005590,-0.083100,26.368515,4000000.000000,6.000000
-1.700000,0.164800,0.005550,-0.083200,29.693694,4000000.000000,6.000000
-1.550000,0.182300,0.005520,-0.083300,33.025362,4000000.000000,6.000000
-1.400000,0.199900,0.005490,-0.083500,36.411658,4000000.000000,6.000000
-1.250000,0.217400,0.005450,-0.083700,39.889908,4000000.000000,6.000000
-1.100000,0.234900,0.005360,-0.083800,43.824627,4000000.000000,6.000000
