  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     4.000 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2196   0.00664   0.00191  -0.0806   0.7429   0.0109
  -4.850  -0.2023   0.00659   0.00184  -0.0807   0.7388   0.0111
  -4.700  -0.1848   0.00654   0.00178  -0.0808   0.7355   0.0112
  -4.550  -0.1673   0.00648   0.00171  -0.0809   0.7324   0.0113
  -4.400  -0.1499   0.00639   0.00160  -0.0810   0.7290   0.0116
  -4.250  -0.1325   0.00631   0.00149  -0.0810   0.7253   0.0124
  -4.100  -0.1151   0.00624   0.00141  -0.0811   0.7219   0.0129
  -3.950  -0.0976   0.00617   0.00134  -0.0813   0.7189   0.0134
  -3.800  -0.0801   0.00611   0.00128  -0.0814   0.7154   0.0140
  -3.650  -0.0627   0.00606   0.00122  -0.0815   0.7116   0.0146
  -3.500  -0.0453   0.00601   0.00116  -0.0816   0.7080   0.0151
  -3.350  -0.0277   0.00596   0.00111  -0.0817   0.7051   0.0155
  -3.200  -0.0102   0.00592   0.00106  -0.0819   0.7017   0.0158
  -3.050   0.0073   0.00589   0.00101  -0.0820   0.6981   0.0159
  -2.900   0.0247   0.00586   0.00097  -0.0821   0.6943   0.0161
  -2.750   0.0423   0.00580   0.00090  -0.0822   0.6915   0.0176
  -2.600   0.0598   0.00575   0.00086  -0.0824   0.6882   0.0197
  -2.450   0.0773   0.00571   0.00082  -0.0825   0.6845   0.0212
  -2.300   0.0947   0.00568   0.00079  -0.0826   0.6808   0.0223
  -2.150   0.1123   0.00565   0.00075  -0.0828   0.6780   0.0229
  -2.000   0.1298   0.00562   0.00072  -0.0829   0.6749   0.0233
  -1.850   0.1474   0.00559   0.00069  -0.0831   0.6715   0.0265
  -1.700   0.1648   0.00555   0.00066  -0.0832   0.6679   0.0297
  -1.550   0.1823   0.00552   0.00064  -0.0833   0.6648   0.0324
  -1.400   0.1999   0.00549   0.00061  -0.0835   0.6622   0.0367
  -1.250   0.2174   0.00545   0.00059  -0.0837   0.6591   0.0443
  -1.100   0.2349   0.00536   0.00056  -0.0838   0.6558   0.0701
  -0.950   0.2524   0.00527   0.00054  -0.0840   0.6522   0.1008
  -0.800   0.2699   0.00509   0.00051  -0.0843   0.6490   0.1622
  -0.650   0.2874   0.00493   0.00049  -0.0846   0.6445   0.2190
  -0.350   0.3223   0.00445   0.00043  -0.0853   0.6331   0.3954
  -0.200   0.3397   0.00422   0.00041  -0.0856   0.6266   0.4814
  -0.050   0.3571   0.00407   0.00041  -0.0859   0.6211   0.5462
   0.100   0.3745   0.00402   0.00042  -0.0861   0.6141   0.5748
   0.250   0.3916   0.00402   0.00044  -0.0862   0.6008   0.5989
   0.400   0.4087   0.00403   0.00046  -0.0862   0.5899   0.6196
   0.550   0.4258   0.00406   0.00048  -0.0863   0.5786   0.6336
   0.700   0.4428   0.00411   0.00051  -0.0864   0.5648   0.6418
   0.850   0.4596   0.00419   0.00054  -0.0864   0.5470   0.6490
   1.000   0.4760   0.00430   0.00058  -0.0863   0.5229   0.6547
   1.150   0.4912   0.00454   0.00066  -0.0861   0.4765   0.6598
   1.300   0.5043   0.00501   0.00082  -0.0855   0.3933   0.6633
   1.450   0.5183   0.00540   0.00097  -0.0851   0.3247   0.6664
