alpha,cd
-5.000000,0.007700
-4.850000,0.007490
-4.700000,0.007390
-4.550000,0.007320
-4.400000,0.007240
-4.250000,0.007160
-4.100000,0.007080
-3.950000,0.007020
-3.800000,0.006960
-3.650000,0.006890
-3.500000,0.006830
-3.350000,0.006740
-3.200000,0.006640
-3.050000,0.006570
-2.900000,0.006510
-2.750000,0.006460
-2.600000,0.006420
-2.450000,0.006380
-2.300000,0.006340
-2.150000,0.006290
-2.000000,0.006250
-1.850000,0.006200
-1.700000,0.006170
-1.550000,0.006120
-1.400000,0.006020
-1.250000,0.005850
-1.100000,0.005610
-0.950000,0.005320
-0.800000,0.005010
-0.650000,0.004590
-0.500000,0.004440
-0.350000,0.004370
-0.200000,0.004350
-0.050000,0.004330
0.100000,0.004290
0.250000,0.004300
0.400000,0.004320
0.550000,0.004380
0.700000,0.004420
0.850000,0.004450
1.000000,0.004490
1.150000,0.004540
1.300000,0.004610
1.450000,0.004720
1.600000,0.004890
1.750000,0.005240
1.900000,0.005670
2.050000,0.006250
2.200000,0.006790
2.350000,0.007170
2.500000,0.007430
2.650000,0.007720
2.800000,0.007960
2.950000,0.008160
3.100000,0.008280
3.250000,0.008380
3.400000,0.008490
3.550000,0.008580
3.700000,0.008660
3.850000,0.008740
4.000000,0.008850
4.150000,0.008970
4.300000,0.009100
4.450000,0.009200
4.600000,0.009310
4.750000,0.009440
4.900000,0.009580
5.050000,0.009750
5.200000,0.009880
5.350000,0.010010
5.500000,0.010150
5.650000,0.010300
5.800000,0.010450
5.950000,0.010610
6.100000,0.010770
6.250000,0.010950
6.550000,0.011310
6.700000,0.011490
6.850000,0.011670
7.000000,0.011870
7.300000,0.012380
7.450000,0.012750
7.600000,0.013100
7.900000,0.013540
8.050000,0.013770
8.200000,0.013990
8.350000,0.014240
8.500000,0.014490
8.650000,0.014660
8.800000,0.014860
8.950000,0.015090
9.100000,0.015370
9.250000,0.015640
9.400000,0.015900
9.550000,0.016160
9.700000,0.016450
9.850000,0.016780
10.000000,0.017230
10.150000,0.017720
10.300000,0.018050
10.450000,0.018400
10.600000,0.018760
10.750000,0.019110
10.900000,0.019500
11.050000,0.019840
11.200000,0.020250
11.350000,0.020530
11.500000,0.020880
11.650000,0.021350
11.800000,0.021910
11.950000,0.022580
12.100000,0.023220
12.250000,0.023950
12.400000,0.024660
12.550000,0.025470
12.700000,0.026250
12.850000,0.027140
13.000000,0.028090
13.150000,0.029030
13.300000,0.030210
13.450000,0.031250
13.600000,0.032470
13.750000,0.033770
13.900000,0.035200
14.050000,0.036670
14.200000,0.038360
14.350000,0.040220
14.500000,0.042280
14.650000,0.044440
14.800000,0.046840
14.950000,0.049620
15.100000,0.052340
15.250000,0.055530
15.400000,0.058980
15.550000,0.062400
15.700000,0.066020
15.850000,0.070380
16.000000,0.074520
16.150000,0.079150
16.300000,0.084050
16.450000,0.089220
16.600000,0.094690
16.750000,0.100700
16.900000,0.107190
17.050000,0.114610
17.200000,0.123090
