alpha,cl
-5.000000,-0.218400
-4.850000,-0.201400
-4.700000,-0.184200
-4.550000,-0.167100
-4.400000,-0.149800
-4.250000,-0.132500
-4.100000,-0.115200
-3.950000,-0.098000
-3.800000,-0.080600
-3.650000,-0.063300
-3.500000,-0.045900
-3.350000,-0.028700
-3.200000,-0.011300
-3.050000,0.006100
-2.900000,0.023500
-2.750000,0.040800
-2.600000,0.058200
-2.450000,0.075700
-2.300000,0.093100
-2.150000,0.110500
-2.000000,0.127800
-1.850000,0.145300
-1.700000,0.162800
-1.550000,0.180100
-1.400000,0.197500
-1.250000,0.214900
-1.100000,0.232300
-0.950000,0.249700
-0.800000,0.266900
-0.650000,0.284300
-0.500000,0.301800
-0.350000,0.319300
-0.200000,0.336800
-0.050000,0.354200
0.100000,0.371700
0.250000,0.389000
0.400000,0.406300
0.550000,0.423300
0.700000,0.440500
0.850000,0.457800
1.000000,0.475000
1.150000,0.492100
1.300000,0.508900
1.450000,0.525400
1.600000,0.541200
1.750000,0.555200
1.900000,0.568500
2.050000,0.580500
2.200000,0.593000
2.350000,0.607100
2.500000,0.622200
2.650000,0.637100
2.800000,0.652500
2.950000,0.668200
3.100000,0.684500
3.250000,0.701100
3.400000,0.717600
3.550000,0.734300
3.700000,0.751000
3.850000,0.767600
4.000000,0.784200
4.150000,0.800400
4.300000,0.816700
4.450000,0.833100
4.600000,0.849500
4.750000,0.865600
4.900000,0.881700
5.050000,0.897600
5.200000,0.913600
5.350000,0.929600
5.500000,0.945700
5.650000,0.961500
5.800000,0.977300
5.950000,0.993100
6.100000,1.008700
6.250000,1.024200
6.550000,1.054900
6.700000,1.070200
6.850000,1.085400
7.000000,1.100300
7.300000,1.129000
7.450000,1.142200
7.600000,1.155100
7.900000,1.183200
8.050000,1.197100
8.200000,1.210800
8.350000,1.223900
8.500000,1.236800
8.650000,1.249400
8.800000,1.261700
8.950000,1.276000
9.100000,1.289800
9.250000,1.303600
9.400000,1.317500
9.550000,1.331200
9.700000,1.344600
9.850000,1.357400
10.000000,1.368900
10.150000,1.379500
10.300000,1.391700
10.450000,1.402700
10.600000,1.412900
10.750000,1.422900
10.900000,1.432300
11.050000,1.442300
11.200000,1.451400
11.350000,1.462300
11.500000,1.472300
11.650000,1.481000
11.800000,1.488600
11.950000,1.495100
12.100000,1.501900
12.250000,1.507900
12.400000,1.514000
12.550000,1.519300
12.700000,1.524800
12.850000,1.529300
13.000000,1.533300
13.150000,1.537500
13.300000,1.539300
13.450000,1.542800
13.600000,1.544500
13.750000,1.545600
13.900000,1.545500
14.050000,1.545400
14.200000,1.543200
14.350000,1.539800
14.500000,1.535100
14.650000,1.529600
14.800000,1.522700
14.950000,1.513200
15.100000,1.504700
15.250000,1.493300
15.400000,1.481000
15.550000,1.470100
15.700000,1.458600
15.850000,1.443600
16.000000,1.431500
16.150000,1.417700
16.300000,1.403800
16.450000,1.389900
16.600000,1.376300
16.750000,1.361700
16.900000,1.346500
17.050000,1.329100
17.200000,1.309300
