alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.218400,0.007700,-0.080500,-28.363636,2200000.000000,6.000000
-4.850000,-0.201400,0.007490,-0.080500,-26.889186,2200000.000000,6.000000
-4.700000,-0.184200,0.007390,-0.080600,-24.925575,2200000.000000,6.000000
-4.550000,-0.167100,0.007320,-0.080600,-22.827869,2200000.000000,6.000000
-4.400000,-0.149800,0.007240,-0.080700,-20.690608,2200000.000000,6.000000
-4.250000,-0.132500,0.007160,-0.080800,-18.505587,2200000.000000,6.000000
-4.100000,-0.115200,0.007080,-0.080900,-16.271186,2200000.000000,6.000000
-3.950000,-0.098000,0.007020,-0.080900,-13.960114,2200000.000000,6.000000
-3.800000,-0.080600,0.006960,-0.081000,-11.580460,2200000.000000,6.000000
-3.650000,-0.063300,0.006890,-0.081100,-9.187228,2200000.000000,6.000000
-3.500000,-0.045900,0.006830,-0.081200,-6.720351,2200000.000000,6.000000
-3.350000,-0.028700,0.006740,-0.081300,-4.258160,2200000.000000,6.000000
-3.200000,-0.011300,0.006640,-0.081400,-1.701807,2200000.000000,6.000000
-3.050000,0.006100,0.006570,-0.081500,0.928463,2200000.000000,6.000000
-2.900000,0.023500,0.006510,-0.081600,3.609831,2200000.000000,6.000000
-2.750000,0.040800,0.006460,-0.081700,6.315789,2200000.000000,6.000000
-2.600000,0.058200,0.006420,-0.081800,9.065421,2200000.000000,6.000000
-2.450000,0.075700,0.006380,-0.082000,11.865204,2200000.000000,6.000000
-2.300000,0.093100,0.006340,-0.082100,14.684543,2200000.000000,6.000000
-2.150000,0.110500,0.006290,-0.082200,17.567568,2200000.000000,6.000000
-2.000000,0.127800,0.006250,-0.082300,20.448000,2200000.000000,6.000000
-1.850000,0.145300,0.006200,-0.082500,23.435484,2200000.000000,6.000000
-1.700000,0.162800,0.006170,-0.082600,26.385737,2200000.000000,6.000000
-1.550000,0.180100,0.006120,-0.082700,29.428105,2200000.000000,6.000000
-1.400000,0.197500,0.006020,-0.082900,32.807309,2200000.000000,6.000000
-1.250000,0.214900,0.005850,-0.083100,36.735043,2200000.000000,6.000000
-1.100000,0.232300,0.005610,-0.083400,41.408200,2200000.000000,6.000000
-0.950000,0.249700,0.005320,-0.083800,46.936090,2200000.000000,6.000000
-0.800000,0.266900,0.005010,-0.084200,53.273453,2200000.000000,6.000000
-0.650000,0.284300,0.004590,-0.084700,61.938998,2200000.000000,6.000000
-0.500000,0.301800,0.004440,-0.084900,67.972973,2200000.000000,6.000000
-0.350000,0.319300,0.004370,-0.085100,73.066362,2200000.000000,6.000000
-0.200000,0.336800,0.004350,-0.085200,77.425287,2200000.000000,6.000000
-0.050000,0.354200,0.004330,-0.085400,81.801386,2200000.000000,6.000000
0.100000,0.371700,0.004290,-0.085500,86.643357,2200000.000000,6.000000
0.250000,0.389000,0.004300,-0.085600,90.465116,2200000.000000,6.000000
0.400000,0.406300,0.004320,-0.085700,94.050926,2200000.000000,6.000000
0.550000,0.423300,0.004380,-0.085700,96.643836,2200000.000000,6.000000
0.700000,0.440500,0.004420,-0.085800,99.660633,2200000.000000,6.000000
0.850000,0.457800,0.004450,-0.085900,102.876404,2200000.000000,6.000000
1.000000,0.475000,0.004490,-0.085900,105.790646,2200000.000000,6.000000
1.150000,0.492100,0.004540,-0.086000,108.392070,2200000.000000,6.000000
1.300000,0.508900,0.004610,-0.086000,110.390456,2200000.000000,6.000000
1.450000,0.525400,0.004720,-0.085900,111.313559,2200000.000000,6.000000
1.600000,0.541200,0.004890,-0.085800,110.674847,2200000.000000,6.000000
1.750000,0.555200,0.005240,-0.085300,105.954198,2200000.000000,6.000000
1.900000,0.568500,0.005670,-0.084800,100.264550,2200000.000000,6.000000
2.050000,0.580500,0.006250,-0.084100,92.880000,2200000.000000,6.000000
2.200000,0.593000,0.006790,-0.083400,87.334315,2200000.000000,6.000000
2.350000,0.607100,0.007170,-0.083000,84.672245,2200000.000000,6.000000
2.500000,0.622200,0.007430,-0.082800,83.741588,2200000.000000,6.000000
2.650000,0.637100,0.007720,-0.082500,82.525907,2200000.000000,6.000000
2.800000,0.652500,0.007960,-0.082300,81.972362,2200000.000000,6.000000
2.950000,0.668200,0.008160,-0.082100,81.887255,2200000.000000,6.000000
3.100000,0.684500,0.008280,-0.082000,82.669082,2200000.000000,6.000000
3.250000,0.701100,0.008380,-0.082000,83.663484,2200000.000000,6.000000
3.400000,0.717600,0.008490,-0.081900,84.522968,2200000.000000,6.000000
3.550000,0.734300,0.008580,-0.081900,85.582751,2200000.000000,6.000000
3.700000,0.751000,0.008660,-0.081800,86.720554,2200000.000000,6.000000
3.850000,0.767600,0.008740,-0.081800,87.826087,2200000.000000,6.000000
4.000000,0.784200,0.008850,-0.081700,88.610169,2200000.000000,6.000000
4.150000,0.800400,0.008970,-0.081600,89.230769,2200000.000000,6.000000
4.300000,0.816700,0.009100,-0.081500,89.747253,2200000.000000,6.000000
4.450000,0.833100,0.009200,-0.081400,90.554348,2200000.000000,6.000000
4.600000,0.849500,0.009310,-0.081300,91.245972,2200000.000000,6.000000
4.750000,0.865600,0.009440,-0.081200,91.694915,2200000.000000,6.000000
4.900000,0.881700,0.009580,-0.081000,92.035491,2200000.000000,6.000000
5.050000,0.897600,0.009750,-0.080800,92.061538,2200000.000000,6.000000
5.200000,0.913600,0.009880,-0.080600,92.469636,2200000.000000,6.000000
5.350000,0.929600,0.010010,-0.080400,92.867133,2200000.000000,6.000000
5.500000,0.945700,0.010150,-0.080300,93.172414,2200000.000000,6.000000
5.650000,0.961500,0.010300,-0.080000,93.349515,2200000.000000,6.000000
5.800000,0.977300,0.010450,-0.079800,93.521531,2200000.000000,6.000000
5.950000,0.993100,0.010610,-0.079600,93.600377,2200000.000000,6.000000
6.100000,1.008700,0.010770,-0.079300,93.658310,2200000.000000,6.000000
6.250000,1.024200,0.010950,-0.079000,93.534247,2200000.000000,6.000000
6.550000,1.054900,0.011310,-0.078400,93.271441,2200000.000000,6.000000
6.700000,1.070200,0.011490,-0.078100,93.141862,2200000.000000,6.000000
6.850000,1.085400,0.011670,-0.077700,93.007712,2200000.000000,6.000000
7.000000,1.100300,0.011870,-0.077300,92.695872,2200000.000000,6.000000
7.300000,1.129000,0.012380,-0.076300,91.195477,2200000.000000,6.000000
7.450000,1.142200,0.012750,-0.075600,89.584314,2200000.000000,6.000000
7.600000,1.155100,0.013100,-0.074800,88.175573,2200000.000000,6.000000
7.900000,1.183200,0.013540,-0.073600,87.385524,2200000.000000,6.000000
8.050000,1.197100,0.013770,-0.073000,86.935367,2200000.000000,6.000000
8.200000,1.210800,0.013990,-0.072400,86.547534,2200000.000000,6.000000
8.350000,1.223900,0.014240,-0.071600,85.948034,2200000.000000,6.000000
8.500000,1.236800,0.014490,-0.070800,85.355418,2200000.000000,6.000000
8.650000,1.249400,0.014660,-0.069900,85.225102,2200000.000000,6.000000
