  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     2.200 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2184   0.00770   0.00261  -0.0805   0.7786   0.0113
  -4.850  -0.2014   0.00749   0.00236  -0.0805   0.7751   0.0122
  -4.700  -0.1842   0.00739   0.00225  -0.0806   0.7713   0.0129
  -4.550  -0.1671   0.00732   0.00217  -0.0806   0.7675   0.0135
  -4.400  -0.1498   0.00724   0.00208  -0.0807   0.7641   0.0140
  -4.250  -0.1325   0.00716   0.00198  -0.0808   0.7605   0.0144
  -4.100  -0.1152   0.00708   0.00188  -0.0809   0.7565   0.0148
  -3.950  -0.0980   0.00702   0.00180  -0.0809   0.7525   0.0152
  -3.800  -0.0806   0.00696   0.00172  -0.0810   0.7492   0.0156
  -3.650  -0.0633   0.00689   0.00163  -0.0811   0.7457   0.0158
  -3.500  -0.0459   0.00683   0.00156  -0.0812   0.7420   0.0160
  -3.350  -0.0287   0.00674   0.00144  -0.0813   0.7385   0.0165
  -3.200  -0.0113   0.00664   0.00132  -0.0814   0.7353   0.0179
  -3.050   0.0061   0.00657   0.00124  -0.0815   0.7319   0.0190
  -2.900   0.0235   0.00651   0.00118  -0.0816   0.7282   0.0203
  -2.750   0.0408   0.00646   0.00113  -0.0817   0.7245   0.0214
  -2.600   0.0582   0.00642   0.00107  -0.0818   0.7212   0.0223
  -2.450   0.0757   0.00638   0.00102  -0.0820   0.7179   0.0229
  -2.300   0.0931   0.00634   0.00098  -0.0821   0.7143   0.0235
  -2.150   0.1105   0.00629   0.00092  -0.0822   0.7108   0.0267
  -2.000   0.1278   0.00625   0.00088  -0.0823   0.7075   0.0297
  -1.850   0.1453   0.00620   0.00083  -0.0825   0.7042   0.0323
  -1.700   0.1628   0.00617   0.00080  -0.0826   0.7006   0.0363
  -1.550   0.1801   0.00612   0.00077  -0.0827   0.6970   0.0439
  -1.400   0.1975   0.00602   0.00073  -0.0829   0.6937   0.0698
  -1.250   0.2149   0.00585   0.00069  -0.0831   0.6906   0.1161
  -1.100   0.2323   0.00561   0.00064  -0.0834   0.6872   0.1890
  -0.950   0.2497   0.00532   0.00059  -0.0838   0.6837   0.2804
  -0.800   0.2669   0.00501   0.00054  -0.0842   0.6803   0.3796
  -0.650   0.2843   0.00459   0.00050  -0.0847   0.6775   0.5130
  -0.500   0.3018   0.00444   0.00050  -0.0849   0.6743   0.5689
  -0.350   0.3193   0.00437   0.00051  -0.0851   0.6710   0.6006
  -0.200   0.3368   0.00435   0.00053  -0.0852   0.6676   0.6198
  -0.050   0.3542   0.00433   0.00054  -0.0854   0.6643   0.6357
