alpha,cd
-5.000000,0.006090
-4.850000,0.006040
-4.700000,0.005990
-4.550000,0.005940
-4.400000,0.005890
-4.250000,0.005840
-4.100000,0.005810
-3.950000,0.005750
-3.800000,0.005680
-3.650000,0.005630
-3.500000,0.005580
-3.350000,0.005540
-3.200000,0.005490
-3.050000,0.005450
-2.900000,0.005420
-2.750000,0.005400
-2.600000,0.005360
-2.450000,0.005320
-2.300000,0.005280
-2.150000,0.005260
-2.000000,0.005230
-1.850000,0.005200
-1.700000,0.005180
-1.550000,0.005150
-1.400000,0.005140
-1.250000,0.005110
-1.100000,0.005090
-0.950000,0.005060
-0.800000,0.004990
-0.650000,0.004900
-0.500000,0.004800
-0.350000,0.004660
-0.200000,0.004490
-0.050000,0.004410
0.100000,0.004280
0.400000,0.004110
0.550000,0.004170
0.700000,0.004320
0.850000,0.004630
1.150000,0.005230
1.450000,0.005650
1.600000,0.005940
1.750000,0.006120
1.900000,0.006290
2.050000,0.006430
2.200000,0.006590
2.350000,0.006670
2.500000,0.006750
2.650000,0.006810
2.800000,0.006870
2.950000,0.006920
3.100000,0.006980
3.250000,0.007040
3.400000,0.007120
3.550000,0.007220
3.700000,0.007290
3.850000,0.007370
4.000000,0.007470
4.150000,0.007560
4.300000,0.007640
4.450000,0.007730
4.600000,0.007820
4.750000,0.007920
4.900000,0.008020
5.050000,0.008110
5.200000,0.008220
5.350000,0.008320
5.500000,0.008440
5.650000,0.008550
5.800000,0.008670
5.950000,0.008780
6.100000,0.008890
6.250000,0.009000
6.400000,0.009110
6.550000,0.009220
6.700000,0.009330
6.850000,0.009440
7.000000,0.009560
7.150000,0.009680
7.300000,0.009810
7.450000,0.009960
7.600000,0.010100
7.750000,0.010240
7.900000,0.010400
8.050000,0.010580
8.200000,0.010760
8.350000,0.010970
8.500000,0.011190
8.650000,0.011350
8.800000,0.011520
8.950000,0.011700
9.100000,0.011880
9.250000,0.012050
9.400000,0.012230
9.700000,0.012610
9.850000,0.012810
10.000000,0.013030
10.150000,0.013280
10.300000,0.013540
10.450000,0.013790
10.600000,0.014060
10.750000,0.014340
10.900000,0.014630
11.050000,0.014900
11.200000,0.015210
11.350000,0.015580
11.500000,0.015970
11.650000,0.016340
11.800000,0.016710
11.950000,0.017070
12.100000,0.017450
12.250000,0.017830
12.400000,0.018250
12.550000,0.018700
12.700000,0.019190
12.850000,0.019700
13.000000,0.020240
13.150000,0.020830
13.300000,0.021420
13.450000,0.022140
13.600000,0.022830
13.750000,0.023620
13.900000,0.024390
14.050000,0.025340
14.200000,0.026270
14.350000,0.027240
14.500000,0.028450
14.650000,0.029430
14.800000,0.030750
14.950000,0.032220
15.100000,0.033580
15.250000,0.035170
15.400000,0.036930
15.550000,0.038690
15.700000,0.040660
15.850000,0.042860
16.000000,0.044830
16.150000,0.047030
16.300000,0.049780
16.450000,0.052290
16.600000,0.055100
16.750000,0.058180
16.900000,0.061770
17.050000,0.065520
17.200000,0.069230
17.350000,0.072980
17.500000,0.077320
17.650000,0.082530
17.800000,0.086950
17.950000,0.092480
18.100000,0.098390
18.250000,0.104490
18.400000,0.111290
18.550000,0.119220
18.700000,0.127320
18.850000,0.137510
19.000000,0.148050
19.600000,0.246350
19.750000,0.249350
19.900000,0.252370
20.050000,0.255310
20.350000,0.263980
20.500000,0.266820
20.650000,0.269790
20.800000,0.272960
20.950000,0.275830
21.100000,0.281930
21.250000,0.284380
21.400000,0.286730
21.550000,0.289400
21.700000,0.291850
21.850000,0.294690
22.000000,0.300560
22.150000,0.303670
22.300000,0.306260
22.450000,0.308510
22.600000,0.310790
22.750000,0.313080
22.900000,0.315320
23.050000,0.317240
