alpha,cl
-5.000000,-0.219800
-4.850000,-0.202300
-4.700000,-0.184800
-4.550000,-0.167300
-4.400000,-0.149700
-4.250000,-0.132200
-4.100000,-0.114700
-3.950000,-0.097100
-3.800000,-0.079500
-3.650000,-0.062000
-3.500000,-0.044500
-3.350000,-0.027000
-3.200000,-0.009400
-3.050000,0.008200
-2.900000,0.025700
-2.750000,0.043200
-2.600000,0.060900
-2.450000,0.078500
-2.300000,0.096000
-2.150000,0.113500
-2.000000,0.131100
-1.850000,0.148700
-1.700000,0.166300
-1.550000,0.183900
-1.400000,0.201300
-1.250000,0.218900
-1.100000,0.236300
-0.950000,0.253700
-0.800000,0.271100
-0.650000,0.288500
-0.500000,0.306100
-0.350000,0.323600
-0.200000,0.341000
-0.050000,0.358100
0.100000,0.375000
0.400000,0.408700
0.550000,0.425100
0.700000,0.440800
0.850000,0.455500
1.150000,0.485000
1.450000,0.516400
1.600000,0.531400
1.750000,0.547400
1.900000,0.563600
2.050000,0.580000
2.200000,0.596200
2.350000,0.613100
2.500000,0.630100
2.650000,0.647100
2.800000,0.664200
2.950000,0.681300
3.100000,0.698400
3.250000,0.715400
3.400000,0.732200
3.550000,0.749000
3.700000,0.765900
3.850000,0.782700
4.000000,0.799400
4.150000,0.816200
4.300000,0.833000
4.450000,0.849700
4.600000,0.866400
4.750000,0.883000
4.900000,0.899700
5.050000,0.916300
5.200000,0.932800
5.350000,0.949400
5.500000,0.965800
5.650000,0.982200
5.800000,0.998600
5.950000,1.015100
6.100000,1.031500
6.250000,1.047900
6.400000,1.064300
6.550000,1.080700
6.700000,1.097000
6.850000,1.113300
7.000000,1.129600
7.150000,1.145800
7.300000,1.161900
7.450000,1.177800
7.600000,1.193800
7.750000,1.209700
7.900000,1.225400
8.050000,1.240900
8.200000,1.256400
8.350000,1.271500
8.500000,1.286500
8.650000,1.302000
8.800000,1.317500
8.950000,1.332800
9.100000,1.348000
9.250000,1.363300
9.400000,1.378400
9.700000,1.408300
9.850000,1.423000
10.000000,1.437200
10.150000,1.451100
10.300000,1.464800
10.450000,1.478400
10.600000,1.491700
10.750000,1.504500
10.900000,1.516900
11.050000,1.526800
11.200000,1.538600
11.350000,1.550600
11.500000,1.562300
11.650000,1.573900
11.800000,1.585400
11.950000,1.595600
12.100000,1.604100
12.250000,1.612100
12.400000,1.619500
12.550000,1.626900
12.700000,1.633800
12.850000,1.640500
13.000000,1.647200
13.150000,1.653300
13.300000,1.659500
13.450000,1.664400
13.600000,1.669700
13.750000,1.674000
13.900000,1.678700
14.050000,1.681300
14.200000,1.684500
14.350000,1.687200
14.500000,1.687500
14.650000,1.690700
14.800000,1.690300
14.950000,1.688500
15.100000,1.688300
15.250000,1.685900
15.400000,1.682300
15.550000,1.679100
15.700000,1.674400
15.850000,1.667700
16.000000,1.664000
16.150000,1.658800
16.300000,1.649300
16.450000,1.642600
16.600000,1.634500
16.750000,1.625100
16.900000,1.612800
17.050000,1.600300
17.200000,1.589500
17.350000,1.579500
17.500000,1.566700
17.650000,1.549800
17.800000,1.539000
17.950000,1.523200
18.100000,1.506900
18.250000,1.491100
18.400000,1.473000
18.550000,1.451300
18.700000,1.430100
18.850000,1.401400
19.000000,1.371600
19.600000,1.098400
19.750000,1.101100
19.900000,1.103900
20.050000,1.106700
20.350000,1.108500
20.500000,1.111800
20.650000,1.115200
20.800000,1.118300
20.950000,1.121800
21.100000,1.121900
21.250000,1.126100
21.400000,1.130300
21.550000,1.134400
21.700000,1.138700
21.850000,1.142600
22.000000,1.144900
22.150000,1.149100
22.300000,1.153500
22.450000,1.158000
22.600000,1.162500
22.750000,1.167100
22.900000,1.171600
23.050000,1.176100
