  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     6.200 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2198   0.00609   0.00160  -0.0808   0.7176   0.0104
  -4.850  -0.2023   0.00604   0.00154  -0.0809   0.7141   0.0107
  -4.700  -0.1848   0.00599   0.00148  -0.0810   0.7101   0.0109
  -4.550  -0.1673   0.00594   0.00142  -0.0811   0.7070   0.0111
  -4.400  -0.1497   0.00589   0.00136  -0.0812   0.7042   0.0112
  -4.250  -0.1322   0.00584   0.00131  -0.0813   0.7005   0.0112
  -4.100  -0.1147   0.00581   0.00126  -0.0814   0.6964   0.0113
  -3.950  -0.0971   0.00575   0.00119  -0.0815   0.6932   0.0116
  -3.800  -0.0795   0.00568   0.00111  -0.0817   0.6905   0.0120
  -3.650  -0.0620   0.00563   0.00105  -0.0818   0.6872   0.0128
  -3.500  -0.0445   0.00558   0.00100  -0.0819   0.6833   0.0137
  -3.350  -0.0270   0.00554   0.00095  -0.0820   0.6795   0.0144
  -3.200  -0.0094   0.00549   0.00091  -0.0822   0.6770   0.0151
  -3.050   0.0082   0.00545   0.00087  -0.0823   0.6739   0.0155
  -2.900   0.0257   0.00542   0.00083  -0.0825   0.6703   0.0158
  -2.750   0.0432   0.00540   0.00080  -0.0826   0.6662   0.0160
  -2.600   0.0609   0.00536   0.00076  -0.0828   0.6638   0.0163
  -2.450   0.0785   0.00532   0.00072  -0.0829   0.6610   0.0187
  -2.300   0.0960   0.00528   0.00069  -0.0831   0.6578   0.0205
  -2.150   0.1135   0.00526   0.00066  -0.0832   0.6541   0.0219
  -2.000   0.1311   0.00523   0.00064  -0.0833   0.6508   0.0227
  -1.850   0.1487   0.00520   0.00061  -0.0835   0.6486   0.0230
  -1.700   0.1663   0.00518   0.00059  -0.0837   0.6459   0.0250
  -1.550   0.1839   0.00515   0.00057  -0.0838   0.6421   0.0284
  -1.400   0.2013   0.00514   0.00055  -0.0839   0.6370   0.0310
  -1.250   0.2189   0.00511   0.00053  -0.0841   0.6334   0.0333
  -1.100   0.2363   0.00509   0.00051  -0.0842   0.6274   0.0408
  -0.950   0.2537   0.00506   0.00050  -0.0844   0.6210   0.0538
  -0.800   0.2711   0.00499   0.00048  -0.0846   0.6150   0.0818
  -0.650   0.2885   0.00490   0.00047  -0.0847   0.6080   0.1211
  -0.500   0.3061   0.00480   0.00045  -0.0850   0.6041   0.1610
  -0.350   0.3236   0.00466   0.00044  -0.0852   0.5991   0.2167
  -0.200   0.3410   0.00449   0.00042  -0.0855   0.5932   0.2880
  -0.050   0.3581   0.00441   0.00042  -0.0857   0.5792   0.3403
   0.100   0.3750   0.00428   0.00042  -0.0859   0.5599   0.4176
   0.400   0.4087   0.00411   0.00045  -0.0863   0.5227   0.5502
   0.550   0.4251   0.00417   0.00049  -0.0863   0.4958   0.5770
   0.700   0.4408   0.00432   0.00056  -0.0862   0.4553   0.6002
   0.850   0.4555   0.00463   0.00067  -0.0859   0.3962   0.6079
   1.150   0.4850   0.00523   0.00089  -0.0853   0.2767   0.6234
   1.450   0.5164   0.00565   0.00107  -0.0850   0.1958   0.6384
   1.600   0.5314   0.00594   0.00118  -0.0848   0.1400   0.6448
   1.750   0.5474   0.00612   0.00127  -0.0846   0.1078   0.6490
   1.900   0.5636   0.00629   0.00135  -0.0846   0.0808   0.6527
   2.050   0.5800   0.00643   0.00143  -0.0845   0.0616   0.6568
   2.200   0.5962   0.00659   0.00151  -0.0844   0.0400   0.6605
   2.350   0.6131   0.00667   0.00157  -0.0844   0.0325   0.6635
   2.500   0.6301   0.00675   0.00163  -0.0844   0.0295   0.6665
   2.650   0.6471   0.00681   0.00169  -0.0845   0.0268   0.6708
   2.800   0.6642   0.00687   0.00174  -0.0845   0.0242   0.6747
   2.950   0.6813   0.00692   0.00180  -0.0846   0.0239   0.6778
   3.100   0.6984   0.00698   0.00186  -0.0846   0.0235   0.6808
   3.250   0.7154   0.00704   0.00192  -0.0847   0.0226   0.6852
   3.400   0.7322   0.00712   0.00199  -0.0847   0.0204   0.6891
   3.550   0.7490   0.00722   0.00207  -0.0846   0.0172   0.6924
   3.700   0.7659   0.00729   0.00214  -0.0847   0.0160   0.6953
   3.850   0.7827   0.00737   0.00222  -0.0847   0.0149   0.6997
   4.000   0.7994   0.00747   0.00230  -0.0846   0.0132   0.7037
   4.150   0.8162   0.00756   0.00239  -0.0846   0.0112   0.7071
   4.300   0.8330   0.00764   0.00247  -0.0846   0.0108   0.7104
   4.450   0.8497   0.00773   0.00256  -0.0845   0.0103   0.7146
   4.600   0.8664   0.00782   0.00265  -0.0845   0.0097   0.7185
   4.750   0.8830   0.00792   0.00275  -0.0844   0.0092   0.7217
   4.900   0.8997   0.00802   0.00285  -0.0844   0.0088   0.7247
   5.050   0.9163   0.00811   0.00295  -0.0843   0.0084   0.7290
   5.200   0.9328   0.00822   0.00307  -0.0842   0.0082   0.7331
   5.350   0.9494   0.00832   0.00318  -0.0841   0.0080   0.7366
   5.500   0.9658   0.00844   0.00331  -0.0840   0.0078   0.7402
   5.650   0.9822   0.00855   0.00345  -0.0839   0.0077   0.7447
   5.800   0.9986   0.00867   0.00358  -0.0837   0.0076   0.7486
   5.950   1.0151   0.00878   0.00370  -0.0836   0.0076   0.7518
   6.100   1.0315   0.00889   0.00382  -0.0835   0.0076   0.7555
