alpha,cd
-5.000000,0.007020
-4.850000,0.006970
-4.700000,0.006790
-4.550000,0.006680
-4.400000,0.006620
-4.250000,0.006560
-4.100000,0.006490
-3.950000,0.006420
-3.800000,0.006360
-3.650000,0.006320
-3.500000,0.006260
-3.350000,0.006210
-3.200000,0.006160
-3.050000,0.006080
-2.900000,0.006020
-2.750000,0.005960
-2.600000,0.005910
-2.450000,0.005890
-2.300000,0.005860
-2.150000,0.005820
-2.000000,0.005770
-1.850000,0.005730
-1.700000,0.005700
-1.550000,0.005650
-1.400000,0.005580
-1.250000,0.005450
-1.100000,0.005300
-0.950000,0.005040
-0.800000,0.004780
-0.650000,0.004480
-0.500000,0.004170
-0.350000,0.004070
-0.200000,0.004020
-0.050000,0.004010
0.100000,0.003980
0.250000,0.003990
0.400000,0.004000
0.700000,0.004050
0.850000,0.004100
1.000000,0.004160
1.150000,0.004230
1.300000,0.004350
1.450000,0.004550
1.600000,0.004870
1.750000,0.005270
1.900000,0.005770
2.050000,0.006270
2.350000,0.006800
2.500000,0.007070
2.650000,0.007300
2.800000,0.007510
2.950000,0.007640
3.100000,0.007730
3.250000,0.007830
3.400000,0.007900
3.550000,0.007980
3.700000,0.008050
3.850000,0.008140
4.000000,0.008250
4.150000,0.008360
4.300000,0.008460
4.450000,0.008560
4.600000,0.008680
4.750000,0.008820
4.900000,0.008940
5.050000,0.009040
5.200000,0.009160
5.500000,0.009400
5.650000,0.009540
5.950000,0.009810
6.100000,0.009960
6.250000,0.010110
6.400000,0.010270
6.550000,0.010430
6.700000,0.010610
6.850000,0.010830
7.000000,0.011090
7.150000,0.011460
7.300000,0.011590
7.450000,0.011780
7.600000,0.011950
7.900000,0.012350
8.050000,0.012540
8.200000,0.012720
8.350000,0.012920
8.500000,0.013100
8.650000,0.013290
8.800000,0.013490
8.950000,0.013700
9.100000,0.013860
9.250000,0.014040
9.400000,0.014280
9.550000,0.014550
9.700000,0.014940
9.850000,0.015440
10.000000,0.015640
10.150000,0.015890
10.300000,0.016140
10.450000,0.016380
10.600000,0.016630
10.750000,0.016910
10.900000,0.017230
11.050000,0.017500
11.200000,0.017830
11.350000,0.018210
11.500000,0.018690
11.650000,0.019130
11.800000,0.019600
11.950000,0.020090
12.100000,0.020590
12.250000,0.021150
12.400000,0.021710
12.550000,0.022340
12.700000,0.022960
12.850000,0.023680
13.000000,0.024450
13.150000,0.025290
13.300000,0.026220
13.450000,0.027220
13.600000,0.028360
13.750000,0.029760
13.900000,0.031130
14.050000,0.032270
14.200000,0.033620
14.350000,0.035120
14.500000,0.036630
14.650000,0.038450
14.800000,0.040260
14.950000,0.042190
15.100000,0.044440
15.250000,0.046830
15.400000,0.049330
15.550000,0.052040
15.700000,0.054850
15.850000,0.058280
16.000000,0.061360
16.150000,0.064930
16.300000,0.068990
16.450000,0.073020
16.600000,0.077560
16.750000,0.082260
16.900000,0.087390
17.050000,0.093240
17.200000,0.099070
17.350000,0.105450
17.500000,0.112840
17.650000,0.121520
17.800000,0.133050
18.100000,0.225590
18.250000,0.229180
18.400000,0.239310
18.550000,0.242550
18.700000,0.245580
18.850000,0.249240
19.000000,0.252580
19.150000,0.255440
19.300000,0.257910
19.450000,0.260560
19.600000,0.262730
19.750000,0.265220
19.900000,0.267550
20.050000,0.269990
20.200000,0.272640
20.350000,0.275190
20.500000,0.277640
20.650000,0.280720
20.800000,0.284190
20.950000,0.286590
21.100000,0.288960
21.250000,0.291380
21.400000,0.293700
21.550000,0.296170
21.700000,0.298380
21.850000,0.301270
22.000000,0.303610
22.150000,0.305870
22.300000,0.308090
22.450000,0.310350
22.600000,0.312920
22.750000,0.315820
22.900000,0.318140
23.050000,0.320370
