alpha,cl
-5.000000,-0.218100
-4.850000,-0.200900
-4.700000,-0.183800
-4.550000,-0.166400
-4.400000,-0.149100
-4.250000,-0.131800
-4.100000,-0.114400
-3.950000,-0.096900
-3.800000,-0.079500
-3.650000,-0.062200
-3.500000,-0.044800
-3.350000,-0.027200
-3.200000,-0.009800
-3.050000,0.007500
-2.900000,0.025000
-2.750000,0.042500
-2.600000,0.060000
-2.450000,0.077400
-2.300000,0.094800
-2.150000,0.112400
-2.000000,0.129900
-1.850000,0.147300
-1.700000,0.164700
-1.550000,0.182300
-1.400000,0.199800
-1.250000,0.217100
-1.100000,0.234500
-0.950000,0.252100
-0.800000,0.269600
-0.650000,0.287100
-0.500000,0.304400
-0.350000,0.322000
-0.200000,0.339400
-0.050000,0.356700
0.100000,0.374300
0.250000,0.391400
0.400000,0.408600
0.700000,0.443300
0.850000,0.460400
1.000000,0.477500
1.150000,0.494400
1.300000,0.510800
1.450000,0.526400
1.600000,0.540800
1.750000,0.554500
1.900000,0.567400
2.050000,0.580300
2.350000,0.610700
2.500000,0.625800
2.650000,0.641300
2.800000,0.657000
2.950000,0.673400
3.100000,0.690100
3.250000,0.706800
3.400000,0.723500
3.550000,0.740400
3.700000,0.757200
3.850000,0.773900
4.000000,0.790400
4.150000,0.806900
4.300000,0.823500
4.450000,0.840000
4.600000,0.856300
4.750000,0.872500
4.900000,0.888900
5.050000,0.905300
5.200000,0.921600
5.500000,0.954100
5.650000,0.970200
5.950000,1.002300
6.100000,1.018200
6.250000,1.034100
6.400000,1.049800
6.550000,1.065500
6.700000,1.081000
6.850000,1.096100
7.000000,1.110700
7.150000,1.124200
7.300000,1.139900
7.450000,1.155100
7.600000,1.170300
7.900000,1.199900
8.050000,1.214600
8.200000,1.229300
8.350000,1.243800
8.500000,1.258200
8.650000,1.272300
8.800000,1.286000
8.950000,1.298900
9.100000,1.310800
9.250000,1.325500
9.400000,1.340000
9.550000,1.354000
9.700000,1.366500
9.850000,1.377900
10.000000,1.392200
10.150000,1.406000
10.300000,1.419500
10.450000,1.433200
10.600000,1.446500
10.750000,1.459500
10.900000,1.471700
11.050000,1.483600
11.200000,1.493800
11.350000,1.502900
11.500000,1.510600
11.650000,1.518900
11.800000,1.526800
11.950000,1.534600
12.100000,1.542300
12.250000,1.549300
12.400000,1.556700
12.550000,1.563100
12.700000,1.569900
12.850000,1.575700
13.000000,1.580800
13.150000,1.585300
13.300000,1.589100
13.450000,1.592100
13.600000,1.593900
13.750000,1.593100
13.900000,1.592700
14.050000,1.594800
14.200000,1.594900
14.350000,1.593900
14.500000,1.592900
14.650000,1.589100
14.800000,1.586000
14.950000,1.582100
15.100000,1.575600
15.250000,1.568600
15.400000,1.561300
15.550000,1.552900
15.700000,1.544300
15.850000,1.532000
16.000000,1.523500
16.150000,1.512200
16.300000,1.498800
16.450000,1.486900
16.600000,1.473200
16.750000,1.459700
16.900000,1.445300
17.050000,1.428800
17.200000,1.414100
17.350000,1.398400
17.500000,1.379700
17.650000,1.357500
17.800000,1.326100
18.100000,1.047900
18.250000,1.049800
18.400000,1.040500
18.550000,1.043600
18.700000,1.047000
18.850000,1.049700
19.000000,1.052900
19.150000,1.056800
19.300000,1.061100
19.450000,1.065200
19.600000,1.069800
19.750000,1.074100
19.900000,1.078600
20.050000,1.083000
20.200000,1.087200
20.350000,1.091500
20.500000,1.095800
20.650000,1.099800
20.800000,1.103400
20.950000,1.108000
21.100000,1.112600
21.250000,1.117100
21.400000,1.121700
21.550000,1.126200
21.700000,1.131000
21.850000,1.135100
22.000000,1.139900
22.150000,1.144700
22.300000,1.149300
22.450000,1.154200
22.600000,1.158900
22.750000,1.163800
22.900000,1.168500
23.050000,1.173200
