  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.200 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2181   0.00702   0.00225  -0.0808   0.7723   0.0112
  -4.850  -0.2009   0.00697   0.00219  -0.0808   0.7682   0.0113
  -4.700  -0.1838   0.00679   0.00195  -0.0809   0.7645   0.0122
  -4.550  -0.1664   0.00668   0.00183  -0.0810   0.7610   0.0129
  -4.400  -0.1491   0.00662   0.00176  -0.0810   0.7571   0.0135
  -4.250  -0.1318   0.00656   0.00169  -0.0811   0.7531   0.0140
  -4.100  -0.1144   0.00649   0.00161  -0.0812   0.7499   0.0144
  -3.950  -0.0969   0.00642   0.00154  -0.0813   0.7466   0.0148
  -3.800  -0.0795   0.00636   0.00147  -0.0814   0.7429   0.0152
  -3.650  -0.0622   0.00632   0.00140  -0.0815   0.7391   0.0155
  -3.500  -0.0448   0.00626   0.00134  -0.0816   0.7357   0.0158
  -3.350  -0.0272   0.00621   0.00128  -0.0817   0.7323   0.0159
  -3.200  -0.0098   0.00616   0.00121  -0.0819   0.7285   0.0162
  -3.050   0.0075   0.00608   0.00109  -0.0819   0.7246   0.0176
  -2.900   0.0250   0.00602   0.00103  -0.0821   0.7214   0.0191
  -2.750   0.0425   0.00596   0.00098  -0.0822   0.7182   0.0206
  -2.600   0.0600   0.00591   0.00094  -0.0823   0.7145   0.0218
  -2.450   0.0774   0.00589   0.00090  -0.0824   0.7106   0.0226
  -2.300   0.0948   0.00586   0.00086  -0.0826   0.7072   0.0230
  -2.150   0.1124   0.00582   0.00081  -0.0827   0.7040   0.0245
  -2.000   0.1299   0.00577   0.00077  -0.0829   0.7004   0.0282
  -1.850   0.1473   0.00573   0.00073  -0.0830   0.6965   0.0313
  -1.700   0.1647   0.00570   0.00070  -0.0831   0.6932   0.0336
  -1.550   0.1823   0.00565   0.00067  -0.0833   0.6902   0.0417
  -1.400   0.1998   0.00558   0.00064  -0.0834   0.6867   0.0595
  -1.250   0.2171   0.00545   0.00061  -0.0836   0.6830   0.0975
  -1.100   0.2345   0.00530   0.00057  -0.0839   0.6795   0.1484
  -0.950   0.2521   0.00504   0.00053  -0.0842   0.6769   0.2306
  -0.800   0.2696   0.00478   0.00049  -0.0846   0.6737   0.3154
  -0.650   0.2871   0.00448   0.00045  -0.0850   0.6702   0.4141
  -0.500   0.3044   0.00417   0.00043  -0.0854   0.6660   0.5218
  -0.350   0.3220   0.00407   0.00043  -0.0856   0.6622   0.5627
  -0.200   0.3394   0.00402   0.00044  -0.0858   0.6568   0.5907
