alpha,cd
-5.000000,0.008060
-4.850000,0.007990
-4.700000,0.007920
-4.550000,0.007840
-4.400000,0.007740
-4.250000,0.007650
-4.100000,0.007570
-3.950000,0.007520
-3.800000,0.007330
-3.650000,0.007150
-3.500000,0.007040
-3.350000,0.006960
-3.200000,0.006880
-3.050000,0.006820
-2.900000,0.006770
-2.750000,0.006730
-2.600000,0.006680
-2.450000,0.006590
-2.300000,0.006530
-2.150000,0.006480
-2.000000,0.006430
-1.850000,0.006380
-1.700000,0.006300
-1.550000,0.006140
-1.400000,0.005870
-1.250000,0.005500
-1.100000,0.005110
-0.950000,0.004720
-0.800000,0.004580
-0.650000,0.004500
-0.500000,0.004460
-0.350000,0.004440
-0.200000,0.004420
-0.050000,0.004400
0.100000,0.004400
0.400000,0.004430
0.550000,0.004460
0.700000,0.004500
1.000000,0.004560
1.300000,0.004640
1.450000,0.004690
1.600000,0.004770
1.750000,0.004890
1.900000,0.005030
2.050000,0.005260
2.200000,0.005770
2.350000,0.006390
2.500000,0.006880
2.650000,0.007300
2.800000,0.007710
2.950000,0.008060
3.250000,0.008570
3.400000,0.008710
3.700000,0.008940
3.850000,0.009060
4.000000,0.009160
4.150000,0.009250
4.300000,0.009360
4.450000,0.009520
4.600000,0.009670
4.750000,0.009780
4.900000,0.009910
5.050000,0.010050
5.200000,0.010210
5.350000,0.010380
5.500000,0.010570
5.650000,0.010800
5.800000,0.011110
5.950000,0.011290
6.100000,0.011470
6.250000,0.011670
6.400000,0.011870
6.550000,0.012090
6.700000,0.012270
6.850000,0.012470
7.000000,0.012710
7.150000,0.012950
7.300000,0.013200
7.450000,0.013450
7.600000,0.013630
7.750000,0.013830
7.900000,0.014070
8.050000,0.014440
8.200000,0.014930
8.350000,0.015710
8.500000,0.016370
8.650000,0.016610
8.800000,0.016880
8.950000,0.017080
9.100000,0.017390
9.250000,0.017680
9.400000,0.018020
9.550000,0.018350
9.700000,0.018710
9.850000,0.019040
10.000000,0.019280
10.150000,0.019590
10.300000,0.019880
10.450000,0.020250
10.600000,0.020790
10.750000,0.021710
10.900000,0.022240
11.050000,0.022630
11.200000,0.023220
11.350000,0.023680
11.500000,0.024180
11.650000,0.024810
11.800000,0.025450
11.950000,0.025990
12.100000,0.026470
12.250000,0.027150
12.400000,0.027700
12.550000,0.028540
12.700000,0.029490
12.850000,0.030930
13.000000,0.032280
13.150000,0.033520
13.300000,0.035270
13.450000,0.036730
13.600000,0.038510
13.750000,0.040400
13.900000,0.042520
14.050000,0.044590
14.200000,0.047090
14.350000,0.049770
14.500000,0.052390
14.650000,0.055790
14.800000,0.059020
14.950000,0.062310
15.100000,0.066460
15.250000,0.070600
15.400000,0.074910
15.550000,0.079890
15.700000,0.085010
15.850000,0.090870
16.000000,0.096790
16.150000,0.103690
16.300000,0.111590
16.450000,0.121970
16.900000,0.216280
17.050000,0.220070
17.200000,0.223420
17.350000,0.226560
17.500000,0.229400
17.650000,0.232200
17.800000,0.235010
17.950000,0.237360
18.100000,0.239420
18.250000,0.242240
18.400000,0.244490
18.550000,0.246690
18.700000,0.248730
18.850000,0.251210
19.000000,0.254800
19.150000,0.257950
19.300000,0.260920
19.450000,0.263660
19.600000,0.266420
19.750000,0.268970
19.900000,0.271530
20.050000,0.274070
20.200000,0.276560
20.350000,0.279220
20.500000,0.281550
20.650000,0.283890
20.800000,0.286240
