alpha,cl
-5.000000,-0.216400
-4.850000,-0.199200
-4.700000,-0.182100
-4.550000,-0.165100
-4.400000,-0.147900
-4.250000,-0.130600
-4.100000,-0.113500
-3.950000,-0.096400
-3.800000,-0.079300
-3.650000,-0.062200
-3.500000,-0.045100
-3.350000,-0.027900
-3.200000,-0.010500
-3.050000,0.006900
-2.900000,0.024100
-2.750000,0.041400
-2.600000,0.058900
-2.450000,0.076200
-2.300000,0.093500
-2.150000,0.110800
-2.000000,0.128300
-1.850000,0.145700
-1.700000,0.163000
-1.550000,0.180200
-1.400000,0.197500
-1.250000,0.214800
-1.100000,0.231900
-0.950000,0.249000
-0.800000,0.266500
-0.650000,0.284000
-0.500000,0.301400
-0.350000,0.318700
-0.200000,0.336300
-0.050000,0.353800
0.100000,0.371200
0.400000,0.406000
0.550000,0.423200
0.700000,0.440400
1.000000,0.474800
1.300000,0.509200
1.450000,0.526100
1.600000,0.542800
1.750000,0.559000
1.900000,0.575000
2.050000,0.590100
2.200000,0.602400
2.350000,0.613900
2.500000,0.626900
2.650000,0.640300
2.800000,0.654000
2.950000,0.668300
3.250000,0.698400
3.400000,0.714600
3.700000,0.747300
3.850000,0.763600
4.000000,0.780200
4.150000,0.796600
4.300000,0.812900
4.450000,0.828800
4.600000,0.844700
4.750000,0.860900
4.900000,0.877100
5.050000,0.892900
5.200000,0.908700
5.350000,0.924300
5.500000,0.939600
5.650000,0.954600
5.800000,0.968900
5.950000,0.984000
6.100000,0.999300
6.250000,1.014200
6.400000,1.029000
6.550000,1.043600
6.700000,1.058300
6.850000,1.072800
7.000000,1.086800
7.150000,1.100600
7.300000,1.114000
7.450000,1.127000
7.600000,1.140800
7.750000,1.152700
7.900000,1.165400
8.050000,1.178600
8.200000,1.190600
8.350000,1.199800
8.500000,1.210400
8.650000,1.224700
8.800000,1.238700
8.950000,1.253200
9.100000,1.266600
9.250000,1.280000
9.400000,1.292900
9.550000,1.305700
9.700000,1.318100
9.850000,1.330400
10.000000,1.342700
10.150000,1.354000
10.300000,1.365100
10.450000,1.375200
10.600000,1.383300
10.750000,1.387500
10.900000,1.395800
11.050000,1.405600
11.200000,1.413300
11.350000,1.422300
11.500000,1.430900
11.650000,1.438200
11.800000,1.445400
11.950000,1.453600
12.100000,1.462400
12.250000,1.469300
12.400000,1.477600
12.550000,1.483000
12.700000,1.487400
12.850000,1.486800
13.000000,1.487200
13.150000,1.488900
13.300000,1.485700
13.450000,1.485500
13.600000,1.482600
13.750000,1.478900
13.900000,1.473500
14.050000,1.468900
14.200000,1.461000
14.350000,1.452300
14.500000,1.444900
14.650000,1.431800
14.800000,1.421200
14.950000,1.411300
15.100000,1.396200
15.250000,1.382900
15.400000,1.370000
15.550000,1.354700
15.700000,1.340300
15.850000,1.324000
16.000000,1.309700
16.150000,1.293100
16.300000,1.274800
16.450000,1.250100
16.900000,0.991300
17.050000,0.993300
17.200000,0.996300
17.350000,0.999500
17.500000,1.003300
17.650000,1.007100
17.800000,1.011000
17.950000,1.015500
18.100000,1.020300
18.250000,1.024300
18.400000,1.028800
18.550000,1.033500
18.700000,1.038200
18.850000,1.042400
19.000000,1.045300
19.150000,1.049300
19.300000,1.053400
19.450000,1.057700
19.600000,1.062000
19.750000,1.066300
19.900000,1.070700
20.050000,1.075300
20.200000,1.080100
20.350000,1.084800
20.500000,1.089400
20.650000,1.094100
20.800000,1.098700
