  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     1.800 e 6     Ncrit =   7.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2164   0.00806   0.00294  -0.0809   0.8070   0.0130
  -4.850  -0.1992   0.00799   0.00287  -0.0809   0.8031   0.0136
  -4.700  -0.1821   0.00792   0.00278  -0.0810   0.7990   0.0142
  -4.550  -0.1651   0.00784   0.00268  -0.0810   0.7951   0.0148
  -4.400  -0.1479   0.00774   0.00256  -0.0810   0.7917   0.0152
  -4.250  -0.1306   0.00765   0.00245  -0.0811   0.7878   0.0155
  -4.100  -0.1135   0.00757   0.00234  -0.0811   0.7838   0.0158
  -3.950  -0.0964   0.00752   0.00227  -0.0812   0.7799   0.0160
  -3.800  -0.0793   0.00733   0.00205  -0.0813   0.7763   0.0166
  -3.650  -0.0622   0.00715   0.00181  -0.0813   0.7723   0.0175
  -3.500  -0.0451   0.00704   0.00168  -0.0814   0.7683   0.0185
  -3.350  -0.0279   0.00696   0.00158  -0.0814   0.7648   0.0194
  -3.200  -0.0105   0.00688   0.00150  -0.0816   0.7614   0.0203
  -3.050   0.0069   0.00682   0.00142  -0.0817   0.7577   0.0211
  -2.900   0.0241   0.00677   0.00136  -0.0817   0.7539   0.0220
  -2.750   0.0414   0.00673   0.00130  -0.0818   0.7505   0.0227
  -2.600   0.0589   0.00668   0.00124  -0.0819   0.7469   0.0230
  -2.450   0.0762   0.00659   0.00113  -0.0820   0.7431   0.0254
  -2.300   0.0935   0.00653   0.00106  -0.0821   0.7393   0.0284
  -2.150   0.1108   0.00648   0.00100  -0.0822   0.7360   0.0310
  -2.000   0.1283   0.00643   0.00096  -0.0824   0.7326   0.0329
  -1.850   0.1457   0.00638   0.00090  -0.0825   0.7289   0.0393
  -1.700   0.1630   0.00630   0.00086  -0.0826   0.7251   0.0522
  -1.550   0.1802   0.00614   0.00081  -0.0828   0.7217   0.0966
  -1.400   0.1975   0.00587   0.00075  -0.0831   0.7183   0.1718
  -1.250   0.2148   0.00550   0.00068  -0.0835   0.7147   0.2780
  -1.100   0.2319   0.00511   0.00061  -0.0840   0.7111   0.3966
  -0.950   0.2490   0.00472   0.00057  -0.0844   0.7077   0.5190
  -0.800   0.2665   0.00458   0.00057  -0.0846   0.7045   0.5698
  -0.650   0.2840   0.00450   0.00058  -0.0848   0.7009   0.6060
  -0.500   0.3014   0.00446   0.00059  -0.0849   0.6973   0.6295
  -0.350   0.3187   0.00444   0.00060  -0.0850   0.6940   0.6473
  -0.200   0.3363   0.00442   0.00061  -0.0852   0.6909   0.6604
  -0.050   0.3538   0.00440   0.00063  -0.0853   0.6875   0.6757
   0.100   0.3712   0.00440   0.00065  -0.0854   0.6840   0.6893
   0.400   0.4060   0.00443   0.00067  -0.0856   0.6755   0.6984
   0.550   0.4232   0.00446   0.00069  -0.0857   0.6678   0.7024
   0.700   0.4404   0.00450   0.00070  -0.0857   0.6584   0.7063
   1.000   0.4748   0.00456   0.00074  -0.0858   0.6440   0.7137
   1.300   0.5092   0.00464   0.00079  -0.0860   0.6282   0.7215
   1.450   0.5261   0.00469   0.00081  -0.0860   0.6171   0.7250
   1.600   0.5428   0.00477   0.00085  -0.0859   0.6012   0.7290
   1.750   0.5590   0.00489   0.00090  -0.0858   0.5799   0.7330
   1.900   0.5750   0.00503   0.00095  -0.0857   0.5527   0.7369
   2.050   0.5901   0.00526   0.00103  -0.0854   0.5113   0.7405
   2.200   0.6024   0.00577   0.00121  -0.0847   0.4287   0.7446
   2.350   0.6139   0.00639   0.00145  -0.0839   0.3349   0.7488
   2.500   0.6269   0.00688   0.00166  -0.0833   0.2633   0.7527
   2.650   0.6403   0.00730   0.00186  -0.0828   0.2000   0.7568
   2.800   0.6540   0.00771   0.00205  -0.0824   0.1434   0.7611
   2.950   0.6683   0.00806   0.00223  -0.0820   0.0984   0.7652
   3.250   0.6984   0.00857   0.00253  -0.0814   0.0422   0.7734
   3.400   0.7146   0.00871   0.00265  -0.0813   0.0336   0.7780
   3.700   0.7473   0.00894   0.00288  -0.0811   0.0276   0.7868
   3.850   0.7636   0.00906   0.00301  -0.0810   0.0246   0.7915
   4.000   0.7802   0.00916   0.00311  -0.0809   0.0237   0.7959
   4.150   0.7966   0.00925   0.00322  -0.0809   0.0228   0.8003
   4.300   0.8129   0.00936   0.00335  -0.0807   0.0209   0.8051
   4.450   0.8288   0.00952   0.00349  -0.0806   0.0182   0.8097
   4.600   0.8447   0.00967   0.00366  -0.0804   0.0163   0.8142
   4.750   0.8609   0.00978   0.00380  -0.0802   0.0157   0.8193
   4.900   0.8771   0.00991   0.00394  -0.0801   0.0149   0.8243
   5.050   0.8929   0.01005   0.00410  -0.0799   0.0141   0.8291
   5.200   0.9087   0.01021   0.00426  -0.0796   0.0134   0.8345
   5.350   0.9243   0.01038   0.00445  -0.0794   0.0128   0.8395
   5.500   0.9396   0.01057   0.00467  -0.0790   0.0122   0.8446
   5.650   0.9546   0.01080   0.00496  -0.0786   0.0117   0.8500
   5.800   0.9689   0.01111   0.00533  -0.0781   0.0113   0.8552
   5.950   0.9840   0.01129   0.00555  -0.0777   0.0112   0.8607
   6.100   0.9993   0.01147   0.00576  -0.0774   0.0111   0.8666
   6.250   1.0142   0.01167   0.00600  -0.0770   0.0110   0.8725
   6.400   1.0290   0.01187   0.00624  -0.0766   0.0109   0.8792
   6.550   1.0436   0.01209   0.00650  -0.0761   0.0107   0.8858
   6.700   1.0583   0.01227   0.00674  -0.0756   0.0105   0.8930
   6.850   1.0728   0.01247   0.00697  -0.0752   0.0102   0.8999
   7.000   1.0868   0.01271   0.00725  -0.0746   0.0099   0.9077
   7.150   1.1006   0.01295   0.00753  -0.0739   0.0097   0.9148
   7.300   1.1140   0.01320   0.00782  -0.0732   0.0095   0.9230
   7.450   1.1270   0.01345   0.00812  -0.0724   0.0093   0.9311
   7.600   1.1408   0.01363   0.00832  -0.0718   0.0090   0.9400
   7.750   1.1527   0.01383   0.00856  -0.0708   0.0088   0.9519
   7.900   1.1654   0.01407   0.00886  -0.0699   0.0086   0.9791
   8.050   1.1786   0.01444   0.00927  -0.0693   0.0083   1.0000
   8.200   1.1906   0.01493   0.00982  -0.0684   0.0081   1.0000
   8.350   1.1998   0.01571   0.01069  -0.0672   0.0078   1.0000
   8.500   1.2104   0.01637   0.01142  -0.0661   0.0076   1.0000
   8.650   1.2247   0.01661   0.01169  -0.0656   0.0075   1.0000
   8.800   1.2387   0.01688   0.01198  -0.0651   0.0075   1.0000
   8.950   1.2532   0.01708   0.01220  -0.0647   0.0073   1.0000
   9.100   1.2666   0.01739   0.01254  -0.0641   0.0072   1.0000
   9.250   1.2800   0.01768   0.01287  -0.0635   0.0070   1.0000
   9.400   1.2929   0.01802   0.01325  -0.0628   0.0067   1.0000
   9.550   1.3057   0.01835   0.01362  -0.0621   0.0065   1.0000
   9.700   1.3181   0.01871   0.01401  -0.0614   0.0063   1.0000
   9.850   1.3304   0.01904   0.01439  -0.0606   0.0062   1.0000
  10.000   1.3427   0.01928   0.01465  -0.0598   0.0060   1.0000
  10.150   1.3540   0.01959   0.01498  -0.0588   0.0058   1.0000
  10.300   1.3651   0.01988   0.01529  -0.0578   0.0056   1.0000
  10.450   1.3752   0.02025   0.01569  -0.0567   0.0055   1.0000
  10.600   1.3833   0.02079   0.01629  -0.0553   0.0053   1.0000
  10.750   1.3875   0.02171   0.01731  -0.0534   0.0050   1.0000
  10.900   1.3958   0.02224   0.01790  -0.0521   0.0050   1.0000
  11.050   1.4056   0.02263   0.01834  -0.0510   0.0049   1.0000
  11.200   1.4133   0.02322   0.01899  -0.0497   0.0048   1.0000
  11.350   1.4223   0.02368   0.01950  -0.0485   0.0046   1.0000
  11.500   1.4309   0.02418   0.02006  -0.0474   0.0044   1.0000
  11.650   1.4382   0.02481   0.02076  -0.0461   0.0042   1.0000
  11.800   1.4454   0.02545   0.02146  -0.0449   0.0041   1.0000
  11.950   1.4536   0.02599   0.02204  -0.0438   0.0039   1.0000
  12.100   1.4624   0.02647   0.02255  -0.0428   0.0038   1.0000
  12.250   1.4693   0.02715   0.02330  -0.0417   0.0037   1.0000
  12.400   1.4776   0.02770   0.02388  -0.0407   0.0035   1.0000
  12.550   1.4830   0.02854   0.02479  -0.0395   0.0034   1.0000
  12.700   1.4874   0.02949   0.02581  -0.0382   0.0033   1.0000
  12.850   1.4868   0.03093   0.02737  -0.0367   0.0031   1.0000
  13.000   1.4872   0.03228   0.02884  -0.0353   0.0031   1.0000
  13.150   1.4889   0.03352   0.03018  -0.0340   0.0030   1.0000
  13.300   1.4857   0.03527   0.03206  -0.0326   0.0030   1.0000
  13.450   1.4855   0.03673   0.03363  -0.0315   0.0030   1.0000
  13.600   1.4826   0.03851   0.03552  -0.0304   0.0029   1.0000
  13.750   1.4789   0.04040   0.03753  -0.0294   0.0029   1.0000
  13.900   1.4735   0.04252   0.03978  -0.0285   0.0028   1.0000
  14.050   1.4689   0.04459   0.04196  -0.0278   0.0028   1.0000
  14.200   1.4610   0.04709   0.04459  -0.0273   0.0027   1.0000
  14.350   1.4523   0.04977   0.04739  -0.0269   0.0027   1.0000
  14.500   1.4449   0.05239   0.05011  -0.0268   0.0027   1.0000
  14.650   1.4318   0.05579   0.05365  -0.0270   0.0027   1.0000
  14.800   1.4212   0.05902   0.05698  -0.0274   0.0027   1.0000
  14.950   1.4113   0.06231   0.06038  -0.0281   0.0026   1.0000
  15.100   1.3962   0.06646   0.06465  -0.0294   0.0027   1.0000
  15.250   1.3829   0.07060   0.06889  -0.0309   0.0026   1.0000
  15.400   1.3700   0.07491   0.07329  -0.0327   0.0026   1.0000
  15.550   1.3547   0.07989   0.07837  -0.0352   0.0027   1.0000
  15.700   1.3403   0.08501   0.08358  -0.0380   0.0027   1.0000
