alpha,cd
-5.000000,0.006320
-4.850000,0.006270
-4.700000,0.006230
-4.550000,0.006180
-4.400000,0.006100
-4.250000,0.006010
-4.100000,0.005940
-3.950000,0.005880
-3.800000,0.005820
-3.650000,0.005770
-3.500000,0.005730
-3.350000,0.005680
-3.200000,0.005640
-3.050000,0.005610
-2.900000,0.005580
-2.750000,0.005530
-2.600000,0.005480
-2.450000,0.005440
-2.300000,0.005410
-2.150000,0.005390
-2.000000,0.005360
-1.850000,0.005330
-1.700000,0.005290
-1.550000,0.005270
-1.400000,0.005230
-1.250000,0.005190
-1.100000,0.005100
-0.950000,0.005010
-0.800000,0.004840
-0.500000,0.004500
-0.350000,0.004250
-0.200000,0.004040
-0.050000,0.003890
0.100000,0.003870
0.250000,0.003860
0.400000,0.003860
0.550000,0.003880
0.700000,0.003930
0.850000,0.004020
1.000000,0.004160
1.150000,0.004480
1.300000,0.004890
1.450000,0.005130
1.750000,0.005870
1.900000,0.006120
2.050000,0.006300
2.200000,0.006510
2.350000,0.006670
2.500000,0.006860
2.650000,0.006970
2.800000,0.007050
2.950000,0.007130
3.100000,0.007200
3.250000,0.007260
3.400000,0.007320
3.550000,0.007390
3.700000,0.007490
3.850000,0.007580
4.000000,0.007660
4.150000,0.007750
4.450000,0.007960
4.600000,0.008050
4.750000,0.008150
4.900000,0.008250
5.050000,0.008350
5.200000,0.008460
5.350000,0.008570
5.500000,0.008680
5.650000,0.008800
5.800000,0.008930
5.950000,0.009050
6.100000,0.009200
6.250000,0.009350
6.400000,0.009550
6.550000,0.009690
6.700000,0.009810
6.850000,0.009930
7.000000,0.010050
7.150000,0.010160
7.300000,0.010300
7.450000,0.010460
7.600000,0.010610
7.750000,0.010770
7.900000,0.010910
8.050000,0.011070
8.200000,0.011230
8.350000,0.011410
8.500000,0.011590
8.650000,0.011790
8.800000,0.012000
8.950000,0.012250
9.100000,0.012560
9.250000,0.012800
9.400000,0.012970
9.550000,0.013120
9.700000,0.013320
10.000000,0.013660
10.150000,0.013800
10.450000,0.014280
10.600000,0.014550
10.750000,0.014880
10.900000,0.015210
11.050000,0.015530
11.200000,0.015870
11.350000,0.016230
11.500000,0.016610
11.650000,0.017010
11.800000,0.017410
11.950000,0.017820
12.100000,0.018290
12.250000,0.018760
12.400000,0.019320
12.550000,0.019850
12.700000,0.020330
12.850000,0.020890
13.000000,0.021480
13.150000,0.022110
13.300000,0.022800
13.450000,0.023500
13.600000,0.024260
13.750000,0.025110
13.900000,0.025980
14.050000,0.026920
14.200000,0.027920
14.350000,0.029000
14.500000,0.030180
14.650000,0.031390
14.800000,0.032730
14.950000,0.034180
15.100000,0.035730
15.250000,0.037400
15.400000,0.039210
15.550000,0.041080
15.700000,0.043110
15.850000,0.045470
16.000000,0.047720
16.150000,0.050280
16.300000,0.053110
16.450000,0.056050
16.600000,0.059140
16.750000,0.062610
16.900000,0.066470
17.050000,0.070480
17.200000,0.074620
17.350000,0.078900
17.500000,0.083590
17.650000,0.088980
17.800000,0.094250
17.950000,0.100120
18.100000,0.106460
18.250000,0.113200
18.400000,0.120560
18.550000,0.129160
18.700000,0.139440
