alpha,cl
-5.000000,-0.218900
-4.850000,-0.201500
-4.700000,-0.184100
-4.550000,-0.166500
-4.400000,-0.149000
-4.250000,-0.131600
-4.100000,-0.114200
-3.950000,-0.096700
-3.800000,-0.079100
-3.650000,-0.061600
-3.500000,-0.044200
-3.350000,-0.026600
-3.200000,-0.009100
-3.050000,0.008500
-2.900000,0.025900
-2.750000,0.043500
-2.600000,0.061000
-2.450000,0.078600
-2.300000,0.096000
-2.150000,0.113600
-2.000000,0.131200
-1.850000,0.148700
-1.700000,0.166200
-1.550000,0.183700
-1.400000,0.201300
-1.250000,0.218900
-1.100000,0.236400
-0.950000,0.253800
-0.800000,0.271300
-0.500000,0.306200
-0.350000,0.323700
-0.200000,0.341100
-0.050000,0.358700
0.100000,0.375800
0.250000,0.392900
0.400000,0.410200
0.550000,0.427300
0.700000,0.444400
0.850000,0.461000
1.000000,0.477200
1.150000,0.491600
1.300000,0.505300
1.450000,0.520700
1.750000,0.549200
1.900000,0.564500
2.050000,0.580600
2.200000,0.596300
2.350000,0.612500
2.500000,0.628400
2.650000,0.645000
2.800000,0.661900
2.950000,0.678800
3.100000,0.695800
3.250000,0.712800
3.400000,0.729800
3.550000,0.746700
3.700000,0.763400
3.850000,0.780100
4.000000,0.796900
4.150000,0.813600
4.450000,0.846800
4.600000,0.863500
4.750000,0.880100
4.900000,0.896700
5.050000,0.913200
5.200000,0.929700
5.350000,0.946200
5.500000,0.962600
5.650000,0.979000
5.800000,0.995200
5.950000,1.011500
6.100000,1.027500
6.250000,1.043500
6.400000,1.059100
6.550000,1.075100
6.700000,1.091300
6.850000,1.107400
7.000000,1.123600
7.150000,1.139800
7.300000,1.155700
7.450000,1.171500
7.600000,1.187300
7.750000,1.202900
7.900000,1.218700
8.050000,1.234300
8.200000,1.249800
8.350000,1.265100
8.500000,1.280300
8.650000,1.295300
8.800000,1.310000
8.950000,1.324200
9.100000,1.337700
9.250000,1.351800
9.400000,1.366500
9.550000,1.381400
9.700000,1.395400
10.000000,1.423000
10.150000,1.436300
10.450000,1.463300
10.600000,1.476900
10.750000,1.489700
10.900000,1.502500
11.050000,1.515300
11.200000,1.527600
11.350000,1.539500
11.500000,1.550900
11.650000,1.561400
11.800000,1.570100
11.950000,1.578100
12.100000,1.585200
12.250000,1.592400
12.400000,1.598700
12.550000,1.605500
12.700000,1.613000
12.850000,1.619700
13.000000,1.626100
13.150000,1.632400
13.300000,1.637700
13.450000,1.643300
13.600000,1.648300
13.750000,1.652300
13.900000,1.656200
14.050000,1.659500
14.200000,1.662300
14.350000,1.664300
14.500000,1.665500
14.650000,1.666500
14.800000,1.666400
14.950000,1.665500
15.100000,1.663700
15.250000,1.661300
15.400000,1.657800
15.550000,1.654200
15.700000,1.649400
15.850000,1.642200
16.000000,1.636700
16.150000,1.629100
16.300000,1.620000
16.450000,1.611000
16.600000,1.601800
16.750000,1.590700
16.900000,1.577800
17.050000,1.565200
17.200000,1.553000
17.350000,1.541100
17.500000,1.527800
17.650000,1.512000
17.800000,1.498300
17.950000,1.482800
18.100000,1.466400
18.250000,1.449400
18.400000,1.430900
18.550000,1.408300
18.700000,1.379900
