alpha,cd
-5.000000,0.006800
-4.850000,0.006740
-4.700000,0.006690
-4.550000,0.006620
-4.400000,0.006510
-4.250000,0.006420
-4.100000,0.006350
-3.950000,0.006300
-3.800000,0.006240
-3.650000,0.006180
-3.500000,0.006130
-3.350000,0.006090
-3.200000,0.006050
-3.050000,0.006000
-2.900000,0.005950
-2.750000,0.005900
-2.600000,0.005860
-2.450000,0.005810
-2.300000,0.005780
-2.150000,0.005750
-2.000000,0.005730
-1.850000,0.005690
-1.700000,0.005640
-1.550000,0.005620
-1.400000,0.005590
-1.250000,0.005540
-1.100000,0.005430
-0.950000,0.005290
-0.800000,0.005110
-0.650000,0.004930
-0.500000,0.004640
-0.350000,0.004360
-0.200000,0.004150
-0.050000,0.004070
0.100000,0.004060
0.250000,0.004040
0.400000,0.004060
0.550000,0.004080
0.700000,0.004130
0.850000,0.004200
1.000000,0.004280
1.150000,0.004430
1.300000,0.004800
1.450000,0.005260
1.600000,0.005560
1.750000,0.005930
1.900000,0.006330
2.050000,0.006650
2.200000,0.006860
2.350000,0.007040
2.500000,0.007220
2.650000,0.007390
2.800000,0.007470
2.950000,0.007560
3.100000,0.007640
3.250000,0.007710
3.400000,0.007780
3.700000,0.007940
3.850000,0.008040
4.000000,0.008140
4.150000,0.008230
4.300000,0.008330
4.450000,0.008450
4.600000,0.008560
4.750000,0.008660
4.900000,0.008760
5.050000,0.008860
5.200000,0.008980
5.350000,0.009100
5.500000,0.009220
5.650000,0.009350
5.800000,0.009480
5.950000,0.009610
6.100000,0.009760
6.250000,0.009910
6.400000,0.010080
6.550000,0.010270
6.700000,0.010510
6.850000,0.010650
7.000000,0.010800
7.150000,0.010920
7.300000,0.011060
7.450000,0.011230
7.600000,0.011400
7.750000,0.011580
7.900000,0.011770
8.050000,0.011950
8.200000,0.012120
8.350000,0.012310
8.500000,0.012490
8.650000,0.012680
8.800000,0.012890
8.950000,0.013110
9.100000,0.013370
9.250000,0.013680
9.400000,0.014000
9.550000,0.014190
9.700000,0.014400
9.850000,0.014580
10.150000,0.015020
10.300000,0.015280
10.450000,0.015530
10.600000,0.015810
10.750000,0.016110
10.900000,0.016460
11.050000,0.016840
11.200000,0.017210
11.350000,0.017590
11.500000,0.017970
11.650000,0.018380
11.800000,0.018820
11.950000,0.019270
12.100000,0.019770
12.250000,0.020300
12.400000,0.020890
12.550000,0.021530
12.700000,0.022200
12.850000,0.022950
13.000000,0.023680
13.150000,0.024420
13.300000,0.025260
13.450000,0.026060
13.600000,0.026980
13.750000,0.027990
13.900000,0.029040
14.050000,0.030120
14.200000,0.031330
14.350000,0.032630
14.500000,0.034010
14.650000,0.035530
14.800000,0.037130
14.950000,0.038850
15.100000,0.040760
15.250000,0.042790
15.400000,0.044970
15.550000,0.047280
15.700000,0.049740
15.850000,0.052620
16.000000,0.055320
16.150000,0.058410
16.300000,0.061900
16.450000,0.065390
16.600000,0.069250
16.750000,0.073380
16.900000,0.077870
17.050000,0.082810
17.200000,0.087790
17.350000,0.093090
17.500000,0.099070
17.650000,0.105720
17.800000,0.112550
17.950000,0.120480
18.100000,0.129680
18.700000,0.241190
18.850000,0.244790
19.000000,0.248090
19.150000,0.251090
19.300000,0.253940
19.450000,0.257150
19.600000,0.259370
19.750000,0.261930
19.900000,0.264300
20.050000,0.266660
20.200000,0.269220
20.350000,0.273230
20.500000,0.276000
20.650000,0.278810
20.800000,0.281970
20.950000,0.285210
21.100000,0.288110
21.250000,0.291070
21.400000,0.293750
21.550000,0.296350
21.700000,0.298940
21.850000,0.301290
22.000000,0.303780
22.150000,0.306190
22.300000,0.308500
22.450000,0.310720
22.600000,0.312890
22.750000,0.315070
22.900000,0.317200
23.050000,0.319110
