alpha,cl
-5.000000,-0.219500
-4.850000,-0.202100
-4.700000,-0.184700
-4.550000,-0.167400
-4.400000,-0.150000
-4.250000,-0.132500
-4.100000,-0.115100
-3.950000,-0.097800
-3.800000,-0.080300
-3.650000,-0.062800
-3.500000,-0.045300
-3.350000,-0.027900
-3.200000,-0.010500
-3.050000,0.007100
-2.900000,0.024600
-2.750000,0.042000
-2.600000,0.059400
-2.450000,0.077000
-2.300000,0.094500
-2.150000,0.112000
-2.000000,0.129400
-1.850000,0.147000
-1.700000,0.164500
-1.550000,0.182000
-1.400000,0.199400
-1.250000,0.216900
-1.100000,0.234500
-0.950000,0.252000
-0.800000,0.269500
-0.650000,0.286900
-0.500000,0.304500
-0.350000,0.321900
-0.200000,0.339200
-0.050000,0.356700
0.100000,0.374000
0.250000,0.391200
0.400000,0.408300
0.550000,0.425600
0.700000,0.442600
0.850000,0.459500
1.000000,0.476300
1.150000,0.492400
1.300000,0.506400
1.450000,0.519500
1.600000,0.534300
1.750000,0.548600
1.900000,0.562500
2.050000,0.577200
2.200000,0.593000
2.350000,0.609000
2.500000,0.624900
2.650000,0.640900
2.800000,0.657800
2.950000,0.674600
3.100000,0.691400
3.250000,0.708300
3.400000,0.725200
3.700000,0.758800
3.850000,0.775300
4.000000,0.792000
4.150000,0.808700
4.300000,0.825200
4.450000,0.841600
4.600000,0.858100
4.750000,0.874700
4.900000,0.891200
5.050000,0.907600
5.200000,0.924000
5.350000,0.940300
5.500000,0.956600
5.650000,0.972800
5.800000,0.988900
5.950000,1.005100
6.100000,1.021000
6.250000,1.036900
6.400000,1.052600
6.550000,1.068200
6.700000,1.083200
6.850000,1.099100
7.000000,1.114800
7.150000,1.130900
7.300000,1.146700
7.450000,1.162100
7.600000,1.177600
7.750000,1.192900
7.900000,1.208100
8.050000,1.223300
8.200000,1.238500
8.350000,1.253500
8.500000,1.268500
8.650000,1.283200
8.800000,1.297700
8.950000,1.311800
9.100000,1.325600
9.250000,1.338500
9.400000,1.351400
9.550000,1.365000
9.700000,1.377900
9.850000,1.389000
10.150000,1.417200
10.300000,1.430800
10.450000,1.444500
10.600000,1.457700
10.750000,1.470500
10.900000,1.482700
11.050000,1.494200
11.200000,1.505300
11.350000,1.515000
11.500000,1.523800
11.650000,1.532200
11.800000,1.540300
11.950000,1.548200
12.100000,1.555700
12.250000,1.562900
12.400000,1.569400
12.550000,1.575700
12.700000,1.581500
12.850000,1.586800
13.000000,1.592200
13.150000,1.597600
13.300000,1.602100
13.450000,1.607000
13.600000,1.610800
13.750000,1.613700
13.900000,1.616200
14.050000,1.618700
14.200000,1.620000
14.350000,1.620400
14.500000,1.620300
14.650000,1.619000
14.800000,1.617300
14.950000,1.614700
15.100000,1.610800
15.250000,1.606000
15.400000,1.600400
15.550000,1.594300
15.700000,1.587500
15.850000,1.577700
16.000000,1.570400
16.150000,1.560900
16.300000,1.549500
16.450000,1.538800
16.600000,1.527000
16.750000,1.514500
16.900000,1.501100
17.050000,1.486200
17.200000,1.472600
17.350000,1.458700
17.500000,1.442900
17.650000,1.425400
17.800000,1.408500
17.950000,1.388400
18.100000,1.364600
18.700000,1.054500
18.850000,1.056800
19.000000,1.059700
19.150000,1.063100
19.300000,1.066700
19.450000,1.069900
19.600000,1.074400
19.750000,1.078400
19.900000,1.082700
20.050000,1.087100
20.200000,1.091200
20.350000,1.093800
20.500000,1.097800
20.650000,1.102100
20.800000,1.105900
20.950000,1.109900
21.100000,1.114200
21.250000,1.118400
21.400000,1.122900
21.550000,1.127400
21.700000,1.132000
21.850000,1.136600
22.000000,1.141100
22.150000,1.145800
22.300000,1.150400
22.450000,1.155100
22.600000,1.159700
22.750000,1.164400
22.900000,1.169100
23.050000,1.173700
