  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     3.600 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2195   0.00680   0.00201  -0.0806   0.7493   0.0110
  -4.850  -0.2021   0.00674   0.00194  -0.0806   0.7458   0.0111
  -4.700  -0.1847   0.00669   0.00187  -0.0807   0.7417   0.0112
  -4.550  -0.1674   0.00662   0.00178  -0.0808   0.7378   0.0114
  -4.400  -0.1500   0.00651   0.00164  -0.0809   0.7349   0.0121
  -4.250  -0.1325   0.00642   0.00154  -0.0810   0.7317   0.0129
  -4.100  -0.1151   0.00635   0.00147  -0.0811   0.7281   0.0133
  -3.950  -0.0978   0.00630   0.00140  -0.0812   0.7244   0.0138
  -3.800  -0.0803   0.00624   0.00134  -0.0813   0.7212   0.0143
  -3.650  -0.0628   0.00618   0.00127  -0.0814   0.7180   0.0149
  -3.500  -0.0453   0.00613   0.00121  -0.0815   0.7144   0.0153
  -3.350  -0.0279   0.00609   0.00116  -0.0816   0.7105   0.0156
  -3.200  -0.0105   0.00605   0.00111  -0.0818   0.7073   0.0159
  -3.050   0.0071   0.00600   0.00106  -0.0819   0.7042   0.0160
  -2.900   0.0246   0.00595   0.00099  -0.0820   0.7008   0.0168
  -2.750   0.0420   0.00590   0.00093  -0.0821   0.6971   0.0186
  -2.600   0.0594   0.00586   0.00089  -0.0823   0.6936   0.0203
  -2.450   0.0770   0.00581   0.00085  -0.0824   0.6906   0.0216
  -2.300   0.0945   0.00578   0.00081  -0.0825   0.6872   0.0225
  -2.150   0.1120   0.00575   0.00078  -0.0827   0.6836   0.0230
  -2.000   0.1294   0.00573   0.00074  -0.0828   0.6798   0.0242
  -1.850   0.1470   0.00569   0.00071  -0.0829   0.6772   0.0277
  -1.700   0.1645   0.00564   0.00068  -0.0831   0.6741   0.0307
  -1.550   0.1820   0.00562   0.00065  -0.0832   0.6707   0.0331
  -1.400   0.1994   0.00559   0.00063  -0.0834   0.6670   0.0394
  -1.250   0.2169   0.00554   0.00061  -0.0835   0.6642   0.0502
  -1.100   0.2345   0.00543   0.00058  -0.0837   0.6614   0.0789
  -0.950   0.2520   0.00529   0.00055  -0.0840   0.6584   0.1256
  -0.800   0.2695   0.00511   0.00052  -0.0843   0.6549   0.1872
  -0.650   0.2869   0.00493   0.00049  -0.0845   0.6509   0.2530
  -0.500   0.3045   0.00464   0.00046  -0.0849   0.6468   0.3520
  -0.350   0.3219   0.00436   0.00042  -0.0853   0.6410   0.4500
