alpha,cd
-5.000000,0.007800
-4.850000,0.007670
-4.700000,0.007580
-4.550000,0.007500
-4.400000,0.007420
-4.100000,0.007250
-3.950000,0.007180
-3.800000,0.007130
-3.650000,0.007060
-3.500000,0.006980
-3.350000,0.006840
-3.200000,0.006760
-3.050000,0.006700
-2.900000,0.006640
-2.750000,0.006590
-2.600000,0.006550
-2.450000,0.006520
-2.300000,0.006460
-2.150000,0.006400
-2.000000,0.006350
-1.850000,0.006320
-1.700000,0.006280
-1.550000,0.006220
-1.100000,0.005620
-0.950000,0.005290
-0.800000,0.004900
-0.650000,0.004600
-0.500000,0.004500
-0.350000,0.004440
-0.200000,0.004410
-0.050000,0.004400
0.100000,0.004390
0.250000,0.004380
0.400000,0.004410
0.550000,0.004440
0.700000,0.004490
0.850000,0.004530
1.000000,0.004570
1.150000,0.004610
1.300000,0.004670
1.450000,0.004750
1.750000,0.005110
1.900000,0.005520
2.050000,0.006080
2.350000,0.007120
2.500000,0.007450
2.800000,0.008020
2.950000,0.008260
3.100000,0.008420
3.250000,0.008520
3.400000,0.008630
3.550000,0.008730
3.700000,0.008820
3.850000,0.008910
4.000000,0.009000
4.150000,0.009110
4.300000,0.009260
4.450000,0.009370
4.600000,0.009480
4.750000,0.009610
4.900000,0.009740
5.050000,0.009900
5.200000,0.010080
5.350000,0.010230
5.500000,0.010370
5.650000,0.010520
5.800000,0.010680
5.950000,0.010840
6.100000,0.011020
6.250000,0.011200
6.400000,0.011380
6.550000,0.011580
6.700000,0.011760
6.850000,0.011950
7.000000,0.012140
7.150000,0.012360
7.300000,0.012600
7.450000,0.012880
7.600000,0.013300
7.750000,0.013730
7.900000,0.013980
8.050000,0.014210
8.200000,0.014430
8.350000,0.014670
8.500000,0.014900
8.800000,0.015400
8.950000,0.015640
9.100000,0.015940
9.250000,0.016230
9.400000,0.016510
9.550000,0.016780
9.700000,0.017070
9.850000,0.017370
10.000000,0.017690
10.150000,0.018200
10.300000,0.018710
10.450000,0.019070
10.600000,0.019470
10.750000,0.019850
10.900000,0.020310
11.050000,0.020690
11.200000,0.021160
11.350000,0.021490
11.500000,0.021850
11.650000,0.022310
11.800000,0.022800
11.950000,0.023340
12.100000,0.024060
12.250000,0.024870
12.400000,0.025640
12.550000,0.026520
12.700000,0.027380
12.850000,0.028370
13.000000,0.029420
13.150000,0.030450
13.300000,0.031780
13.450000,0.032910
13.600000,0.034260
13.750000,0.035650
13.900000,0.037220
14.050000,0.038750
14.200000,0.040570
14.350000,0.042530
14.500000,0.044510
14.650000,0.046940
14.800000,0.049350
14.950000,0.051980
15.100000,0.054930
15.250000,0.058140
15.400000,0.061540
15.550000,0.065180
15.700000,0.069000
15.850000,0.073450
16.000000,0.077830
16.150000,0.082700
16.300000,0.087970
16.450000,0.093600
16.600000,0.099980
16.750000,0.106870
16.900000,0.115110
