alpha,cl
-5.000000,-0.218200
-4.850000,-0.201300
-4.700000,-0.184000
-4.550000,-0.166800
-4.400000,-0.149600
-4.100000,-0.115100
-3.950000,-0.097800
-3.800000,-0.080600
-3.650000,-0.063400
-3.500000,-0.046000
-3.350000,-0.028700
-3.200000,-0.011400
-3.050000,0.005800
-2.900000,0.023300
-2.750000,0.040700
-2.600000,0.058100
-2.450000,0.075300
-2.300000,0.092800
-2.150000,0.110300
-2.000000,0.127600
-1.850000,0.144900
-1.700000,0.162400
-1.550000,0.179900
-1.100000,0.231800
-0.950000,0.249200
-0.800000,0.266500
-0.650000,0.283800
-0.500000,0.301200
-0.350000,0.318700
-0.200000,0.336300
-0.050000,0.353700
0.100000,0.371000
0.250000,0.388500
0.400000,0.405900
0.550000,0.423000
0.700000,0.440000
0.850000,0.457200
1.000000,0.474500
1.150000,0.491600
1.300000,0.508600
1.450000,0.525300
1.750000,0.556600
1.900000,0.570000
2.050000,0.582100
2.350000,0.607400
2.500000,0.622000
2.800000,0.651700
2.950000,0.667100
3.100000,0.683100
3.250000,0.699700
3.400000,0.716100
3.550000,0.732600
3.700000,0.749200
3.850000,0.765900
4.000000,0.782400
4.150000,0.798700
4.300000,0.814900
4.450000,0.831200
4.600000,0.847500
4.750000,0.863700
4.900000,0.879700
5.050000,0.895600
5.200000,0.911200
5.350000,0.927100
5.500000,0.943000
5.650000,0.958800
5.800000,0.974600
5.950000,0.990200
6.100000,1.005700
6.250000,1.021000
6.400000,1.036300
6.550000,1.051500
6.700000,1.066600
6.850000,1.081700
7.000000,1.096500
7.150000,1.111100
7.300000,1.125400
7.450000,1.139100
7.600000,1.151200
7.750000,1.163000
7.900000,1.176500
8.050000,1.190100
8.200000,1.203100
8.350000,1.215600
8.500000,1.226700
8.800000,1.254600
8.950000,1.268900
9.100000,1.282500
9.250000,1.296100
9.400000,1.309600
9.550000,1.323100
9.700000,1.336400
9.850000,1.349400
10.000000,1.362100
10.150000,1.372500
10.300000,1.381600
10.450000,1.391900
10.600000,1.401500
10.750000,1.411100
10.900000,1.419900
11.050000,1.429500
11.200000,1.438100
11.350000,1.448400
11.500000,1.458400
11.650000,1.467300
11.800000,1.476000
11.950000,1.484200
12.100000,1.490500
12.250000,1.495800
12.400000,1.501500
12.550000,1.506000
12.700000,1.510900
12.850000,1.514700
13.000000,1.517700
13.150000,1.521200
13.300000,1.521800
13.450000,1.524400
13.600000,1.525100
13.750000,1.525600
13.900000,1.524600
14.050000,1.524000
14.200000,1.521100
14.350000,1.517300
14.500000,1.513600
14.650000,1.506400
14.800000,1.500100
14.950000,1.492600
15.100000,1.482900
15.250000,1.472300
15.400000,1.461300
15.550000,1.449400
15.700000,1.437700
15.850000,1.423200
16.000000,1.410600
16.150000,1.396400
16.300000,1.381700
16.450000,1.367000
16.600000,1.350500
16.750000,1.333800
16.900000,1.313400
