alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.218200,0.007800,-0.080500,-27.974359,2000000.000000,6.000000
-4.850000,-0.201300,0.007670,-0.080500,-26.245111,2000000.000000,6.000000
-4.700000,-0.184000,0.007580,-0.080600,-24.274406,2000000.000000,6.000000
-4.550000,-0.166800,0.007500,-0.080700,-22.240000,2000000.000000,6.000000
-4.400000,-0.149600,0.007420,-0.080700,-20.161725,2000000.000000,6.000000
-4.100000,-0.115100,0.007250,-0.080800,-15.875862,2000000.000000,6.000000
-3.950000,-0.097800,0.007180,-0.080900,-13.621170,2000000.000000,6.000000
-3.800000,-0.080600,0.007130,-0.081000,-11.304348,2000000.000000,6.000000
-3.650000,-0.063400,0.007060,-0.081100,-8.980170,2000000.000000,6.000000
-3.500000,-0.046000,0.006980,-0.081200,-6.590258,2000000.000000,6.000000
-3.350000,-0.028700,0.006840,-0.081300,-4.195906,2000000.000000,6.000000
-3.200000,-0.011400,0.006760,-0.081300,-1.686391,2000000.000000,6.000000
-3.050000,0.005800,0.006700,-0.081400,0.865672,2000000.000000,6.000000
-2.900000,0.023300,0.006640,-0.081600,3.509036,2000000.000000,6.000000
-2.750000,0.040700,0.006590,-0.081700,6.176024,2000000.000000,6.000000
-2.600000,0.058100,0.006550,-0.081800,8.870229,2000000.000000,6.000000
-2.450000,0.075300,0.006520,-0.081900,11.549080,2000000.000000,6.000000
-2.300000,0.092800,0.006460,-0.082000,14.365325,2000000.000000,6.000000
-2.150000,0.110300,0.006400,-0.082100,17.234375,2000000.000000,6.000000
-2.000000,0.127600,0.006350,-0.082200,20.094488,2000000.000000,6.000000
-1.850000,0.144900,0.006320,-0.082300,22.927215,2000000.000000,6.000000
-1.700000,0.162400,0.006280,-0.082500,25.859873,2000000.000000,6.000000
-1.550000,0.179900,0.006220,-0.082600,28.922830,2000000.000000,6.000000
-1.100000,0.231800,0.005620,-0.083400,41.245552,2000000.000000,6.000000
-0.950000,0.249200,0.005290,-0.083800,47.107750,2000000.000000,6.000000
-0.800000,0.266500,0.004900,-0.084300,54.387755,2000000.000000,6.000000
-0.650000,0.283800,0.004600,-0.084600,61.695652,2000000.000000,6.000000
-0.500000,0.301200,0.004500,-0.084800,66.933333,2000000.000000,6.000000
-0.350000,0.318700,0.004440,-0.085000,71.779279,2000000.000000,6.000000
-0.200000,0.336300,0.004410,-0.085100,76.258503,2000000.000000,6.000000
-0.050000,0.353700,0.004400,-0.085200,80.386364,2000000.000000,6.000000
0.100000,0.371000,0.004390,-0.085300,84.510251,2000000.000000,6.000000
0.250000,0.388500,0.004380,-0.085500,88.698630,2000000.000000,6.000000
0.400000,0.405900,0.004410,-0.085600,92.040816,2000000.000000,6.000000
0.550000,0.423000,0.004440,-0.085600,95.270270,2000000.000000,6.000000
0.700000,0.440000,0.004490,-0.085700,97.995546,2000000.000000,6.000000
0.850000,0.457200,0.004530,-0.085700,100.927152,2000000.000000,6.000000
1.000000,0.474500,0.004570,-0.085800,103.829322,2000000.000000,6.000000
1.150000,0.491600,0.004610,-0.085900,106.637744,2000000.000000,6.000000
1.300000,0.508600,0.004670,-0.085900,108.907923,2000000.000000,6.000000
1.450000,0.525300,0.004750,-0.085900,110.589474,2000000.000000,6.000000
1.750000,0.556600,0.005110,-0.085500,108.923679,2000000.000000,6.000000
1.900000,0.570000,0.005520,-0.084900,103.260870,2000000.000000,6.000000
2.050000,0.582100,0.006080,-0.084200,95.740132,2000000.000000,6.000000
2.350000,0.607400,0.007120,-0.083000,85.308989,2000000.000000,6.000000
2.500000,0.622000,0.007450,-0.082700,83.489933,2000000.000000,6.000000
2.800000,0.651700,0.008020,-0.082100,81.259352,2000000.000000,6.000000
2.950000,0.667100,0.008260,-0.081900,80.762712,2000000.000000,6.000000
3.100000,0.683100,0.008420,-0.081700,81.128266,2000000.000000,6.000000
3.250000,0.699700,0.008520,-0.081700,82.124413,2000000.000000,6.000000
3.400000,0.716100,0.008630,-0.081600,82.977984,2000000.000000,6.000000
3.550000,0.732600,0.008730,-0.081600,83.917526,2000000.000000,6.000000
3.700000,0.749200,0.008820,-0.081500,84.943311,2000000.000000,6.000000
3.850000,0.765900,0.008910,-0.081500,85.959596,2000000.000000,6.000000
4.000000,0.782400,0.009000,-0.081400,86.933333,2000000.000000,6.000000
4.150000,0.798700,0.009110,-0.081300,87.672887,2000000.000000,6.000000
4.300000,0.814900,0.009260,-0.081200,88.002160,2000000.000000,6.000000
4.450000,0.831200,0.009370,-0.081100,88.708645,2000000.000000,6.000000
4.600000,0.847500,0.009480,-0.080900,89.398734,2000000.000000,6.000000
4.750000,0.863700,0.009610,-0.080800,89.875130,2000000.000000,6.000000
4.900000,0.879700,0.009740,-0.080600,90.318275,2000000.000000,6.000000
5.050000,0.895600,0.009900,-0.080400,90.464646,2000000.000000,6.000000
5.200000,0.911200,0.010080,-0.080200,90.396825,2000000.000000,6.000000
5.350000,0.927100,0.010230,-0.080000,90.625611,2000000.000000,6.000000
