  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     2.000 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2182   0.00780   0.00263  -0.0805   0.7841   0.0118
  -4.850  -0.2013   0.00767   0.00247  -0.0805   0.7804   0.0126
  -4.700  -0.1840   0.00758   0.00239  -0.0806   0.7771   0.0133
  -4.550  -0.1668   0.00750   0.00230  -0.0807   0.7734   0.0138
  -4.400  -0.1496   0.00742   0.00220  -0.0807   0.7696   0.0142
  -4.100  -0.1151   0.00725   0.00199  -0.0808   0.7625   0.0150
  -3.950  -0.0978   0.00718   0.00191  -0.0809   0.7585   0.0154
  -3.800  -0.0806   0.00713   0.00183  -0.0810   0.7546   0.0157
  -3.650  -0.0634   0.00706   0.00173  -0.0811   0.7509   0.0159
  -3.500  -0.0460   0.00698   0.00164  -0.0812   0.7476   0.0162
  -3.350  -0.0287   0.00684   0.00146  -0.0813   0.7441   0.0173
  -3.200  -0.0114   0.00676   0.00137  -0.0813   0.7405   0.0186
  -3.050   0.0058   0.00670   0.00130  -0.0814   0.7370   0.0196
  -2.900   0.0233   0.00664   0.00124  -0.0816   0.7338   0.0208
  -2.750   0.0407   0.00659   0.00117  -0.0817   0.7302   0.0218
  -2.600   0.0581   0.00655   0.00112  -0.0818   0.7264   0.0225
  -2.450   0.0753   0.00652   0.00107  -0.0819   0.7229   0.0230
  -2.300   0.0928   0.00646   0.00101  -0.0820   0.7198   0.0246
  -2.150   0.1103   0.00640   0.00095  -0.0821   0.7163   0.0278
  -2.000   0.1276   0.00635   0.00091  -0.0822   0.7127   0.0306
  -1.850   0.1449   0.00632   0.00087  -0.0823   0.7092   0.0329
  -1.700   0.1624   0.00628   0.00083  -0.0825   0.7060   0.0387
  -1.550   0.1799   0.00622   0.00079  -0.0826   0.7026   0.0474
  -1.100   0.2318   0.00562   0.00065  -0.0834   0.6924   0.2224
  -0.950   0.2492   0.00529   0.00060  -0.0838   0.6891   0.3243
  -0.800   0.2665   0.00490   0.00054  -0.0843   0.6857   0.4407
  -0.650   0.2838   0.00460   0.00053  -0.0846   0.6822   0.5483
  -0.500   0.3012   0.00450   0.00053  -0.0848   0.6791   0.5881
  -0.350   0.3187   0.00444   0.00055  -0.0850   0.6762   0.6144
  -0.200   0.3363   0.00441   0.00056  -0.0851   0.6729   0.6313
  -0.050   0.3537   0.00440   0.00057  -0.0852   0.6695   0.6479
   0.100   0.3710   0.00439   0.00059  -0.0853   0.6655   0.6664
   0.250   0.3885   0.00438   0.00060  -0.0855   0.6613   0.6754
   0.400   0.4059   0.00441   0.00062  -0.0856   0.6553   0.6796
   0.550   0.4230   0.00444   0.00063  -0.0856   0.6452   0.6833
   0.700   0.4400   0.00449   0.00065  -0.0857   0.6343   0.6871
   0.850   0.4572   0.00453   0.00067  -0.0857   0.6262   0.6909
   1.000   0.4745   0.00457   0.00069  -0.0858   0.6200   0.6943
   1.150   0.4916   0.00461   0.00071  -0.0859   0.6102   0.6981
   1.300   0.5086   0.00467   0.00074  -0.0859   0.5981   0.7020
   1.450   0.5253   0.00475   0.00078  -0.0859   0.5818   0.7057
   1.750   0.5566   0.00511   0.00090  -0.0855   0.5158   0.7129
   1.900   0.5700   0.00552   0.00104  -0.0849   0.4465   0.7170
   2.050   0.5821   0.00608   0.00126  -0.0842   0.3588   0.7208
   2.350   0.6074   0.00712   0.00168  -0.0830   0.1983   0.7281
   2.500   0.6220   0.00745   0.00183  -0.0827   0.1517   0.7321
   2.800   0.6517   0.00802   0.00214  -0.0821   0.0752   0.7396
   2.950   0.6671   0.00826   0.00228  -0.0819   0.0490   0.7436
   3.100   0.6831   0.00842   0.00239  -0.0817   0.0357   0.7476
   3.250   0.6997   0.00852   0.00248  -0.0817   0.0319   0.7513
   3.400   0.7161   0.00863   0.00258  -0.0816   0.0290   0.7551
   3.550   0.7326   0.00873   0.00269  -0.0816   0.0258   0.7594
   3.700   0.7492   0.00882   0.00279  -0.0815   0.0240   0.7638
   3.850   0.7659   0.00891   0.00289  -0.0815   0.0235   0.7677
   4.000   0.7824   0.00900   0.00299  -0.0814   0.0224   0.7720
