alpha,cd
-5.000000,0.006210
-4.850000,0.006150
-4.700000,0.006100
-4.550000,0.006050
-4.400000,0.006010
-4.250000,0.005960
-4.100000,0.005900
-3.950000,0.005830
-3.800000,0.005780
-3.650000,0.005720
-3.500000,0.005670
-3.350000,0.005620
-3.200000,0.005590
-3.050000,0.005550
-2.900000,0.005510
-2.750000,0.005480
-2.600000,0.005450
-2.450000,0.005410
-2.300000,0.005370
-2.150000,0.005330
-2.000000,0.005310
-1.850000,0.005300
-1.700000,0.005270
-1.550000,0.005230
-1.400000,0.005200
-1.250000,0.005190
-1.100000,0.005160
-0.950000,0.005100
-0.650000,0.004900
-0.500000,0.004810
-0.350000,0.004630
-0.200000,0.004460
-0.050000,0.004320
0.100000,0.004140
0.250000,0.004050
0.400000,0.004030
0.550000,0.004090
0.700000,0.004200
0.850000,0.004450
1.000000,0.004780
1.150000,0.005110
1.300000,0.005390
1.450000,0.005590
1.600000,0.005910
1.900000,0.006340
2.050000,0.006480
2.200000,0.006640
2.350000,0.006770
2.500000,0.006840
2.650000,0.006910
2.800000,0.006980
2.950000,0.007040
3.100000,0.007090
3.250000,0.007160
3.400000,0.007230
3.550000,0.007330
3.700000,0.007410
3.850000,0.007490
4.000000,0.007580
4.150000,0.007680
4.300000,0.007760
4.450000,0.007850
4.600000,0.007950
4.750000,0.008040
4.900000,0.008140
5.050000,0.008240
5.200000,0.008350
5.350000,0.008460
5.500000,0.008570
5.650000,0.008690
5.800000,0.008820
5.950000,0.008950
6.100000,0.009070
6.250000,0.009190
6.400000,0.009310
6.550000,0.009410
6.700000,0.009530
6.850000,0.009650
7.000000,0.009760
7.150000,0.009880
7.300000,0.010020
7.450000,0.010160
7.600000,0.010310
7.750000,0.010460
7.900000,0.010610
8.050000,0.010780
8.200000,0.010960
8.350000,0.011150
8.500000,0.011370
8.650000,0.011620
8.800000,0.011790
8.950000,0.011980
9.100000,0.012160
9.250000,0.012340
9.400000,0.012520
9.550000,0.012690
9.700000,0.012900
9.850000,0.013100
10.000000,0.013300
10.150000,0.013540
10.300000,0.013800
10.450000,0.014070
10.600000,0.014340
10.750000,0.014600
11.200000,0.015510
11.350000,0.015890
11.500000,0.016300
11.650000,0.016700
11.800000,0.017110
11.950000,0.017480
12.100000,0.017860
12.250000,0.018260
12.400000,0.018700
12.550000,0.019170
12.700000,0.019660
12.850000,0.020190
13.000000,0.020750
13.150000,0.021370
13.300000,0.021990
13.450000,0.022710
13.600000,0.023430
13.750000,0.024240
13.900000,0.025050
14.050000,0.026020
14.200000,0.026980
14.350000,0.027990
14.500000,0.029210
14.650000,0.030260
14.800000,0.031600
14.950000,0.033090
15.100000,0.034500
15.250000,0.036140
15.400000,0.037930
15.550000,0.039750
15.700000,0.041760
15.850000,0.044010
16.000000,0.046370
16.150000,0.049000
16.300000,0.051690
16.450000,0.054710
16.600000,0.057650
16.750000,0.061220
16.900000,0.065100
17.050000,0.068990
17.200000,0.073110
17.350000,0.077370
17.500000,0.081880
17.650000,0.087090
17.800000,0.092370
17.950000,0.097980
18.100000,0.104100
18.250000,0.110380
18.400000,0.117090
18.550000,0.124520
18.700000,0.132490
18.850000,0.143170
