alpha,cl
-5.000000,-0.219900
-4.850000,-0.202300
-4.700000,-0.184800
-4.550000,-0.167300
-4.400000,-0.149800
-4.250000,-0.132200
-4.100000,-0.114700
-3.950000,-0.097200
-3.800000,-0.079800
-3.650000,-0.062200
-3.500000,-0.044600
-3.350000,-0.027100
-3.200000,-0.009600
-3.050000,0.007900
-2.900000,0.025500
-2.750000,0.043100
-2.600000,0.060600
-2.450000,0.078100
-2.300000,0.095700
-2.150000,0.113300
-2.000000,0.130900
-1.850000,0.148400
-1.700000,0.165900
-1.550000,0.183600
-1.400000,0.201100
-1.250000,0.218600
-1.100000,0.236000
-0.950000,0.253500
-0.650000,0.288300
-0.500000,0.305700
-0.350000,0.323300
-0.200000,0.340900
-0.050000,0.358100
0.100000,0.375100
0.250000,0.392100
0.400000,0.409100
0.550000,0.425700
0.700000,0.441900
0.850000,0.457000
1.000000,0.471500
1.150000,0.485900
1.300000,0.501000
1.450000,0.516800
1.600000,0.531600
1.900000,0.563000
2.050000,0.579400
2.200000,0.595600
2.350000,0.612100
2.500000,0.629000
2.650000,0.646000
2.800000,0.663000
2.950000,0.680100
3.100000,0.697100
3.250000,0.714200
3.400000,0.731100
3.550000,0.747800
3.700000,0.764600
3.850000,0.781500
4.000000,0.798200
4.150000,0.814800
4.300000,0.831600
4.450000,0.848300
4.600000,0.865000
4.750000,0.881600
4.900000,0.898200
5.050000,0.914800
5.200000,0.931300
5.350000,0.947800
5.500000,0.964300
5.650000,0.980600
5.800000,0.996900
5.950000,1.013100
6.100000,1.029500
6.250000,1.045800
6.400000,1.062100
6.550000,1.078400
6.700000,1.094700
6.850000,1.111000
7.000000,1.127200
7.150000,1.143400
7.300000,1.159400
7.450000,1.175300
7.600000,1.191200
7.750000,1.207000
7.900000,1.222700
8.050000,1.238300
8.200000,1.253700
8.350000,1.269000
8.500000,1.284000
8.650000,1.298500
8.800000,1.313900
8.950000,1.329100
9.100000,1.344200
9.250000,1.359300
9.400000,1.374300
9.550000,1.389300
9.700000,1.403900
9.850000,1.418500
10.000000,1.432700
10.150000,1.446600
10.300000,1.460000
10.450000,1.473200
10.600000,1.486100
10.750000,1.498000
11.200000,1.533500
11.350000,1.545300
11.500000,1.556600
11.650000,1.567700
11.800000,1.577600
11.950000,1.586600
12.100000,1.594800
12.250000,1.602600
12.400000,1.610200
12.550000,1.617500
12.700000,1.624500
12.850000,1.631400
13.000000,1.637900
13.150000,1.644000
13.300000,1.650100
13.450000,1.655100
13.600000,1.660200
13.750000,1.664500
13.900000,1.668800
14.050000,1.671500
14.200000,1.674500
14.350000,1.677100
14.500000,1.677500
14.650000,1.680100
14.800000,1.679600
14.950000,1.677900
15.100000,1.677400
15.250000,1.674800
15.400000,1.671100
15.550000,1.667700
15.700000,1.662800
15.850000,1.656100
16.000000,1.649200
16.150000,1.640600
16.300000,1.632200
16.450000,1.622000
16.600000,1.613600
16.750000,1.601300
16.900000,1.587600
17.050000,1.575400
17.200000,1.562900
17.350000,1.550700
17.500000,1.538000
17.650000,1.522600
17.800000,1.508300
17.950000,1.493700
18.100000,1.477800
18.250000,1.462300
18.400000,1.446000
18.550000,1.427700
18.700000,1.408000
18.850000,1.377800
