  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     5.600 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2199   0.00621   0.00166  -0.0807   0.7225   0.0105
  -4.850  -0.2023   0.00615   0.00160  -0.0808   0.7200   0.0108
  -4.700  -0.1848   0.00610   0.00154  -0.0809   0.7168   0.0110
  -4.550  -0.1673   0.00605   0.00147  -0.0810   0.7130   0.0111
  -4.400  -0.1498   0.00601   0.00142  -0.0811   0.7091   0.0112
  -4.250  -0.1322   0.00596   0.00136  -0.0813   0.7063   0.0113
  -4.100  -0.1147   0.00590   0.00129  -0.0814   0.7031   0.0115
  -3.950  -0.0972   0.00583   0.00121  -0.0815   0.6994   0.0120
  -3.800  -0.0798   0.00578   0.00114  -0.0816   0.6953   0.0125
  -3.650  -0.0622   0.00572   0.00108  -0.0817   0.6926   0.0133
  -3.500  -0.0446   0.00567   0.00103  -0.0819   0.6897   0.0141
  -3.350  -0.0271   0.00562   0.00098  -0.0820   0.6862   0.0147
  -3.200  -0.0096   0.00559   0.00094  -0.0821   0.6822   0.0153
  -3.050   0.0079   0.00555   0.00090  -0.0822   0.6789   0.0156
  -2.900   0.0255   0.00551   0.00086  -0.0824   0.6762   0.0159
  -2.750   0.0431   0.00548   0.00082  -0.0825   0.6729   0.0160
  -2.600   0.0606   0.00545   0.00078  -0.0827   0.6692   0.0171
  -2.450   0.0781   0.00541   0.00074  -0.0828   0.6654   0.0194
  -2.300   0.0957   0.00537   0.00071  -0.0830   0.6631   0.0210
  -2.150   0.1133   0.00533   0.00068  -0.0831   0.6602   0.0222
  -2.000   0.1309   0.00531   0.00065  -0.0833   0.6569   0.0228
  -1.850   0.1484   0.00530   0.00063  -0.0834   0.6533   0.0231
  -1.700   0.1659   0.00527   0.00060  -0.0835   0.6503   0.0261
  -1.550   0.1836   0.00523   0.00058  -0.0837   0.6479   0.0294
  -1.400   0.2011   0.00520   0.00056  -0.0839   0.6447   0.0319
  -1.250   0.2186   0.00519   0.00054  -0.0840   0.6402   0.0357
  -1.100   0.2360   0.00516   0.00052  -0.0842   0.6354   0.0434
  -0.950   0.2535   0.00510   0.00051  -0.0843   0.6301   0.0614
  -0.650   0.2883   0.00490   0.00047  -0.0847   0.6176   0.1414
  -0.500   0.3057   0.00481   0.00046  -0.0849   0.6112   0.1849
  -0.350   0.3233   0.00463   0.00044  -0.0852   0.6065   0.2523
  -0.200   0.3409   0.00446   0.00042  -0.0855   0.6021   0.3209
  -0.050   0.3581   0.00432   0.00041  -0.0858   0.5926   0.3863
   0.100   0.3751   0.00414   0.00040  -0.0861   0.5753   0.4758
   0.250   0.3921   0.00405   0.00042  -0.0862   0.5608   0.5357
   0.400   0.4091   0.00403   0.00044  -0.0864   0.5444   0.5710
   0.550   0.4257   0.00409   0.00048  -0.0864   0.5234   0.5927
   0.700   0.4419   0.00420   0.00052  -0.0863   0.4934   0.6107
   0.850   0.4570   0.00445   0.00061  -0.0861   0.4426   0.6182
   1.000   0.4715   0.00478   0.00073  -0.0857   0.3800   0.6258
   1.150   0.4859   0.00511   0.00085  -0.0854   0.3149   0.6339
   1.300   0.5010   0.00539   0.00096  -0.0852   0.2624   0.6408
   1.450   0.5168   0.00559   0.00105  -0.0850   0.2257   0.6469
   1.600   0.5316   0.00591   0.00117  -0.0847   0.1660   0.6506
   1.900   0.5630   0.00634   0.00136  -0.0844   0.0913   0.6591
   2.050   0.5794   0.00648   0.00144  -0.0844   0.0711   0.6624
   2.200   0.5956   0.00664   0.00152  -0.0843   0.0511   0.6651
   2.350   0.6121   0.00677   0.00160  -0.0842   0.0341   0.6692
   2.500   0.6290   0.00684   0.00166  -0.0843   0.0309   0.6732
   2.650   0.6460   0.00691   0.00172  -0.0843   0.0283   0.6767
   2.800   0.6630   0.00698   0.00178  -0.0843   0.0253   0.6795
   2.950   0.6801   0.00704   0.00184  -0.0844   0.0240   0.6836
   3.100   0.6971   0.00709   0.00190  -0.0844   0.0237   0.6876
   3.250   0.7142   0.00716   0.00196  -0.0844   0.0231   0.6913
   3.400   0.7311   0.00723   0.00203  -0.0845   0.0217   0.6941
   3.550   0.7478   0.00733   0.00212  -0.0844   0.0188   0.6982
   3.700   0.7646   0.00741   0.00219  -0.0844   0.0163   0.7022
   3.850   0.7815   0.00749   0.00227  -0.0844   0.0155   0.7060
   4.000   0.7982   0.00758   0.00235  -0.0844   0.0141   0.7089
   4.150   0.8148   0.00768   0.00244  -0.0843   0.0120   0.7131
   4.300   0.8316   0.00776   0.00252  -0.0843   0.0111   0.7172
   4.450   0.8483   0.00785   0.00262  -0.0843   0.0106   0.7207
   4.600   0.8650   0.00795   0.00271  -0.0842   0.0101   0.7235
   4.750   0.8816   0.00804   0.00281  -0.0842   0.0096   0.7275
   4.900   0.8982   0.00814   0.00291  -0.0841   0.0093   0.7317
   5.050   0.9148   0.00824   0.00301  -0.0840   0.0088   0.7354
   5.200   0.9313   0.00835   0.00313  -0.0839   0.0085   0.7386
   5.350   0.9478   0.00846   0.00325  -0.0838   0.0083   0.7431
   5.500   0.9643   0.00857   0.00338  -0.0837   0.0081   0.7473
   5.650   0.9806   0.00869   0.00351  -0.0836   0.0080   0.7509
   5.800   0.9969   0.00882   0.00366  -0.0834   0.0078   0.7542
   5.950   1.0131   0.00895   0.00382  -0.0833   0.0076   0.7585
   6.100   1.0295   0.00907   0.00395  -0.0831   0.0076   0.7625
   6.250   1.0458   0.00919   0.00408  -0.0830   0.0076   0.7660
   6.400   1.0621   0.00931   0.00420  -0.0828   0.0076   0.7699
   6.550   1.0784   0.00941   0.00433  -0.0827   0.0075   0.7745
   6.700   1.0947   0.00953   0.00445  -0.0825   0.0075   0.7790
   6.850   1.1110   0.00965   0.00458  -0.0824   0.0074   0.7832
   7.000   1.1272   0.00976   0.00471  -0.0822   0.0073   0.7885
   7.150   1.1434   0.00988   0.00484  -0.0820   0.0071   0.7934
   7.300   1.1594   0.01002   0.00500  -0.0818   0.0069   0.7978
   7.450   1.1753   0.01016   0.00516  -0.0816   0.0068   0.8033
   7.600   1.1912   0.01031   0.00532  -0.0813   0.0066   0.8081
   7.750   1.2070   0.01046   0.00548  -0.0811   0.0064   0.8122
   7.900   1.2227   0.01061   0.00565  -0.0808   0.0062   0.8174
   8.050   1.2383   0.01078   0.00583  -0.0805   0.0059   0.8225
   8.200   1.2537   0.01096   0.00603  -0.0801   0.0057   0.8273
   8.350   1.2690   0.01115   0.00625  -0.0798   0.0055   0.8331
   8.500   1.2840   0.01137   0.00649  -0.0793   0.0053   0.8381
   8.650   1.2985   0.01162   0.00679  -0.0788   0.0050   0.8433
   8.800   1.3139   0.01179   0.00698  -0.0785   0.0050   0.8492
   8.950   1.3291   0.01198   0.00719  -0.0781   0.0050   0.8542
   9.100   1.3442   0.01216   0.00740  -0.0777   0.0050   0.8606
   9.250   1.3593   0.01234   0.00761  -0.0772   0.0049   0.8670
   9.400   1.3743   0.01252   0.00782  -0.0768   0.0048   0.8736
   9.550   1.3893   0.01269   0.00802  -0.0764   0.0047   0.8811
   9.700   1.4039   0.01290   0.00826  -0.0758   0.0046   0.8891
   9.850   1.4185   0.01310   0.00848  -0.0753   0.0043   0.8972
  10.000   1.4327   0.01330   0.00871  -0.0747   0.0040   0.9063
  10.150   1.4466   0.01354   0.00897  -0.0741   0.0037   0.9136
  10.300   1.4600   0.01380   0.00926  -0.0734   0.0033   0.9218
  10.450   1.4732   0.01407   0.00957  -0.0726   0.0031   0.9293
  10.600   1.4861   0.01434   0.00987  -0.0718   0.0030   0.9384
  10.750   1.4980   0.01460   0.01018  -0.0707   0.0028   0.9500
  11.200   1.5335   0.01551   0.01123  -0.0677   0.0024   1.0000
  11.350   1.5453   0.01589   0.01163  -0.0667   0.0022   1.0000
  11.500   1.5566   0.01630   0.01208  -0.0657   0.0020   1.0000
  11.650   1.5677   0.01670   0.01252  -0.0646   0.0018   1.0000
  11.800   1.5776   0.01711   0.01297  -0.0633   0.0017   1.0000
  11.950   1.5866   0.01748   0.01338  -0.0618   0.0017   1.0000
  12.100   1.5948   0.01786   0.01380  -0.0602   0.0017   1.0000
  12.250   1.6026   0.01826   0.01425  -0.0586   0.0017   1.0000
  12.400   1.6102   0.01870   0.01472  -0.0569   0.0016   1.0000
  12.550   1.6175   0.01917   0.01524  -0.0553   0.0016   1.0000
  12.700   1.6245   0.01966   0.01578  -0.0537   0.0015   1.0000
  12.850   1.6314   0.02019   0.01636  -0.0521   0.0015   1.0000
  13.000   1.6379   0.02075   0.01697  -0.0505   0.0014   1.0000
  13.150   1.6440   0.02137   0.01764  -0.0489   0.0014   1.0000
  13.300   1.6501   0.02199   0.01832  -0.0474   0.0014   1.0000
  13.450   1.6551   0.02271   0.01909  -0.0458   0.0013   1.0000
  13.600   1.6602   0.02343   0.01987  -0.0443   0.0013   1.0000
  13.750   1.6645   0.02424   0.02074  -0.0427   0.0012   1.0000
  13.900   1.6688   0.02505   0.02161  -0.0412   0.0012   1.0000
  14.050   1.6715   0.02602   0.02265  -0.0396   0.0011   1.0000
  14.200   1.6745   0.02698   0.02368  -0.0382   0.0011   1.0000
  14.350   1.6771   0.02799   0.02476  -0.0367   0.0011   1.0000
  14.500   1.6775   0.02921   0.02606  -0.0352   0.0010   1.0000
  14.650   1.6801   0.03026   0.02717  -0.0340   0.0010   1.0000
  14.800   1.6796   0.03160   0.02859  -0.0326   0.0010   1.0000
  14.950   1.6779   0.03309   0.03017  -0.0312   0.0009   1.0000
  15.100   1.6774   0.03450   0.03166  -0.0301   0.0009   1.0000
  15.250   1.6748   0.03614   0.03338  -0.0289   0.0009   1.0000
  15.400   1.6711   0.03793   0.03526  -0.0279   0.0009   1.0000
  15.550   1.6677   0.03975   0.03716  -0.0270   0.0009   1.0000
  15.700   1.6628   0.04176   0.03926  -0.0262   0.0009   1.0000
  15.850   1.6561   0.04401   0.04161  -0.0256   0.0009   1.0000
  16.000   1.6492   0.04637   0.04406  -0.0251   0.0008   1.0000
  16.150   1.6406   0.04900   0.04678  -0.0248   0.0008   1.0000
  16.300   1.6322   0.05169   0.04956  -0.0248   0.0008   1.0000
  16.450   1.6220   0.05471   0.05267  -0.0250   0.0008   1.0000
  16.600   1.6136   0.05765   0.05569  -0.0254   0.0008   1.0000
  16.750   1.6013   0.06122   0.05935  -0.0261   0.0008   1.0000
  16.900   1.5876   0.06510   0.06333  -0.0272   0.0008   1.0000
  17.050   1.5754   0.06899   0.06730  -0.0285   0.0008   1.0000
  17.200   1.5629   0.07311   0.07150  -0.0302   0.0008   1.0000
  17.350   1.5507   0.07737   0.07584  -0.0321   0.0008   1.0000
  17.500   1.5380   0.08188   0.08042  -0.0343   0.0008   1.0000
  17.650   1.5226   0.08709   0.08571  -0.0372   0.0008   1.0000
  17.800   1.5083   0.09237   0.09105  -0.0402   0.0008   1.0000
  17.950   1.4937   0.09798   0.09673  -0.0437   0.0008   1.0000
  18.100   1.4778   0.10410   0.10293  -0.0476   0.0008   1.0000
  18.250   1.4623   0.11038   0.10926  -0.0518   0.0008   1.0000
  18.400   1.4460   0.11709   0.11603  -0.0563   0.0008   1.0000
  18.550   1.4277   0.12452   0.12352  -0.0614   0.0008   1.0000
  18.700   1.4080   0.13249   0.13155  -0.0668   0.0008   1.0000
  18.850   1.3778   0.14317   0.14229  -0.0739   0.0009   1.0000
