alpha,cd
-5.000000,0.006520
-4.850000,0.006460
-4.700000,0.006410
-4.550000,0.006350
-4.400000,0.006290
-4.250000,0.006250
-4.100000,0.006190
-3.950000,0.006120
-3.800000,0.006060
-3.650000,0.006000
-3.500000,0.005950
-3.350000,0.005910
-3.200000,0.005860
-3.050000,0.005820
-2.900000,0.005780
-2.750000,0.005750
-2.600000,0.005720
-2.450000,0.005670
-2.300000,0.005630
-2.150000,0.005600
-2.000000,0.005580
-1.850000,0.005550
-1.700000,0.005520
-1.550000,0.005490
-1.400000,0.005460
-1.250000,0.005440
-1.100000,0.005410
-0.950000,0.005360
-0.800000,0.005260
-0.650000,0.005170
-0.500000,0.005040
-0.350000,0.004880
-0.200000,0.004720
-0.050000,0.004480
0.100000,0.004260
0.250000,0.004210
0.400000,0.004200
0.550000,0.004240
0.700000,0.004380
0.850000,0.004640
1.000000,0.004900
1.300000,0.005630
1.450000,0.005890
1.600000,0.006110
1.750000,0.006420
2.050000,0.006800
2.200000,0.006970
2.500000,0.007140
2.650000,0.007210
2.800000,0.007280
2.950000,0.007340
3.100000,0.007400
3.250000,0.007460
3.400000,0.007540
3.550000,0.007640
3.700000,0.007730
3.850000,0.007810
4.000000,0.007900
4.150000,0.008010
4.300000,0.008100
4.450000,0.008180
4.600000,0.008280
4.750000,0.008380
4.900000,0.008490
5.050000,0.008590
5.200000,0.008700
5.350000,0.008820
5.500000,0.008930
5.650000,0.009060
5.800000,0.009190
5.950000,0.009320
6.100000,0.009450
6.250000,0.009570
6.400000,0.009700
6.700000,0.009940
6.850000,0.010070
7.000000,0.010210
7.150000,0.010330
7.300000,0.010480
7.450000,0.010630
7.600000,0.010790
7.750000,0.010950
7.900000,0.011120
8.050000,0.011280
8.200000,0.011470
8.350000,0.011670
8.500000,0.011890
8.650000,0.012130
8.800000,0.012320
8.950000,0.012520
9.100000,0.012720
9.250000,0.012920
9.400000,0.013140
9.550000,0.013340
9.700000,0.013570
9.850000,0.013790
10.000000,0.014010
10.150000,0.014250
10.300000,0.014530
10.450000,0.014810
10.600000,0.015090
10.750000,0.015380
10.900000,0.015610
11.200000,0.016330
11.350000,0.016730
11.500000,0.017150
11.650000,0.017550
11.800000,0.017960
11.950000,0.018380
12.100000,0.018810
12.250000,0.019260
12.400000,0.019760
12.550000,0.020280
12.700000,0.020830
12.850000,0.021420
13.000000,0.022050
13.150000,0.022730
13.300000,0.023420
13.450000,0.024200
13.600000,0.025010
13.750000,0.025900
13.900000,0.026800
14.050000,0.027860
14.200000,0.028930
14.350000,0.030060
14.500000,0.031410
14.650000,0.032590
14.800000,0.034080
14.950000,0.035730
15.100000,0.037310
15.250000,0.039120
15.400000,0.041110
15.550000,0.043110
15.700000,0.045360
15.850000,0.047850
16.000000,0.050430
16.150000,0.053280
16.300000,0.056300
16.450000,0.059610
16.600000,0.062880
16.750000,0.066760
16.900000,0.070990
17.050000,0.075300
17.200000,0.079820
17.350000,0.084450
17.500000,0.089510
17.650000,0.095310
17.800000,0.101170
17.950000,0.107430
18.100000,0.114430
18.250000,0.121700
18.400000,0.130040
18.550000,0.140940
19.150000,0.241120
19.300000,0.247020
19.450000,0.250120
19.600000,0.252760
19.750000,0.255340
19.900000,0.257890
20.050000,0.260350
20.200000,0.262910
20.350000,0.265600
20.500000,0.268640
20.650000,0.275410
20.800000,0.277850
20.950000,0.280530
21.100000,0.283240
21.250000,0.286160
21.400000,0.290410
21.550000,0.293100
21.700000,0.296190
21.850000,0.298740
22.000000,0.301340
22.150000,0.303870
22.300000,0.306250
22.450000,0.308430
22.600000,0.310630
22.750000,0.312850
22.900000,0.315060
23.050000,0.316990
