alpha,cl
-5.000000,-0.220600
-4.850000,-0.203200
-4.700000,-0.185800
-4.550000,-0.168300
-4.400000,-0.150700
-4.250000,-0.133200
-4.100000,-0.115800
-3.950000,-0.098400
-3.800000,-0.080800
-3.650000,-0.063300
-3.500000,-0.045800
-3.350000,-0.028400
-3.200000,-0.010800
-3.050000,0.006800
-2.900000,0.024300
-2.750000,0.041800
-2.600000,0.059200
-2.450000,0.076800
-2.300000,0.094400
-2.150000,0.111900
-2.000000,0.129400
-1.850000,0.146900
-1.700000,0.164500
-1.550000,0.182100
-1.400000,0.199600
-1.250000,0.217000
-1.100000,0.234600
-0.950000,0.252200
-0.800000,0.269500
-0.650000,0.287000
-0.500000,0.304400
-0.350000,0.321700
-0.200000,0.339200
-0.050000,0.356600
0.100000,0.373800
0.250000,0.390600
0.400000,0.407600
0.550000,0.424300
0.700000,0.440400
0.850000,0.455500
1.000000,0.470400
1.300000,0.498900
1.450000,0.514100
1.600000,0.529800
1.750000,0.544700
2.050000,0.576500
2.200000,0.592600
2.500000,0.626300
2.650000,0.643200
2.800000,0.660200
2.950000,0.677300
3.100000,0.694300
3.250000,0.711200
3.400000,0.728100
3.550000,0.744700
3.700000,0.761500
3.850000,0.778300
4.000000,0.794900
4.150000,0.811500
4.300000,0.828200
4.450000,0.844900
4.600000,0.861500
4.750000,0.878100
4.900000,0.894600
5.050000,0.911100
5.200000,0.927600
5.350000,0.944000
5.500000,0.960400
5.650000,0.976700
5.800000,0.992800
5.950000,1.009000
6.100000,1.025300
6.250000,1.041500
6.400000,1.057700
6.700000,1.090000
6.850000,1.106100
7.000000,1.122100
7.150000,1.138200
7.300000,1.154100
7.450000,1.169800
7.600000,1.185500
7.750000,1.201100
7.900000,1.216700
8.050000,1.232200
8.200000,1.247500
8.350000,1.262500
8.500000,1.277400
8.650000,1.292000
8.800000,1.307100
8.950000,1.322000
9.100000,1.336900
9.250000,1.351600
9.400000,1.366300
9.550000,1.380800
9.700000,1.395100
9.850000,1.409300
10.000000,1.423300
10.150000,1.436800
10.300000,1.449900
10.450000,1.462700
10.600000,1.475000
10.750000,1.486700
10.900000,1.496100
11.200000,1.520200
11.350000,1.531400
11.500000,1.541500
11.650000,1.550500
11.800000,1.558600
11.950000,1.566700
12.100000,1.574600
12.250000,1.582200
12.400000,1.589600
12.550000,1.596700
12.700000,1.603500
12.850000,1.610100
13.000000,1.616300
13.150000,1.621900
13.300000,1.627600
13.450000,1.632400
13.600000,1.637000
13.750000,1.640700
13.900000,1.644600
14.050000,1.646600
14.200000,1.648800
14.350000,1.650600
14.500000,1.650200
14.650000,1.651900
14.800000,1.650600
14.950000,1.647800
15.100000,1.646200
15.250000,1.642800
15.400000,1.638000
15.550000,1.633500
15.700000,1.627300
15.850000,1.619700
16.000000,1.611900
16.150000,1.602600
16.300000,1.593000
16.450000,1.582100
16.600000,1.572600
16.750000,1.559600
16.900000,1.545600
17.050000,1.532500
17.200000,1.519300
17.350000,1.506600
17.500000,1.493000
17.650000,1.476700
17.800000,1.461700
17.950000,1.446000
18.100000,1.428200
18.250000,1.410600
18.400000,1.389700
18.550000,1.359400
19.150000,1.080800
19.300000,1.078600
19.450000,1.081500
19.600000,1.085100
19.750000,1.088800
19.900000,1.092700
20.050000,1.096600
20.200000,1.100500
20.350000,1.104100
20.500000,1.107400
20.650000,1.106500
20.800000,1.110800
20.950000,1.114800
21.100000,1.118900
21.250000,1.122800
21.400000,1.125900
21.550000,1.130200
21.700000,1.134300
21.850000,1.138700
22.000000,1.143100
22.150000,1.147600
22.300000,1.152000
22.450000,1.156600
22.600000,1.161100
22.750000,1.165700
22.900000,1.170300
23.050000,1.174800
