  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     4.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2206   0.00652   0.00178  -0.0804   0.7173   0.0103
  -4.850  -0.2032   0.00646   0.00171  -0.0805   0.7136   0.0107
  -4.700  -0.1858   0.00641   0.00164  -0.0806   0.7100   0.0109
  -4.550  -0.1683   0.00635   0.00156  -0.0807   0.7072   0.0110
  -4.400  -0.1507   0.00629   0.00150  -0.0808   0.7045   0.0112
  -4.250  -0.1332   0.00625   0.00145  -0.0809   0.7012   0.0113
  -4.100  -0.1158   0.00619   0.00137  -0.0810   0.6975   0.0115
  -3.950  -0.0984   0.00612   0.00129  -0.0811   0.6939   0.0119
  -3.800  -0.0808   0.00606   0.00121  -0.0813   0.6913   0.0125
  -3.650  -0.0633   0.00600   0.00115  -0.0814   0.6881   0.0134
  -3.500  -0.0458   0.00595   0.00110  -0.0815   0.6846   0.0141
  -3.350  -0.0284   0.00591   0.00105  -0.0816   0.6810   0.0146
  -3.200  -0.0108   0.00586   0.00100  -0.0818   0.6784   0.0152
  -3.050   0.0068   0.00582   0.00096  -0.0819   0.6756   0.0155
  -2.900   0.0243   0.00578   0.00092  -0.0820   0.6723   0.0158
  -2.750   0.0418   0.00575   0.00087  -0.0822   0.6687   0.0160
  -2.600   0.0592   0.00572   0.00083  -0.0823   0.6652   0.0171
  -2.450   0.0768   0.00567   0.00079  -0.0825   0.6628   0.0190
  -2.300   0.0944   0.00563   0.00076  -0.0826   0.6598   0.0206
  -2.150   0.1119   0.00560   0.00073  -0.0827   0.6564   0.0219
  -2.000   0.1294   0.00558   0.00070  -0.0829   0.6528   0.0226
  -1.850   0.1469   0.00555   0.00067  -0.0830   0.6501   0.0230
  -1.700   0.1645   0.00552   0.00064  -0.0832   0.6475   0.0251
  -1.550   0.1821   0.00549   0.00062  -0.0833   0.6445   0.0283
  -1.400   0.1996   0.00546   0.00060  -0.0835   0.6413   0.0309
  -1.250   0.2170   0.00544   0.00058  -0.0836   0.6379   0.0331
  -1.100   0.2346   0.00541   0.00056  -0.0838   0.6353   0.0401
  -0.950   0.2522   0.00536   0.00054  -0.0840   0.6318   0.0518
  -0.800   0.2695   0.00526   0.00052  -0.0841   0.6262   0.0880
  -0.650   0.2870   0.00517   0.00050  -0.0843   0.6205   0.1268
  -0.500   0.3044   0.00504   0.00049  -0.0846   0.6138   0.1765
  -0.350   0.3217   0.00488   0.00047  -0.0848   0.6068   0.2465
  -0.200   0.3392   0.00472   0.00046  -0.0851   0.6007   0.3071
  -0.050   0.3566   0.00448   0.00043  -0.0855   0.5948   0.4009
   0.100   0.3738   0.00426   0.00042  -0.0858   0.5831   0.4962
   0.250   0.3906   0.00421   0.00044  -0.0859   0.5645   0.5495
   0.400   0.4076   0.00420   0.00047  -0.0860   0.5503   0.5812
   0.550   0.4243   0.00424   0.00050  -0.0861   0.5303   0.6026
   0.700   0.4404   0.00438   0.00055  -0.0860   0.4991   0.6140
   0.850   0.4555   0.00464   0.00064  -0.0857   0.4496   0.6221
   1.000   0.4704   0.00490   0.00074  -0.0855   0.3977   0.6306
   1.300   0.4989   0.00563   0.00101  -0.0847   0.2629   0.6415
   1.450   0.5141   0.00589   0.00111  -0.0845   0.2149   0.6456
   1.600   0.5298   0.00611   0.00120  -0.0844   0.1770   0.6487
   1.750   0.5447   0.00642   0.00133  -0.0841   0.1240   0.6516
   2.050   0.5765   0.00680   0.00152  -0.0838   0.0642   0.6591
   2.200   0.5926   0.00697   0.00161  -0.0837   0.0416   0.6624
   2.500   0.6263   0.00714   0.00173  -0.0837   0.0302   0.6690
   2.650   0.6432   0.00721   0.00180  -0.0838   0.0274   0.6728
   2.800   0.6602   0.00728   0.00186  -0.0838   0.0246   0.6763
   2.950   0.6773   0.00734   0.00192  -0.0838   0.0239   0.6793
   3.100   0.6943   0.00740   0.00199  -0.0839   0.0234   0.6828
   3.250   0.7112   0.00746   0.00206  -0.0839   0.0226   0.6865
   3.400   0.7281   0.00754   0.00213  -0.0839   0.0210   0.6902
   3.550   0.7447   0.00764   0.00221  -0.0838   0.0185   0.6934
   3.700   0.7615   0.00773   0.00230  -0.0838   0.0162   0.6967
   3.850   0.7783   0.00781   0.00238  -0.0838   0.0151   0.7008
   4.000   0.7949   0.00790   0.00246  -0.0838   0.0137   0.7045
   4.150   0.8115   0.00801   0.00255  -0.0837   0.0118   0.7077
   4.300   0.8282   0.00810   0.00264  -0.0837   0.0111   0.7108
