alpha,cd
-5.000000,0.007410
-4.850000,0.007340
-4.700000,0.007270
-4.550000,0.007140
-4.400000,0.007050
-4.250000,0.006970
-4.100000,0.006890
-3.950000,0.006830
-3.800000,0.006770
-3.650000,0.006710
-3.500000,0.006650
-3.350000,0.006590
-3.200000,0.006550
-3.050000,0.006490
-2.900000,0.006430
-2.750000,0.006370
-2.600000,0.006320
-2.450000,0.006290
-2.300000,0.006250
-2.150000,0.006210
-2.000000,0.006180
-1.850000,0.006140
-1.700000,0.006100
-1.400000,0.006030
-1.250000,0.005970
-1.100000,0.005850
-0.950000,0.005670
-0.800000,0.005470
-0.650000,0.005190
-0.500000,0.004800
-0.350000,0.004490
-0.200000,0.004390
-0.050000,0.004360
0.100000,0.004340
0.250000,0.004300
0.400000,0.004350
0.550000,0.004410
0.700000,0.004450
0.850000,0.004490
1.000000,0.004550
1.150000,0.004650
1.300000,0.004790
1.450000,0.005090
1.600000,0.005650
1.750000,0.006100
1.900000,0.006430
2.050000,0.006910
2.350000,0.007510
2.500000,0.007670
2.650000,0.007880
2.950000,0.008090
3.100000,0.008180
3.250000,0.008270
3.550000,0.008420
3.700000,0.008510
3.850000,0.008610
4.000000,0.008730
4.150000,0.008830
4.300000,0.008930
4.450000,0.009050
4.600000,0.009170
4.750000,0.009300
4.900000,0.009400
5.050000,0.009520
5.200000,0.009640
5.350000,0.009760
5.500000,0.009900
5.650000,0.010040
5.800000,0.010180
5.950000,0.010320
6.100000,0.010480
6.250000,0.010640
6.400000,0.010810
6.550000,0.011000
6.700000,0.011200
6.850000,0.011450
7.000000,0.011690
7.150000,0.011860
7.300000,0.012030
7.450000,0.012220
7.600000,0.012370
7.750000,0.012580
7.900000,0.012800
8.050000,0.013010
8.200000,0.013230
8.350000,0.013460
8.500000,0.013680
8.650000,0.013860
8.800000,0.014080
8.950000,0.014310
9.100000,0.014550
9.250000,0.014800
9.400000,0.015100
9.550000,0.015430
9.850000,0.015960
10.000000,0.016250
10.150000,0.016580
10.300000,0.016910
10.450000,0.017240
10.600000,0.017560
10.750000,0.017850
10.900000,0.018180
11.050000,0.018510
11.200000,0.018900
11.350000,0.019350
11.500000,0.019810
11.650000,0.020310
11.800000,0.020840
11.950000,0.021390
12.100000,0.021960
12.250000,0.022590
12.400000,0.023230
12.550000,0.023940
12.700000,0.024680
12.850000,0.025490
13.000000,0.026360
13.150000,0.027340
13.300000,0.028350
13.450000,0.029470
13.600000,0.030670
13.750000,0.031920
13.900000,0.033230
14.050000,0.034570
14.200000,0.036090
14.350000,0.037740
14.500000,0.039490
14.650000,0.041430
14.800000,0.043460
14.950000,0.045680
15.100000,0.048090
15.250000,0.050730
15.400000,0.053540
15.550000,0.056530
15.700000,0.059690
15.850000,0.063360
16.000000,0.066940
16.150000,0.070950
16.300000,0.075360
16.450000,0.079910
16.600000,0.084910
16.750000,0.090240
16.900000,0.095990
17.050000,0.102530
17.200000,0.109410
17.350000,0.117220
17.500000,0.127580
18.100000,0.226040
18.250000,0.233780
18.400000,0.237680
18.550000,0.241440
18.700000,0.244950
18.850000,0.248520
19.000000,0.251540
19.150000,0.254170
19.300000,0.256620
19.450000,0.259190
19.600000,0.261330
19.750000,0.263670
19.900000,0.265900
20.050000,0.268150
20.200000,0.270530
20.350000,0.273630
20.500000,0.276330
20.650000,0.279220
20.800000,0.282170
20.950000,0.285200
21.100000,0.287950
21.250000,0.290800
21.400000,0.293400
21.550000,0.295960
21.700000,0.298490
21.850000,0.300860
22.000000,0.303320
22.150000,0.305710
22.300000,0.308020
22.450000,0.310290
22.600000,0.312500
22.750000,0.314740
22.900000,0.316920
23.050000,0.318930
