alpha,cl
-5.000000,-0.220200
-4.850000,-0.202800
-4.700000,-0.185500
-4.550000,-0.168300
-4.400000,-0.151100
-4.250000,-0.133700
-4.100000,-0.116400
-3.950000,-0.099000
-3.800000,-0.081800
-3.650000,-0.064300
-3.500000,-0.046900
-3.350000,-0.029400
-3.200000,-0.012100
-3.050000,0.005300
-2.900000,0.022800
-2.750000,0.040200
-2.600000,0.057600
-2.450000,0.075000
-2.300000,0.092500
-2.150000,0.110000
-2.000000,0.127400
-1.850000,0.144800
-1.700000,0.162200
-1.400000,0.197200
-1.250000,0.214600
-1.100000,0.232000
-0.950000,0.249500
-0.800000,0.267000
-0.650000,0.284400
-0.500000,0.301800
-0.350000,0.319200
-0.200000,0.336800
-0.050000,0.354200
0.100000,0.371500
0.250000,0.389000
0.400000,0.406000
0.550000,0.422900
0.700000,0.440100
0.850000,0.457300
1.000000,0.474300
1.150000,0.490900
1.300000,0.507100
1.450000,0.521700
1.600000,0.533900
1.750000,0.547100
1.900000,0.561700
2.050000,0.574800
2.350000,0.604500
2.500000,0.620600
2.650000,0.636200
2.950000,0.669400
3.100000,0.686100
3.250000,0.702800
3.550000,0.736400
3.700000,0.753100
3.850000,0.769600
4.000000,0.786000
4.150000,0.802500
4.300000,0.819000
4.450000,0.835400
4.600000,0.851600
4.750000,0.867900
4.900000,0.884300
5.050000,0.900600
5.200000,0.916800
5.350000,0.933000
5.500000,0.949100
5.650000,0.965100
5.800000,0.981100
5.950000,0.997000
6.100000,1.012800
6.250000,1.028500
6.400000,1.044100
6.550000,1.059500
6.700000,1.074800
6.850000,1.089500
7.000000,1.104200
7.150000,1.119600
7.300000,1.135000
7.450000,1.150100
7.600000,1.165500
7.750000,1.180400
7.900000,1.195000
8.050000,1.209700
8.200000,1.224100
8.350000,1.238400
8.500000,1.252600
8.650000,1.267100
8.800000,1.280900
8.950000,1.294700
9.100000,1.307900
9.250000,1.320800
9.400000,1.332700
9.550000,1.342500
9.850000,1.368300
10.000000,1.381600
10.150000,1.394200
10.300000,1.406800
10.450000,1.419100
10.600000,1.431200
10.750000,1.442600
10.900000,1.453000
11.050000,1.463100
11.200000,1.472100
11.350000,1.480600
11.500000,1.488900
11.650000,1.496800
11.800000,1.504500
11.950000,1.511900
12.100000,1.519300
12.250000,1.526100
12.400000,1.532800
12.550000,1.538900
12.700000,1.544700
12.850000,1.549800
13.000000,1.554300
13.150000,1.557900
13.300000,1.561200
13.450000,1.563600
13.600000,1.565200
13.750000,1.566400
13.900000,1.567100
14.050000,1.567600
14.200000,1.566800
14.350000,1.564800
14.500000,1.562100
14.650000,1.558100
14.800000,1.553700
14.950000,1.548000
15.100000,1.541200
15.250000,1.533100
15.400000,1.524200
15.550000,1.514800
15.700000,1.505100
15.850000,1.492500
16.000000,1.481800
16.150000,1.469300
16.300000,1.455700
16.450000,1.442500
16.600000,1.428100
16.750000,1.413500
16.900000,1.398400
17.050000,1.381400
17.200000,1.364500
17.350000,1.345400
17.500000,1.318200
18.100000,1.044800
18.250000,1.039300
18.400000,1.041000
18.550000,1.043200
18.700000,1.045900
18.850000,1.048700
19.000000,1.052200
19.150000,1.056300
19.300000,1.060600
19.450000,1.064700
19.600000,1.069400
19.750000,1.073800
19.900000,1.078300
20.050000,1.082800
20.200000,1.087300
20.350000,1.090900
20.500000,1.095000
20.650000,1.099300
20.800000,1.103400
20.950000,1.107500
21.100000,1.112000
21.250000,1.116300
21.400000,1.120800
21.550000,1.125400
21.700000,1.130100
21.850000,1.134700
22.000000,1.139200
22.150000,1.143900
22.300000,1.148500
22.450000,1.153200
22.600000,1.157900
22.750000,1.162600
22.900000,1.167300
23.050000,1.171900
