alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.220200,0.007410,-0.080200,-29.716599,2500000.000000,5.000000
-4.850000,-0.202800,0.007340,-0.080300,-27.629428,2500000.000000,5.000000
-4.700000,-0.185500,0.007270,-0.080400,-25.515818,2500000.000000,5.000000
-4.550000,-0.168300,0.007140,-0.080400,-23.571429,2500000.000000,5.000000
-4.400000,-0.151100,0.007050,-0.080500,-21.432624,2500000.000000,5.000000
-4.250000,-0.133700,0.006970,-0.080600,-19.182209,2500000.000000,5.000000
-4.100000,-0.116400,0.006890,-0.080700,-16.894049,2500000.000000,5.000000
-3.950000,-0.099000,0.006830,-0.080700,-14.494876,2500000.000000,5.000000
-3.800000,-0.081800,0.006770,-0.080800,-12.082718,2500000.000000,5.000000
-3.650000,-0.064300,0.006710,-0.080900,-9.582712,2500000.000000,5.000000
-3.500000,-0.046900,0.006650,-0.081100,-7.052632,2500000.000000,5.000000
-3.350000,-0.029400,0.006590,-0.081200,-4.461305,2500000.000000,5.000000
-3.200000,-0.012100,0.006550,-0.081300,-1.847328,2500000.000000,5.000000
-3.050000,0.005300,0.006490,-0.081400,0.816641,2500000.000000,5.000000
-2.900000,0.022800,0.006430,-0.081500,3.545879,2500000.000000,5.000000
-2.750000,0.040200,0.006370,-0.081600,6.310832,2500000.000000,5.000000
-2.600000,0.057600,0.006320,-0.081700,9.113924,2500000.000000,5.000000
-2.450000,0.075000,0.006290,-0.081800,11.923688,2500000.000000,5.000000
-2.300000,0.092500,0.006250,-0.082000,14.800000,2500000.000000,5.000000
-2.150000,0.110000,0.006210,-0.082100,17.713366,2500000.000000,5.000000
-2.000000,0.127400,0.006180,-0.082200,20.614887,2500000.000000,5.000000
-1.850000,0.144800,0.006140,-0.082400,23.583062,2500000.000000,5.000000
-1.700000,0.162200,0.006100,-0.082500,26.590164,2500000.000000,5.000000
-1.400000,0.197200,0.006030,-0.082800,32.703151,2500000.000000,5.000000
-1.250000,0.214600,0.005970,-0.082900,35.946399,2500000.000000,5.000000
-1.100000,0.232000,0.005850,-0.083100,39.658120,2500000.000000,5.000000
-0.950000,0.249500,0.005670,-0.083400,44.003527,2500000.000000,5.000000
-0.800000,0.267000,0.005470,-0.083700,48.811700,2500000.000000,5.000000
-0.650000,0.284400,0.005190,-0.084100,54.797688,2500000.000000,5.000000
-0.500000,0.301800,0.004800,-0.084600,62.875000,2500000.000000,5.000000
-0.350000,0.319200,0.004490,-0.084900,71.091314,2500000.000000,5.000000
-0.200000,0.336800,0.004390,-0.085200,76.719818,2500000.000000,5.000000
-0.050000,0.354200,0.004360,-0.085300,81.238532,2500000.000000,5.000000
0.100000,0.371500,0.004340,-0.085400,85.599078,2500000.000000,5.000000
0.250000,0.389000,0.004300,-0.085600,90.465116,2500000.000000,5.000000
0.400000,0.406000,0.004350,-0.085600,93.333333,2500000.000000,5.000000
0.550000,0.422900,0.004410,-0.085700,95.895692,2500000.000000,5.000000
0.700000,0.440100,0.004450,-0.085700,98.898876,2500000.000000,5.000000
0.850000,0.457300,0.004490,-0.085800,101.848552,2500000.000000,5.000000
1.000000,0.474300,0.004550,-0.085800,104.241758,2500000.000000,5.000000
1.150000,0.490900,0.004650,-0.085800,105.569892,2500000.000000,5.000000
1.300000,0.507100,0.004790,-0.085700,105.866388,2500000.000000,5.000000
1.450000,0.521700,0.005090,-0.085400,102.495088,2500000.000000,5.000000
1.600000,0.533900,0.005650,-0.084700,94.495575,2500000.000000,5.000000
1.750000,0.547100,0.006100,-0.084100,89.688525,2500000.000000,5.000000
1.900000,0.561700,0.006430,-0.083800,87.356143,2500000.000000,5.000000
2.050000,0.574800,0.006910,-0.083300,83.183792,2500000.000000,5.000000
2.350000,0.604500,0.007510,-0.082700,80.492676,2500000.000000,5.000000
