  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     2.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2202   0.00741   0.00229  -0.0802   0.7518   0.0110
  -4.850  -0.2028   0.00734   0.00220  -0.0803   0.7488   0.0112
  -4.700  -0.1855   0.00727   0.00213  -0.0804   0.7453   0.0113
  -4.550  -0.1683   0.00714   0.00195  -0.0804   0.7415   0.0121
  -4.400  -0.1511   0.00705   0.00185  -0.0805   0.7378   0.0127
  -4.250  -0.1337   0.00697   0.00176  -0.0806   0.7346   0.0132
  -4.100  -0.1164   0.00689   0.00168  -0.0807   0.7310   0.0136
  -3.950  -0.0990   0.00683   0.00160  -0.0807   0.7271   0.0142
  -3.800  -0.0818   0.00677   0.00153  -0.0808   0.7236   0.0147
  -3.650  -0.0643   0.00671   0.00145  -0.0809   0.7208   0.0151
  -3.500  -0.0469   0.00665   0.00138  -0.0811   0.7177   0.0155
  -3.350  -0.0294   0.00659   0.00131  -0.0812   0.7142   0.0158
  -3.200  -0.0121   0.00655   0.00125  -0.0813   0.7106   0.0160
  -3.050   0.0053   0.00649   0.00118  -0.0814   0.7074   0.0165
  -2.900   0.0228   0.00643   0.00111  -0.0815   0.7043   0.0180
  -2.750   0.0402   0.00637   0.00106  -0.0816   0.7008   0.0196
  -2.600   0.0576   0.00632   0.00100  -0.0817   0.6973   0.0208
  -2.450   0.0750   0.00629   0.00096  -0.0818   0.6940   0.0219
  -2.300   0.0925   0.00625   0.00092  -0.0820   0.6912   0.0226
  -2.150   0.1100   0.00621   0.00088  -0.0821   0.6879   0.0231
  -2.000   0.1274   0.00618   0.00084  -0.0822   0.6844   0.0253
  -1.850   0.1448   0.00614   0.00080  -0.0824   0.6809   0.0284
  -1.700   0.1622   0.00610   0.00077  -0.0825   0.6781   0.0311
  -1.400   0.1972   0.00603   0.00071  -0.0828   0.6716   0.0400
  -1.250   0.2146   0.00597   0.00068  -0.0829   0.6682   0.0525
  -1.100   0.2320   0.00585   0.00065  -0.0831   0.6651   0.0892
  -0.950   0.2495   0.00567   0.00062  -0.0834   0.6624   0.1453
