alpha,cd
-5.000000,0.006030
-4.850000,0.005970
-4.700000,0.005910
-4.550000,0.005870
-4.400000,0.005810
-4.250000,0.005760
-4.100000,0.005720
-3.950000,0.005680
-3.800000,0.005640
-3.650000,0.005600
-3.500000,0.005540
-3.350000,0.005500
-3.200000,0.005460
-3.050000,0.005420
-2.900000,0.005380
-2.750000,0.005350
-2.600000,0.005320
-2.450000,0.005300
-2.300000,0.005270
-2.150000,0.005230
-2.000000,0.005190
-1.850000,0.005170
-1.700000,0.005160
-1.550000,0.005140
-1.400000,0.005130
-1.250000,0.005120
-1.100000,0.005110
-0.950000,0.005120
-0.800000,0.005090
-0.650000,0.005040
-0.500000,0.004970
-0.200000,0.004790
-0.050000,0.004820
0.100000,0.004890
0.250000,0.004920
0.400000,0.004900
0.550000,0.004860
0.700000,0.004950
0.850000,0.005170
1.000000,0.005430
1.150000,0.005640
1.300000,0.005760
1.450000,0.005940
1.750000,0.006270
1.900000,0.006430
2.050000,0.006490
2.200000,0.006560
2.350000,0.006620
2.500000,0.006670
2.650000,0.006720
2.950000,0.006830
3.100000,0.006900
3.250000,0.006990
3.400000,0.007060
3.550000,0.007130
3.700000,0.007220
3.850000,0.007310
4.000000,0.007380
4.150000,0.007470
4.300000,0.007550
4.450000,0.007640
4.600000,0.007730
4.750000,0.007820
4.900000,0.007910
5.050000,0.008000
5.200000,0.008090
5.500000,0.008280
5.650000,0.008380
5.800000,0.008480
5.950000,0.008580
6.100000,0.008680
6.250000,0.008790
6.400000,0.008900
6.550000,0.009010
6.700000,0.009120
6.850000,0.009240
7.000000,0.009360
7.150000,0.009490
7.300000,0.009620
7.450000,0.009760
7.600000,0.009910
7.750000,0.010070
7.900000,0.010240
8.050000,0.010400
8.350000,0.010710
8.500000,0.010870
8.800000,0.011200
8.950000,0.011380
9.100000,0.011560
9.250000,0.011740
9.400000,0.011920
9.550000,0.012140
9.700000,0.012370
9.850000,0.012610
10.000000,0.012840
10.150000,0.013090
10.300000,0.013350
10.450000,0.013630
10.600000,0.013930
10.750000,0.014240
10.900000,0.014530
11.050000,0.014840
11.200000,0.015120
11.350000,0.015430
11.500000,0.015750
11.650000,0.016070
11.800000,0.016400
12.400000,0.017890
12.550000,0.018320
12.700000,0.018850
12.850000,0.019350
13.000000,0.019880
13.150000,0.020480
13.300000,0.021030
13.450000,0.021750
13.600000,0.022420
13.750000,0.023170
13.900000,0.023910
14.050000,0.024810
14.200000,0.025640
14.350000,0.026530
14.500000,0.027480
14.650000,0.028490
14.800000,0.029600
14.950000,0.030740
15.100000,0.032050
15.250000,0.033370
15.400000,0.034820
15.550000,0.036330
15.700000,0.037970
15.850000,0.039860
16.000000,0.041620
16.150000,0.043630
16.300000,0.045940
16.450000,0.048240
16.600000,0.050720
16.750000,0.053460
16.900000,0.056540
17.050000,0.059770
17.200000,0.063090
17.350000,0.066500
17.500000,0.070330
17.650000,0.074750
17.800000,0.078840
17.950000,0.083620
18.100000,0.088790
18.250000,0.094070
18.400000,0.099870
18.550000,0.106390
18.700000,0.112910
18.850000,0.120510
19.000000,0.128670
19.150000,0.139410
19.750000,0.248150
19.900000,0.250810
20.050000,0.253450
20.200000,0.256040
20.350000,0.258680
20.500000,0.261570
20.650000,0.268480
20.800000,0.271000
20.950000,0.273410
21.100000,0.276070
21.250000,0.278600
21.400000,0.281540
21.550000,0.287430
21.700000,0.289540
21.850000,0.292060
22.000000,0.294140
22.150000,0.296300
22.300000,0.298700
22.450000,0.300860
22.600000,0.302960
22.750000,0.304940
22.900000,0.307170
23.050000,0.309390
