alpha,cl
-5.000000,-0.220600
-4.850000,-0.203100
-4.700000,-0.185500
-4.550000,-0.168100
-4.400000,-0.150500
-4.250000,-0.132900
-4.100000,-0.115300
-3.950000,-0.097700
-3.800000,-0.080200
-3.650000,-0.062600
-3.500000,-0.045000
-3.350000,-0.027400
-3.200000,-0.009900
-3.050000,0.007700
-2.900000,0.025300
-2.750000,0.042900
-2.600000,0.060500
-2.450000,0.078000
-2.300000,0.095600
-2.150000,0.113200
-2.000000,0.130800
-1.850000,0.148400
-1.700000,0.165900
-1.550000,0.183500
-1.400000,0.200900
-1.250000,0.218300
-1.100000,0.235700
-0.950000,0.253000
-0.800000,0.270500
-0.650000,0.287800
-0.500000,0.305400
-0.200000,0.340200
-0.050000,0.356500
0.100000,0.372200
0.250000,0.388000
0.400000,0.403900
0.550000,0.419900
0.700000,0.435700
0.850000,0.451000
1.000000,0.466200
1.150000,0.481900
1.300000,0.498300
1.450000,0.514400
1.750000,0.546600
1.900000,0.562900
2.050000,0.579900
2.200000,0.597000
2.350000,0.614100
2.500000,0.631200
2.650000,0.648300
2.950000,0.682500
3.100000,0.699500
3.250000,0.716300
3.400000,0.733300
3.550000,0.750200
3.700000,0.767000
3.850000,0.783800
4.000000,0.800700
4.150000,0.817500
4.300000,0.834300
4.450000,0.851000
4.600000,0.867800
4.750000,0.884500
4.900000,0.901200
5.050000,0.917900
5.200000,0.934600
5.500000,0.967900
5.650000,0.984500
5.800000,1.001000
5.950000,1.017600
6.100000,1.034100
6.250000,1.050500
6.400000,1.066900
6.550000,1.083300
6.700000,1.099700
6.850000,1.116100
7.000000,1.132300
7.150000,1.148500
7.300000,1.164600
7.450000,1.180600
7.600000,1.196400
7.750000,1.212200
7.900000,1.227900
8.050000,1.243600
8.350000,1.275100
8.500000,1.290700
8.800000,1.321800
8.950000,1.337200
9.100000,1.352600
9.250000,1.367900
9.400000,1.383000
9.550000,1.397800
9.700000,1.412400
9.850000,1.426800
10.000000,1.441300
10.150000,1.455500
10.300000,1.469500
10.450000,1.483200
10.600000,1.496600
10.750000,1.509800
10.900000,1.523000
11.050000,1.535900
11.200000,1.548700
11.350000,1.561100
11.500000,1.573100
11.650000,1.584600
11.800000,1.595100
12.400000,1.628500
12.550000,1.635800
12.700000,1.641700
12.850000,1.648300
13.000000,1.654900
13.150000,1.660500
13.300000,1.667300
13.450000,1.671800
13.600000,1.677300
13.750000,1.681900
13.900000,1.686700
14.050000,1.689700
14.200000,1.693900
14.350000,1.697600
14.500000,1.700500
14.650000,1.703000
14.800000,1.704800
14.950000,1.706300
15.100000,1.706300
15.250000,1.706400
15.400000,1.705500
15.550000,1.704200
15.700000,1.702000
15.850000,1.697900
16.000000,1.695400
16.150000,1.690900
16.300000,1.684400
16.450000,1.678600
16.600000,1.671900
16.750000,1.663800
16.900000,1.653900
17.050000,1.643900
17.200000,1.634100
17.350000,1.624600
17.500000,1.613200
17.650000,1.599200
17.800000,1.588400
17.950000,1.574400
18.100000,1.559500
18.250000,1.545400
18.400000,1.529700
18.550000,1.511800
18.700000,1.495000
18.850000,1.474400
19.000000,1.452500
19.150000,1.420600
19.750000,1.104000
19.900000,1.107400
20.050000,1.110700
20.200000,1.114200
20.350000,1.117600
20.500000,1.120600
20.650000,1.117700
20.800000,1.121500
20.950000,1.125500
21.100000,1.129200
21.250000,1.133100
21.400000,1.136400
21.550000,1.136700
21.700000,1.141200
21.850000,1.145300
22.000000,1.149700
22.150000,1.154100
22.300000,1.158200
22.450000,1.162600
22.600000,1.166900
22.750000,1.171400
22.900000,1.175700
23.050000,1.179900
