  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 65-410                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =     7.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2206   0.00603   0.00152  -0.0807   0.6919   0.0095
  -4.850  -0.2031   0.00597   0.00146  -0.0808   0.6890   0.0101
  -4.700  -0.1855   0.00591   0.00140  -0.0809   0.6857   0.0105
  -4.550  -0.1681   0.00587   0.00134  -0.0810   0.6816   0.0107
  -4.400  -0.1505   0.00581   0.00128  -0.0811   0.6788   0.0109
  -4.250  -0.1329   0.00576   0.00123  -0.0812   0.6763   0.0110
  -4.100  -0.1153   0.00572   0.00118  -0.0814   0.6732   0.0111
  -3.950  -0.0977   0.00568   0.00113  -0.0815   0.6699   0.0112
  -3.800  -0.0802   0.00564   0.00108  -0.0816   0.6660   0.0113
  -3.650  -0.0626   0.00560   0.00103  -0.0817   0.6637   0.0113
  -3.500  -0.0450   0.00554   0.00097  -0.0819   0.6609   0.0121
  -3.350  -0.0274   0.00550   0.00092  -0.0820   0.6576   0.0131
  -3.200  -0.0099   0.00546   0.00088  -0.0821   0.6539   0.0140
  -3.050   0.0077   0.00542   0.00084  -0.0823   0.6507   0.0146
  -2.900   0.0253   0.00538   0.00081  -0.0824   0.6483   0.0152
  -2.750   0.0429   0.00535   0.00077  -0.0826   0.6454   0.0156
  -2.600   0.0605   0.00532   0.00074  -0.0827   0.6422   0.0159
  -2.450   0.0780   0.00530   0.00071  -0.0829   0.6385   0.0161
  -2.300   0.0956   0.00527   0.00068  -0.0830   0.6359   0.0179
  -2.150   0.1132   0.00523   0.00065  -0.0832   0.6336   0.0197
  -2.000   0.1308   0.00519   0.00062  -0.0833   0.6309   0.0213
  -1.850   0.1484   0.00517   0.00060  -0.0835   0.6275   0.0223
  -1.700   0.1659   0.00516   0.00058  -0.0836   0.6230   0.0229
  -1.550   0.1835   0.00514   0.00056  -0.0838   0.6195   0.0237
  -1.400   0.2009   0.00513   0.00054  -0.0839   0.6137   0.0264
  -1.250   0.2183   0.00512   0.00053  -0.0840   0.6071   0.0293
  -1.100   0.2357   0.00511   0.00052  -0.0842   0.6003   0.0320
  -0.950   0.2530   0.00512   0.00051  -0.0843   0.5926   0.0352
  -0.800   0.2705   0.00509   0.00049  -0.0844   0.5866   0.0428
  -0.650   0.2878   0.00504   0.00049  -0.0846   0.5799   0.0682
  -0.500   0.3054   0.00497   0.00047  -0.0848   0.5762   0.0957
  -0.200   0.3402   0.00479   0.00046  -0.0852   0.5607   0.1860
  -0.050   0.3565   0.00482   0.00048  -0.0852   0.5322   0.2233
   0.100   0.3722   0.00489   0.00051  -0.0851   0.4911   0.2707
   0.250   0.3880   0.00492   0.00056  -0.0851   0.4516   0.3334
   0.400   0.4039   0.00490   0.00061  -0.0852   0.4124   0.4138
   0.550   0.4199   0.00486   0.00065  -0.0854   0.3733   0.5056
   0.700   0.4357   0.00495   0.00073  -0.0853   0.3302   0.5558
   0.850   0.4510   0.00517   0.00082  -0.0852   0.2789   0.5759
   1.000   0.4662   0.00543   0.00092  -0.0850   0.2245   0.5848
   1.150   0.4819   0.00564   0.00100  -0.0848   0.1805   0.5921
   1.300   0.4983   0.00576   0.00107  -0.0848   0.1561   0.6027
   1.450   0.5144   0.00594   0.00114  -0.0847   0.1215   0.6113
   1.750   0.5466   0.00627   0.00131  -0.0845   0.0616   0.6252
   1.900   0.5629   0.00643   0.00139  -0.0844   0.0370   0.6310
   2.050   0.5799   0.00649   0.00144  -0.0845   0.0323   0.6345
   2.200   0.5970   0.00656   0.00149  -0.0845   0.0296   0.6375
   2.350   0.6141   0.00662   0.00154  -0.0846   0.0268   0.6415
   2.500   0.6312   0.00667   0.00159  -0.0846   0.0242   0.6452
   2.650   0.6483   0.00672   0.00164  -0.0847   0.0238   0.6482
   2.950   0.6825   0.00683   0.00175  -0.0848   0.0227   0.6547
   3.100   0.6995   0.00690   0.00181  -0.0848   0.0210   0.6585
   3.250   0.7163   0.00699   0.00188  -0.0848   0.0182   0.6618
   3.400   0.7333   0.00706   0.00195  -0.0848   0.0162   0.6645
   3.550   0.7502   0.00713   0.00202  -0.0849   0.0151   0.6681
   3.700   0.7670   0.00722   0.00210  -0.0848   0.0131   0.6720
   3.850   0.7838   0.00731   0.00217  -0.0848   0.0112   0.6754
   4.000   0.8007   0.00738   0.00225  -0.0848   0.0108   0.6782
   4.150   0.8175   0.00747   0.00233  -0.0848   0.0102   0.6813
   4.300   0.8343   0.00755   0.00241  -0.0848   0.0097   0.6855
   4.450   0.8510   0.00764   0.00250  -0.0848   0.0090   0.6892
   4.600   0.8678   0.00773   0.00258  -0.0847   0.0084   0.6924
   4.750   0.8845   0.00782   0.00268  -0.0847   0.0080   0.6952
   4.900   0.9012   0.00791   0.00278  -0.0846   0.0077   0.6992
   5.050   0.9179   0.00800   0.00288  -0.0846   0.0076   0.7029
   5.200   0.9346   0.00809   0.00298  -0.0845   0.0076   0.7063
   5.500   0.9679   0.00828   0.00318  -0.0844   0.0076   0.7135
   5.650   0.9845   0.00838   0.00329  -0.0843   0.0076   0.7177
   5.800   1.0010   0.00848   0.00339  -0.0842   0.0075   0.7212
   5.950   1.0176   0.00858   0.00350  -0.0841   0.0075   0.7240
   6.100   1.0341   0.00868   0.00362  -0.0840   0.0075   0.7281
   6.250   1.0505   0.00879   0.00374  -0.0838   0.0074   0.7319
   6.400   1.0669   0.00890   0.00386  -0.0837   0.0074   0.7352
   6.550   1.0833   0.00901   0.00398  -0.0836   0.0073   0.7378
   6.700   1.0997   0.00912   0.00410  -0.0834   0.0071   0.7416
   6.850   1.1161   0.00924   0.00422  -0.0833   0.0070   0.7456
   7.000   1.1323   0.00936   0.00435  -0.0831   0.0067   0.7494
   7.150   1.1485   0.00949   0.00448  -0.0829   0.0065   0.7525
   7.300   1.1646   0.00962   0.00463  -0.0827   0.0063   0.7572
   7.450   1.1806   0.00976   0.00478  -0.0825   0.0061   0.7619
   7.600   1.1964   0.00991   0.00494  -0.0823   0.0057   0.7657
   7.750   1.2122   0.01007   0.00511  -0.0820   0.0054   0.7697
   7.900   1.2279   0.01024   0.00530  -0.0817   0.0051   0.7745
