alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.218100,0.007020,-0.080800,-31.068376,3200000.000000,7.000000
-4.850000,-0.200900,0.006970,-0.080800,-28.823529,3200000.000000,7.000000
-4.700000,-0.183800,0.006790,-0.080900,-27.069219,3200000.000000,7.000000
-4.550000,-0.166400,0.006680,-0.081000,-24.910180,3200000.000000,7.000000
-4.400000,-0.149100,0.006620,-0.081000,-22.522659,3200000.000000,7.000000
-4.250000,-0.131800,0.006560,-0.081100,-20.091463,3200000.000000,7.000000
-4.100000,-0.114400,0.006490,-0.081200,-17.627119,3200000.000000,7.000000
-3.950000,-0.096900,0.006420,-0.081300,-15.093458,3200000.000000,7.000000
-3.800000,-0.079500,0.006360,-0.081400,-12.500000,3200000.000000,7.000000
-3.650000,-0.062200,0.006320,-0.081500,-9.841772,3200000.000000,7.000000
-3.500000,-0.044800,0.006260,-0.081600,-7.156550,3200000.000000,7.000000
-3.350000,-0.027200,0.006210,-0.081700,-4.380032,3200000.000000,7.000000
-3.200000,-0.009800,0.006160,-0.081900,-1.590909,3200000.000000,7.000000
-3.050000,0.007500,0.006080,-0.081900,1.233553,3200000.000000,7.000000
-2.900000,0.025000,0.006020,-0.082100,4.152824,3200000.000000,7.000000
-2.750000,0.042500,0.005960,-0.082200,7.130872,3200000.000000,7.000000
-2.600000,0.060000,0.005910,-0.082300,10.152284,3200000.000000,7.000000
-2.450000,0.077400,0.005890,-0.082400,13.140917,3200000.000000,7.000000
-2.300000,0.094800,0.005860,-0.082600,16.177474,3200000.000000,7.000000
-2.150000,0.112400,0.005820,-0.082700,19.312715,3200000.000000,7.000000
-2.000000,0.129900,0.005770,-0.082900,22.512998,3200000.000000,7.000000
-1.850000,0.147300,0.005730,-0.083000,25.706806,3200000.000000,7.000000
-1.700000,0.164700,0.005700,-0.083100,28.894737,3200000.000000,7.000000
-1.550000,0.182300,0.005650,-0.083300,32.265487,3200000.000000,7.000000
-1.400000,0.199800,0.005580,-0.083400,35.806452,3200000.000000,7.000000
-1.250000,0.217100,0.005450,-0.083600,39.834862,3200000.000000,7.000000
-1.100000,0.234500,0.005300,-0.083900,44.245283,3200000.000000,7.000000
-0.950000,0.252100,0.005040,-0.084200,50.019841,3200000.000000,7.000000
-0.800000,0.269600,0.004780,-0.084600,56.401674,3200000.000000,7.000000
-0.650000,0.287100,0.004480,-0.085000,64.084821,3200000.000000,7.000000
-0.500000,0.304400,0.004170,-0.085400,72.997602,3200000.000000,7.000000
-0.350000,0.322000,0.004070,-0.085600,79.115479,3200000.000000,7.000000
-0.200000,0.339400,0.004020,-0.085800,84.427861,3200000.000000,7.000000
-0.050000,0.356700,0.004010,-0.085900,88.952618,3200000.000000,7.000000
0.100000,0.374300,0.003980,-0.086000,94.045226,3200000.000000,7.000000
0.250000,0.391400,0.003990,-0.086100,98.095238,3200000.000000,7.000000
0.400000,0.408600,0.004000,-0.086200,102.150000,3200000.000000,7.000000
0.700000,0.443300,0.004050,-0.086400,109.456790,3200000.000000,7.000000
0.850000,0.460400,0.004100,-0.086500,112.292683,3200000.000000,7.000000
1.000000,0.477500,0.004160,-0.086500,114.783654,3200000.000000,7.000000
1.150000,0.494400,0.004230,-0.086500,116.879433,3200000.000000,7.000000
1.300000,0.510800,0.004350,-0.086500,117.425287,3200000.000000,7.000000
1.450000,0.526400,0.004550,-0.086300,115.692308,3200000.000000,7.000000
1.600000,0.540800,0.004870,-0.085900,111.047228,3200000.000000,7.000000
1.750000,0.554500,0.005270,-0.085500,105.218216,3200000.000000,7.000000
1.900000,0.567400,0.005770,-0.084900,98.336222,3200000.000000,7.000000
2.050000,0.580300,0.006270,-0.084300,92.551834,3200000.000000,7.000000
2.350000,0.610700,0.006800,-0.083800,89.808824,3200000.000000,7.000000
2.500000,0.625800,0.007070,-0.083600,88.514851,3200000.000000,7.000000
2.650000,0.641300,0.007300,-0.083400,87.849315,3200000.000000,7.000000
2.800000,0.657000,0.007510,-0.083200,87.483356,3200000.000000,7.000000
2.950000,0.673400,0.007640,-0.083100,88.141361,3200000.000000,7.000000
3.100000,0.690100,0.007730,-0.083100,89.275550,3200000.000000,7.000000
3.250000,0.706800,0.007830,-0.083100,90.268199,3200000.000000,7.000000
3.400000,0.723500,0.007900,-0.083100,91.582278,3200000.000000,7.000000
3.550000,0.740400,0.007980,-0.083000,92.781955,3200000.000000,7.000000
3.700000,0.757200,0.008050,-0.083000,94.062112,3200000.000000,7.000000
3.850000,0.773900,0.008140,-0.083000,95.073710,3200000.000000,7.000000
4.000000,0.790400,0.008250,-0.082900,95.806061,3200000.000000,7.000000
4.150000,0.806900,0.008360,-0.082900,96.519139,3200000.000000,7.000000
4.300000,0.823500,0.008460,-0.082800,97.340426,3200000.000000,7.000000
4.450000,0.840000,0.008560,-0.082700,98.130841,3200000.000000,7.000000
4.600000,0.856300,0.008680,-0.082600,98.652074,3200000.000000,7.000000
4.750000,0.872500,0.008820,-0.082500,98.922902,3200000.000000,7.000000
4.900000,0.888900,0.008940,-0.082400,99.429530,3200000.000000,7.000000
5.050000,0.905300,0.009040,-0.082200,100.143805,3200000.000000,7.000000
5.200000,0.921600,0.009160,-0.082100,100.611354,3200000.000000,7.000000
5.500000,0.954100,0.009400,-0.081800,101.500000,3200000.000000,7.000000
5.650000,0.970200,0.009540,-0.081700,101.698113,3200000.000000,7.000000
5.950000,1.002300,0.009810,-0.081300,102.171254,3200000.000000,7.000000
6.100000,1.018200,0.009960,-0.081100,102.228916,3200000.000000,7.000000
6.250000,1.034100,0.010110,-0.080800,102.284866,3200000.000000,7.000000
6.400000,1.049800,0.010270,-0.080600,102.220058,3200000.000000,7.000000
6.550000,1.065500,0.010430,-0.080300,102.157239,3200000.000000,7.000000
6.700000,1.081000,0.010610,-0.080000,101.885014,3200000.000000,7.000000
6.850000,1.096100,0.010830,-0.079600,101.209603,3200000.000000,7.000000
7.000000,1.110700,0.011090,-0.079200,100.153291,3200000.000000,7.000000
7.150000,1.124200,0.011460,-0.078500,98.097731,3200000.000000,7.000000
7.300000,1.139900,0.011590,-0.078200,98.352028,3200000.000000,7.000000
7.450000,1.155100,0.011780,-0.077900,98.056027,3200000.000000,7.000000
7.600000,1.170300,0.011950,-0.077500,97.933054,3200000.000000,7.000000
7.900000,1.199900,0.012350,-0.076600,97.157895,3200000.000000,7.000000
8.050000,1.214600,0.012540,-0.076200,96.858054,3200000.000000,7.000000
8.200000,1.229300,0.012720,-0.075700,96.643082,3200000.000000,7.000000
8.350000,1.243800,0.012920,-0.075200,96.269350,3200000.000000,7.000000
8.500000,1.258200,0.013100,-0.074600,96.045802,3200000.000000,7.000000
8.650000,1.272300,0.013290,-0.074100,95.733634,3200000.000000,7.000000
8.800000,1.286000,0.013490,-0.073400,95.329874,3200000.000000,7.000000
8.950000,1.298900,0.013700,-0.072500,94.810219,3200000.000000,7.000000
9.100000,1.310800,0.013860,-0.071400,94.574315,3200000.000000,7.000000
9.250000,1.325500,0.014040,-0.071000,94.408832,3200000.000000,7.000000
9.400000,1.340000,0.014280,-0.070500,93.837535,3200000.000000,7.000000
9.550000,1.354000,0.014550,-0.070000,93.058419,3200000.000000,7.000000
9.700000,1.366500,0.014940,-0.069200,91.465863,3200000.000000,7.000000
9.850000,1.377900,0.015440,-0.068200,89.242228,3200000.000000,7.000000
10.000000,1.392200,0.015640,-0.067700,89.015345,3200000.000000,7.000000
10.150000,1.406000,0.015890,-0.067100,88.483323,3200000.000000,7.000000
10.300000,1.419500,0.016140,-0.066400,87.949195,3200000.000000,7.000000
10.450000,1.433200,0.016380,-0.065800,87.496947,3200000.000000,7.000000
10.600000,1.446500,0.016630,-0.065100,86.981359,3200000.000000,7.000000
10.750000,1.459500,0.016910,-0.064400,86.309876,3200000.000000,7.000000
10.900000,1.471700,0.017230,-0.063500,85.414974,3200000.000000,7.000000
11.050000,1.483600,0.017500,-0.062600,84.777143,3200000.000000,7.000000
11.200000,1.493800,0.017830,-0.061400,83.780146,3200000.000000,7.000000
11.350000,1.502900,0.018210,-0.060000,82.531576,3200000.000000,7.000000
11.500000,1.510600,0.018690,-0.058400,80.823970,3200000.000000,7.000000
11.650000,1.518900,0.019130,-0.056900,79.398850,3200000.000000,7.000000
11.800000,1.526800,0.019600,-0.055400,77.897959,3200000.000000,7.000000
11.950000,1.534600,0.020090,-0.053900,76.386262,3200000.000000,7.000000
12.100000,1.542300,0.020590,-0.052500,74.905294,3200000.000000,7.000000
12.250000,1.549300,0.021150,-0.051000,73.252955,3200000.000000,7.000000
12.400000,1.556700,0.021710,-0.049600,71.704284,3200000.000000,7.000000
12.550000,1.563100,0.022340,-0.048100,69.968666,3200000.000000,7.000000
12.700000,1.569900,0.022960,-0.046700,68.375436,3200000.000000,7.000000
12.850000,1.575700,0.023680,-0.045200,66.541385,3200000.000000,7.000000
13.000000,1.580800,0.024450,-0.043800,64.654397,3200000.000000,7.000000
13.150000,1.585300,0.025290,-0.042300,62.684856,3200000.000000,7.000000
13.300000,1.589100,0.026220,-0.040800,60.606407,3200000.000000,7.000000
13.450000,1.592100,0.027220,-0.039400,58.490081,3200000.000000,7.000000
13.600000,1.593900,0.028360,-0.037800,56.202398,3200000.000000,7.000000
13.750000,1.593100,0.029760,-0.036200,53.531586,3200000.000000,7.000000
13.900000,1.592700,0.031130,-0.034700,51.162865,3200000.000000,7.000000
14.050000,1.594800,0.032270,-0.033500,49.420514,3200000.000000,7.000000
14.200000,1.594900,0.033620,-0.032300,47.439024,3200000.000000,7.000000
14.350000,1.593900,0.035120,-0.031100,45.384396,3200000.000000,7.000000
14.500000,1.592900,0.036630,-0.030000,43.486213,3200000.000000,7.000000
14.650000,1.589100,0.038450,-0.028900,41.328999,3200000.000000,7.000000
14.800000,1.586000,0.040260,-0.028000,39.393939,3200000.000000,7.000000
14.950000,1.582100,0.042190,-0.027300,37.499407,3200000.000000,7.000000
15.100000,1.575600,0.044440,-0.026600,35.454545,3200000.000000,7.000000
15.250000,1.568600,0.046830,-0.026100,33.495622,3200000.000000,7.000000
15.400000,1.561300,0.049330,-0.025800,31.650111,3200000.000000,7.000000
15.550000,1.552900,0.052040,-0.025700,29.840507,3200000.000000,7.000000
15.700000,1.544300,0.054850,-0.025900,28.154968,3200000.000000,7.000000
15.850000,1.532000,0.058280,-0.026300,26.286891,3200000.000000,7.000000
