alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.216400,0.008060,-0.080900,-26.848635,1800000.000000,7.000000
-4.850000,-0.199200,0.007990,-0.080900,-24.931164,1800000.000000,7.000000
-4.700000,-0.182100,0.007920,-0.081000,-22.992424,1800000.000000,7.000000
-4.550000,-0.165100,0.007840,-0.081000,-21.058673,1800000.000000,7.000000
-4.400000,-0.147900,0.007740,-0.081000,-19.108527,1800000.000000,7.000000
-4.250000,-0.130600,0.007650,-0.081100,-17.071895,1800000.000000,7.000000
-4.100000,-0.113500,0.007570,-0.081100,-14.993395,1800000.000000,7.000000
-3.950000,-0.096400,0.007520,-0.081200,-12.819149,1800000.000000,7.000000
-3.800000,-0.079300,0.007330,-0.081300,-10.818554,1800000.000000,7.000000
-3.650000,-0.062200,0.007150,-0.081300,-8.699301,1800000.000000,7.000000
-3.500000,-0.045100,0.007040,-0.081400,-6.406250,1800000.000000,7.000000
-3.350000,-0.027900,0.006960,-0.081400,-4.008621,1800000.000000,7.000000
-3.200000,-0.010500,0.006880,-0.081600,-1.526163,1800000.000000,7.000000
-3.050000,0.006900,0.006820,-0.081700,1.011730,1800000.000000,7.000000
-2.900000,0.024100,0.006770,-0.081700,3.559823,1800000.000000,7.000000
-2.750000,0.041400,0.006730,-0.081800,6.151560,1800000.000000,7.000000
-2.600000,0.058900,0.006680,-0.081900,8.817365,1800000.000000,7.000000
-2.450000,0.076200,0.006590,-0.082000,11.562974,1800000.000000,7.000000
-2.300000,0.093500,0.006530,-0.082100,14.318530,1800000.000000,7.000000
-2.150000,0.110800,0.006480,-0.082200,17.098765,1800000.000000,7.000000
-2.000000,0.128300,0.006430,-0.082400,19.953344,1800000.000000,7.000000
-1.850000,0.145700,0.006380,-0.082500,22.836991,1800000.000000,7.000000
-1.700000,0.163000,0.006300,-0.082600,25.873016,1800000.000000,7.000000
-1.550000,0.180200,0.006140,-0.082800,29.348534,1800000.000000,7.000000
-1.400000,0.197500,0.005870,-0.083100,33.645656,1800000.000000,7.000000
-1.250000,0.214800,0.005500,-0.083500,39.054545,1800000.000000,7.000000
-1.100000,0.231900,0.005110,-0.084000,45.381605,1800000.000000,7.000000
-0.950000,0.249000,0.004720,-0.084400,52.754237,1800000.000000,7.000000
-0.800000,0.266500,0.004580,-0.084600,58.187773,1800000.000000,7.000000
