alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.218900,0.006320,-0.080900,-34.636076,5000000.000000,7.000000
-4.850000,-0.201500,0.006270,-0.081000,-32.137161,5000000.000000,7.000000
-4.700000,-0.184100,0.006230,-0.081000,-29.550562,5000000.000000,7.000000
-4.550000,-0.166500,0.006180,-0.081100,-26.941748,5000000.000000,7.000000
-4.400000,-0.149000,0.006100,-0.081300,-24.426230,5000000.000000,7.000000
-4.250000,-0.131600,0.006010,-0.081300,-21.896839,5000000.000000,7.000000
-4.100000,-0.114200,0.005940,-0.081400,-19.225589,5000000.000000,7.000000
-3.950000,-0.096700,0.005880,-0.081600,-16.445578,5000000.000000,7.000000
-3.800000,-0.079100,0.005820,-0.081700,-13.591065,5000000.000000,7.000000
-3.650000,-0.061600,0.005770,-0.081800,-10.675910,5000000.000000,7.000000
-3.500000,-0.044200,0.005730,-0.081900,-7.713787,5000000.000000,7.000000
-3.350000,-0.026600,0.005680,-0.082000,-4.683099,5000000.000000,7.000000
-3.200000,-0.009100,0.005640,-0.082200,-1.613475,5000000.000000,7.000000
-3.050000,0.008500,0.005610,-0.082300,1.515152,5000000.000000,7.000000
-2.900000,0.025900,0.005580,-0.082400,4.641577,5000000.000000,7.000000
-2.750000,0.043500,0.005530,-0.082600,7.866184,5000000.000000,7.000000
-2.600000,0.061000,0.005480,-0.082700,11.131387,5000000.000000,7.000000
-2.450000,0.078600,0.005440,-0.082800,14.448529,5000000.000000,7.000000
-2.300000,0.096000,0.005410,-0.083000,17.744917,5000000.000000,7.000000
-2.150000,0.113600,0.005390,-0.083100,21.076067,5000000.000000,7.000000
-2.000000,0.131200,0.005360,-0.083300,24.477612,5000000.000000,7.000000
-1.850000,0.148700,0.005330,-0.083400,27.898687,5000000.000000,7.000000
-1.700000,0.166200,0.005290,-0.083600,31.417769,5000000.000000,7.000000
-1.550000,0.183700,0.005270,-0.083700,34.857685,5000000.000000,7.000000
-1.400000,0.201300,0.005230,-0.083900,38.489484,5000000.000000,7.000000
-1.250000,0.218900,0.005190,-0.084000,42.177264,5000000.000000,7.000000
-1.100000,0.236400,0.005100,-0.084200,46.352941,5000000.000000,7.000000
-0.950000,0.253800,0.005010,-0.084400,50.658683,5000000.000000,7.000000
-0.800000,0.271300,0.004840,-0.084700,56.053719,5000000.000000,7.000000
-0.500000,0.306200,0.004500,-0.085200,68.044444,5000000.000000,7.000000
-0.350000,0.323700,0.004250,-0.085600,76.164706,5000000.000000,7.000000
-0.200000,0.341100,0.004040,-0.085900,84.430693,5000000.000000,7.000000
-0.050000,0.358700,0.003890,-0.086200,92.210797,5000000.000000,7.000000
0.100000,0.375800,0.003870,-0.086400,97.105943,5000000.000000,7.000000
0.250000,0.392900,0.003860,-0.086500,101.787565,5000000.000000,7.000000
0.400000,0.410200,0.003860,-0.086600,106.269430,5000000.000000,7.000000
0.550000,0.427300,0.003880,-0.086700,110.128866,5000000.000000,7.000000
0.700000,0.444400,0.003930,-0.086700,113.078880,5000000.000000,7.000000
0.850000,0.461000,0.004020,-0.086700,114.676617,5000000.000000,7.000000
1.000000,0.477200,0.004160,-0.086600,114.711538,5000000.000000,7.000000
1.150000,0.491600,0.004480,-0.086300,109.732143,5000000.000000,7.000000
1.300000,0.505300,0.004890,-0.085800,103.333333,5000000.000000,7.000000
1.450000,0.520700,0.005130,-0.085600,101.500975,5000000.000000,7.000000
1.750000,0.549200,0.005870,-0.084900,93.560477,5000000.000000,7.000000
1.900000,0.564500,0.006120,-0.084700,92.238562,5000000.000000,7.000000
2.050000,0.580600,0.006300,-0.084600,92.158730,5000000.000000,7.000000
2.200000,0.596300,0.006510,-0.084400,91.597542,5000000.000000,7.000000
2.350000,0.612500,0.006670,-0.084300,91.829085,5000000.000000,7.000000
2.500000,0.628400,0.006860,-0.084200,91.603499,5000000.000000,7.000000
2.650000,0.645000,0.006970,-0.084100,92.539455,5000000.000000,7.000000
2.800000,0.661900,0.007050,-0.084100,93.886525,5000000.000000,7.000000
2.950000,0.678800,0.007130,-0.084200,95.203366,5000000.000000,7.000000
3.100000,0.695800,0.007200,-0.084200,96.638889,5000000.000000,7.000000
3.250000,0.712800,0.007260,-0.084200,98.181818,5000000.000000,7.000000
3.400000,0.729800,0.007320,-0.084200,99.699454,5000000.000000,7.000000
