alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.219900,0.006210,-0.080700,-35.410628,5600000.000000,6.000000
-4.850000,-0.202300,0.006150,-0.080800,-32.894309,5600000.000000,6.000000
-4.700000,-0.184800,0.006100,-0.080900,-30.295082,5600000.000000,6.000000
-4.550000,-0.167300,0.006050,-0.081000,-27.652893,5600000.000000,6.000000
-4.400000,-0.149800,0.006010,-0.081100,-24.925125,5600000.000000,6.000000
-4.250000,-0.132200,0.005960,-0.081300,-22.181208,5600000.000000,6.000000
-4.100000,-0.114700,0.005900,-0.081400,-19.440678,5600000.000000,6.000000
-3.950000,-0.097200,0.005830,-0.081500,-16.672384,5600000.000000,6.000000
-3.800000,-0.079800,0.005780,-0.081600,-13.806228,5600000.000000,6.000000
-3.650000,-0.062200,0.005720,-0.081700,-10.874126,5600000.000000,6.000000
-3.500000,-0.044600,0.005670,-0.081900,-7.865961,5600000.000000,6.000000
-3.350000,-0.027100,0.005620,-0.082000,-4.822064,5600000.000000,6.000000
-3.200000,-0.009600,0.005590,-0.082100,-1.717352,5600000.000000,6.000000
-3.050000,0.007900,0.005550,-0.082200,1.423423,5600000.000000,6.000000
-2.900000,0.025500,0.005510,-0.082400,4.627949,5600000.000000,6.000000
-2.750000,0.043100,0.005480,-0.082500,7.864964,5600000.000000,6.000000
-2.600000,0.060600,0.005450,-0.082700,11.119266,5600000.000000,6.000000
-2.450000,0.078100,0.005410,-0.082800,14.436229,5600000.000000,6.000000
-2.300000,0.095700,0.005370,-0.083000,17.821229,5600000.000000,6.000000
-2.150000,0.113300,0.005330,-0.083100,21.257036,5600000.000000,6.000000
-2.000000,0.130900,0.005310,-0.083300,24.651601,5600000.000000,6.000000
-1.850000,0.148400,0.005300,-0.083400,28.000000,5600000.000000,6.000000
-1.700000,0.165900,0.005270,-0.083500,31.480076,5600000.000000,6.000000
-1.550000,0.183600,0.005230,-0.083700,35.105163,5600000.000000,6.000000
-1.400000,0.201100,0.005200,-0.083900,38.673077,5600000.000000,6.000000
-1.250000,0.218600,0.005190,-0.084000,42.119461,5600000.000000,6.000000
-1.100000,0.236000,0.005160,-0.084200,45.736434,5600000.000000,6.000000
-0.950000,0.253500,0.005100,-0.084300,49.705882,5600000.000000,6.000000
-0.650000,0.288300,0.004900,-0.084700,58.836735,5600000.000000,6.000000
-0.500000,0.305700,0.004810,-0.084900,63.555094,5600000.000000,6.000000
-0.350000,0.323300,0.004630,-0.085200,69.827214,5600000.000000,6.000000
