alpha,cl,cd,cm,ld,re,ncrit
-5.000000,-0.220600,0.006520,-0.080400,-33.834356,4500000.000000,5.000000
-4.850000,-0.203200,0.006460,-0.080500,-31.455108,4500000.000000,5.000000
-4.700000,-0.185800,0.006410,-0.080600,-28.985959,4500000.000000,5.000000
-4.550000,-0.168300,0.006350,-0.080700,-26.503937,4500000.000000,5.000000
-4.400000,-0.150700,0.006290,-0.080800,-23.958665,4500000.000000,5.000000
-4.250000,-0.133200,0.006250,-0.080900,-21.312000,4500000.000000,5.000000
-4.100000,-0.115800,0.006190,-0.081000,-18.707593,4500000.000000,5.000000
-3.950000,-0.098400,0.006120,-0.081100,-16.078431,4500000.000000,5.000000
-3.800000,-0.080800,0.006060,-0.081300,-13.333333,4500000.000000,5.000000
-3.650000,-0.063300,0.006000,-0.081400,-10.550000,4500000.000000,5.000000
-3.500000,-0.045800,0.005950,-0.081500,-7.697479,4500000.000000,5.000000
-3.350000,-0.028400,0.005910,-0.081600,-4.805415,4500000.000000,5.000000
-3.200000,-0.010800,0.005860,-0.081800,-1.843003,4500000.000000,5.000000
-3.050000,0.006800,0.005820,-0.081900,1.168385,4500000.000000,5.000000
-2.900000,0.024300,0.005780,-0.082000,4.204152,4500000.000000,5.000000
-2.750000,0.041800,0.005750,-0.082200,7.269565,4500000.000000,5.000000
-2.600000,0.059200,0.005720,-0.082300,10.349650,4500000.000000,5.000000
-2.450000,0.076800,0.005670,-0.082500,13.544974,4500000.000000,5.000000
-2.300000,0.094400,0.005630,-0.082600,16.767318,4500000.000000,5.000000
-2.150000,0.111900,0.005600,-0.082700,19.982143,4500000.000000,5.000000
-2.000000,0.129400,0.005580,-0.082900,23.189964,4500000.000000,5.000000
-1.850000,0.146900,0.005550,-0.083000,26.468468,4500000.000000,5.000000
-1.700000,0.164500,0.005520,-0.083200,29.800725,4500000.000000,5.000000
-1.550000,0.182100,0.005490,-0.083300,33.169399,4500000.000000,5.000000
-1.400000,0.199600,0.005460,-0.083500,36.556777,4500000.000000,5.000000
-1.250000,0.217000,0.005440,-0.083600,39.889706,4500000.000000,5.000000
-1.100000,0.234600,0.005410,-0.083800,43.364140,4500000.000000,5.000000
-0.950000,0.252200,0.005360,-0.084000,47.052239,4500000.000000,5.000000
-0.800000,0.269500,0.005260,-0.084100,51.235741,4500000.000000,5.000000
-0.650000,0.287000,0.005170,-0.084300,55.512573,4500000.000000,5.000000
-0.500000,0.304400,0.005040,-0.084600,60.396825,4500000.000000,5.000000
-0.350000,0.321700,0.004880,-0.084800,65.922131,4500000.000000,5.000000
-0.200000,0.339200,0.004720,-0.085100,71.864407,4500000.000000,5.000000
-0.050000,0.356600,0.004480,-0.085500,79.598214,4500000.000000,5.000000
0.100000,0.373800,0.004260,-0.085800,87.746479,4500000.000000,5.000000
0.250000,0.390600,0.004210,-0.085900,92.779097,4500000.000000,5.000000
0.400000,0.407600,0.004200,-0.086000,97.047619,4500000.000000,5.000000
0.550000,0.424300,0.004240,-0.086100,100.070755,4500000.000000,5.000000
0.700000,0.440400,0.004380,-0.086000,100.547945,4500000.000000,5.000000
0.850000,0.455500,0.004640,-0.085700,98.168103,4500000.000000,5.000000
1.000000,0.470400,0.004900,-0.085500,96.000000,4500000.000000,5.000000
1.300000,0.498900,0.005630,-0.084700,88.614565,4500000.000000,5.000000
1.450000,0.514100,0.005890,-0.084500,87.283531,4500000.000000,5.000000
1.600000,0.529800,0.006110,-0.084400,86.710311,4500000.000000,5.000000
1.750000,0.544700,0.006420,-0.084100,84.844237,4500000.000000,5.000000
2.050000,0.576500,0.006800,-0.083800,84.779412,4500000.000000,5.000000
2.200000,0.592600,0.006970,-0.083700,85.021521,4500000.000000,5.000000
2.500000,0.626300,0.007140,-0.083700,87.717087,4500000.000000,5.000000
