alpha,cl_corrected
-5.000000,-0.301289
-4.850000,-0.277553
-4.700000,-0.253544
-4.550000,-0.229534
-4.400000,-0.205661
-4.250000,-0.181789
-4.100000,-0.157916
-3.950000,-0.133906
-3.800000,-0.109896
-3.650000,-0.086024
-3.500000,-0.062151
-3.350000,-0.038004
-3.200000,-0.013994
-3.050000,0.010016
-2.900000,0.033888
-2.750000,0.058035
-2.600000,0.082045
-2.450000,0.106055
-2.300000,0.129927
-2.150000,0.154074
-2.000000,0.178084
-1.850000,0.202231
-1.700000,0.226104
-1.550000,0.250114
-1.400000,0.274261
-1.250000,0.298270
-1.100000,0.322280
-0.950000,0.346290
-0.800000,0.370300
-0.650000,0.394310
-0.350000,0.442192
-0.200000,0.466065
-0.050000,0.489937
0.100000,0.513810
0.250000,0.537271
0.400000,0.560732
0.550000,0.584193
0.700000,0.607517
0.850000,0.630566
1.000000,0.653067
1.150000,0.673921
1.300000,0.691894
1.450000,0.711102
1.600000,0.731956
1.750000,0.751301
1.900000,0.771058
2.050000,0.792323
2.200000,0.814275
2.350000,0.836501
2.500000,0.858316
2.650000,0.881091
2.800000,0.904141
2.950000,0.927327
3.100000,0.950514
3.250000,0.973838
3.400000,0.997024
3.550000,1.020211
3.700000,1.042986
3.850000,1.065761
4.000000,1.088810
4.150000,1.111585
4.300000,1.134360
4.450000,1.156861
4.600000,1.179773
4.750000,1.202548
4.900000,1.225186
5.050000,1.247824
5.200000,1.270187
5.350000,1.292688
5.500000,1.315051
5.650000,1.337415
5.800000,1.359641
5.950000,1.381730
6.100000,1.403682
6.250000,1.425496
6.400000,1.447036
6.550000,1.468165
6.700000,1.490254
6.850000,1.512206
7.000000,1.534021
7.150000,1.556110
7.300000,1.577924
7.450000,1.599190
7.600000,1.620593
7.750000,1.641859
7.900000,1.662850
8.050000,1.683979
8.200000,1.705108
8.350000,1.725962
8.500000,1.746542
8.650000,1.766847
8.800000,1.786878
8.950000,1.806223
9.100000,1.824745
9.250000,1.843267
9.400000,1.862886
9.550000,1.882231
9.700000,1.901028
9.850000,1.919549
10.000000,1.936974
10.300000,1.972371
10.450000,1.991167
10.600000,2.009277
10.750000,2.026702
10.900000,2.043303
11.050000,2.059904
11.200000,2.076093
11.350000,2.091048
11.500000,2.103945
11.650000,2.115607
11.800000,2.126582
11.950000,2.137284
12.100000,2.147162
12.250000,2.157041
12.400000,2.166096
12.550000,2.174465
12.700000,2.183520
12.850000,2.192301
13.000000,2.200395
13.150000,2.208216
13.300000,2.214939
13.450000,2.221936
13.600000,2.227698
13.750000,2.232363
13.900000,2.236616
14.050000,2.240320
14.200000,2.243064
14.350000,2.244573
14.500000,2.245122
14.650000,2.244848
14.800000,2.243339
14.950000,2.240595
15.100000,2.236616
15.250000,2.231540
15.400000,2.224954
15.550000,2.218094
15.700000,2.209999
15.850000,2.198063
16.000000,2.188734
16.150000,2.176660
16.300000,2.162254
16.450000,2.148397
16.600000,2.133854
16.750000,2.116979
16.900000,2.098868
17.050000,2.079798
17.200000,2.061825
17.350000,2.043852
17.500000,2.023683
17.650000,2.000908
17.800000,1.979917
17.950000,1.956044
18.100000,1.930114
18.250000,1.897872
18.400000,1.847383
19.000000,1.459110
19.150000,1.463912
19.300000,1.468988
19.450000,1.473104
19.600000,1.478867
19.750000,1.483806
19.900000,1.489157
20.050000,1.494644
20.200000,1.499721
20.350000,1.502739
20.500000,1.508090
20.650000,1.514127
20.800000,1.519752
20.950000,1.524142
21.100000,1.529767
21.250000,1.535393
21.400000,1.541429
21.550000,1.547603
21.700000,1.553914
21.850000,1.560226
22.000000,1.566399
22.150000,1.572848
22.300000,1.579022
22.450000,1.585470
22.600000,1.591781
22.750000,1.598230
22.900000,1.604541
23.050000,1.610852
