alpha,ld_corrected
-5.000000,-45.374806
-4.850000,-42.117346
-4.700000,-38.768121
-4.550000,-35.421868
-4.400000,-32.184836
-4.250000,-28.809588
-4.100000,-25.307035
-3.950000,-21.702771
-3.800000,-17.986300
-3.650000,-14.195328
-3.500000,-10.341279
-3.350000,-6.376525
-3.200000,-2.363899
-3.050000,1.700427
-2.900000,5.782956
-2.750000,10.006055
-2.600000,14.268682
-2.450000,18.573507
-2.300000,22.874530
-2.150000,27.269793
-2.000000,31.687568
-1.850000,36.177304
-1.700000,40.739412
-1.550000,45.310423
-1.400000,49.956382
-1.250000,54.728503
-1.100000,60.126892
-0.950000,65.709667
-0.800000,72.750441
-0.650000,79.981653
-0.350000,99.368978
-0.200000,110.441838
-0.050000,120.377680
0.100000,127.813373
0.250000,133.649445
0.400000,139.139398
0.550000,143.889847
0.700000,147.814255
0.850000,150.493078
1.000000,151.875956
1.150000,148.440714
1.300000,138.102573
1.450000,131.685506
1.600000,129.320841
1.750000,124.387583
1.900000,120.477756
2.050000,119.325823
2.200000,119.395203
2.350000,120.014562
2.500000,119.876553
2.650000,121.029002
2.800000,123.012318
2.950000,124.808499
3.100000,126.735168
3.250000,128.644328
3.400000,130.500546
3.550000,132.323059
3.700000,133.544916
3.850000,134.735880
4.000000,136.271617
4.150000,137.402377
4.300000,138.336615
4.450000,139.213099
4.600000,140.449175
4.750000,141.476245
4.900000,142.463476
5.050000,143.263342
5.200000,144.012145
5.350000,144.757865
5.500000,145.149134
5.650000,145.687861
5.800000,146.040900
5.950000,146.369682
6.100000,146.369303
6.250000,146.354850
6.400000,145.870611
6.550000,144.932388
6.700000,145.390644
6.850000,145.684578
7.000000,145.680963
7.150000,146.250899
7.300000,146.239498
7.450000,146.044749
7.600000,145.867960
7.750000,145.425939
7.900000,145.100374
8.050000,144.796123
8.200000,144.623200
8.350000,144.070264
8.500000,143.512045
8.650000,142.948788
8.800000,142.041181
8.950000,140.781224
9.100000,138.975243
9.250000,137.557223
9.400000,136.976929
9.550000,136.393570
9.700000,135.593974
9.850000,134.894544
10.000000,134.325494
10.300000,133.178321
10.450000,132.127881
10.600000,130.812332
10.750000,129.253934
10.900000,127.387952
11.050000,125.680525
11.200000,123.945867
11.350000,122.069349
11.500000,120.156747
11.650000,118.124319
11.800000,116.016501
11.950000,113.806388
12.100000,111.367338
12.250000,108.996493
12.400000,106.337542
12.550000,103.595277
12.700000,101.135710
12.850000,98.707821
13.000000,96.171130
13.150000,93.647828
13.300000,90.925227
13.450000,88.417655
13.600000,85.713660
13.750000,82.864246
13.900000,80.108021
14.050000,77.385849
14.200000,74.594755
14.350000,71.757464
14.500000,68.889913
14.650000,66.063799
14.800000,63.246087
14.950000,60.409671
15.100000,57.585375
15.250000,54.802053
15.400000,52.045709
15.550000,49.444808
15.700000,46.861734
15.850000,44.120094
16.000000,41.809619
16.150000,39.410828
16.300000,36.993228
16.450000,34.791855
16.600000,32.702743
16.750000,30.614296
16.900000,28.598832
17.050000,26.681176
17.200000,24.970626
17.350000,23.377005
17.500000,21.792842
17.650000,20.223452
17.800000,18.843789
17.950000,17.480288
18.100000,16.162399
18.250000,14.779783
18.400000,13.100147
19.000000,5.930377
19.150000,5.881999
19.300000,5.838122
19.450000,5.780960
19.600000,5.749200
19.750000,5.706506
19.900000,5.669953
20.050000,5.634852
20.200000,5.593051
20.350000,5.516056
20.500000,5.479182
20.650000,5.451598
20.800000,5.416272
20.950000,5.354443
21.100000,5.316122
21.250000,5.276988
21.400000,5.247776
21.550000,5.222214
21.700000,5.197733
21.850000,5.178656
22.000000,5.156871
22.150000,5.137675
22.300000,5.119713
22.450000,5.104869
22.600000,5.090279
22.750000,5.076001
22.900000,5.061802
23.050000,5.051910
