alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.219600,0.006640,-0.080600,-33.072289,4000000.000000,6.000000,-0.301289,0.006640,0.006640,-45.374806,0.700000
-4.850000,-0.202300,0.006590,-0.080700,-30.698027,4000000.000000,6.000000,-0.277553,0.006590,0.006590,-42.117346,0.700000
-4.700000,-0.184800,0.006540,-0.080800,-28.256881,4000000.000000,6.000000,-0.253544,0.006540,0.006540,-38.768121,0.700000
-4.550000,-0.167300,0.006480,-0.080900,-25.817901,4000000.000000,6.000000,-0.229534,0.006480,0.006480,-35.421868,0.700000
-4.400000,-0.149900,0.006390,-0.081000,-23.458529,4000000.000000,6.000000,-0.205661,0.006390,0.006390,-32.184836,0.700000
-4.250000,-0.132500,0.006310,-0.081000,-20.998415,4000000.000000,6.000000,-0.181789,0.006310,0.006310,-28.809588,0.700000
-4.100000,-0.115100,0.006240,-0.081100,-18.445513,4000000.000000,6.000000,-0.157916,0.006240,0.006240,-25.307035,0.700000
-3.950000,-0.097600,0.006170,-0.081300,-15.818476,4000000.000000,6.000000,-0.133906,0.006170,0.006170,-21.702771,0.700000
-3.800000,-0.080100,0.006110,-0.081400,-13.109656,4000000.000000,6.000000,-0.109896,0.006110,0.006110,-17.986300,0.700000
-3.650000,-0.062700,0.006060,-0.081500,-10.346535,4000000.000000,6.000000,-0.086024,0.006060,0.006060,-14.195328,0.700000
-3.500000,-0.045300,0.006010,-0.081600,-7.537438,4000000.000000,6.000000,-0.062151,0.006010,0.006010,-10.341279,0.700000
-3.350000,-0.027700,0.005960,-0.081700,-4.647651,4000000.000000,6.000000,-0.038004,0.005960,0.005960,-6.376525,0.700000
-3.200000,-0.010200,0.005920,-0.081900,-1.722973,4000000.000000,6.000000,-0.013994,0.005920,0.005920,-2.363899,0.700000
-3.050000,0.007300,0.005890,-0.082000,1.239389,4000000.000000,6.000000,0.010016,0.005890,0.005890,1.700427,0.700000
-2.900000,0.024700,0.005860,-0.082100,4.215017,4000000.000000,6.000000,0.033888,0.005860,0.005860,5.782956,0.700000
-2.750000,0.042300,0.005800,-0.082200,7.293103,4000000.000000,6.000000,0.058035,0.005800,0.005800,10.006055,0.700000
-2.600000,0.059800,0.005750,-0.082400,10.400000,4000000.000000,6.000000,0.082045,0.005750,0.005750,14.268682,0.700000
-2.450000,0.077300,0.005710,-0.082500,13.537653,4000000.000000,6.000000,0.106055,0.005710,0.005710,18.573507,0.700000
-2.300000,0.094700,0.005680,-0.082600,16.672535,4000000.000000,6.000000,0.129927,0.005680,0.005680,22.874530,0.700000
-2.150000,0.112300,0.005650,-0.082800,19.876106,4000000.000000,6.000000,0.154074,0.005650,0.005650,27.269793,0.700000
-2.000000,0.129800,0.005620,-0.082900,23.096085,4000000.000000,6.000000,0.178084,0.005620,0.005620,31.687568,0.700000
-1.850000,0.147400,0.005590,-0.083100,26.368515,4000000.000000,6.000000,0.202231,0.005590,0.005590,36.177304,0.700000
-1.700000,0.164800,0.005550,-0.083200,29.693694,4000000.000000,6.000000,0.226104,0.005550,0.005550,40.739412,0.700000
-1.550000,0.182300,0.005520,-0.083300,33.025362,4000000.000000,6.000000,0.250114,0.005520,0.005520,45.310423,0.700000
-1.400000,0.199900,0.005490,-0.083500,36.411658,4000000.000000,6.000000,0.274261,0.005490,0.005490,49.956382,0.700000
-1.250000,0.217400,0.005450,-0.083700,39.889908,4000000.000000,6.000000,0.298270,0.005450,0.005450,54.728503,0.700000
-1.100000,0.234900,0.005360,-0.083800,43.824627,4000000.000000,6.000000,0.322280,0.005360,0.005360,60.126892,0.700000
-0.950000,0.252400,0.005270,-0.084000,47.893738,4000000.000000,6.000000,0.346290,0.005270,0.005270,65.709667,0.700000
-0.800000,0.269900,0.005090,-0.084300,53.025540,4000000.000000,6.000000,0.370300,0.005090,0.005090,72.750441,0.700000
-0.650000,0.287400,0.004930,-0.084600,58.296146,4000000.000000,6.000000,0.394310,0.004930,0.004930,79.981653,0.700000
-0.350000,0.322300,0.004450,-0.085300,72.426966,4000000.000000,6.000000,0.442192,0.004450,0.004450,99.368978,0.700000
-0.200000,0.339700,0.004220,-0.085600,80.497630,4000000.000000,6.000000,0.466065,0.004220,0.004220,110.441838,0.700000
-0.050000,0.357100,0.004070,-0.085900,87.739558,4000000.000000,6.000000,0.489937,0.004070,0.004070,120.377680,0.700000
0.100000,0.374500,0.004020,-0.086100,93.159204,4000000.000000,6.000000,0.513810,0.004020,0.004020,127.813373,0.700000
0.250000,0.391600,0.004020,-0.086200,97.412935,4000000.000000,6.000000,0.537271,0.004020,0.004020,133.649445,0.700000
0.400000,0.408700,0.004030,-0.086200,101.414392,4000000.000000,6.000000,0.560732,0.004030,0.004030,139.139398,0.700000
0.550000,0.425800,0.004060,-0.086300,104.876847,4000000.000000,6.000000,0.584193,0.004060,0.004060,143.889847,0.700000
0.700000,0.442800,0.004110,-0.086400,107.737226,4000000.000000,6.000000,0.607517,0.004110,0.004110,147.814255,0.700000
0.850000,0.459600,0.004190,-0.086400,109.689737,4000000.000000,6.000000,0.630566,0.004190,0.004190,150.493078,0.700000
1.000000,0.476000,0.004300,-0.086300,110.697674,4000000.000000,6.000000,0.653067,0.004300,0.004300,151.875956,0.700000
1.150000,0.491200,0.004540,-0.086100,108.193833,4000000.000000,6.000000,0.673921,0.004540,0.004540,148.440714,0.700000
1.300000,0.504300,0.005010,-0.085500,100.658683,4000000.000000,6.000000,0.691894,0.005010,0.005010,138.102573,0.700000
1.450000,0.518300,0.005400,-0.085100,95.981481,4000000.000000,6.000000,0.711102,0.005400,0.005400,131.685506,0.700000
1.600000,0.533500,0.005660,-0.084900,94.257951,4000000.000000,6.000000,0.731956,0.005660,0.005660,129.320841,0.700000
1.750000,0.547600,0.006040,-0.084500,90.662252,4000000.000000,6.000000,0.751301,0.006040,0.006040,124.387583,0.700000
1.900000,0.562000,0.006400,-0.084200,87.812500,4000000.000000,6.000000,0.771058,0.006400,0.006400,120.477756,0.700000
2.050000,0.577500,0.006640,-0.084000,86.972892,4000000.000000,6.000000,0.792323,0.006640,0.006640,119.325823,0.700000
2.200000,0.593500,0.006820,-0.083800,87.023460,4000000.000000,6.000000,0.814275,0.006820,0.006820,119.395203,0.700000
2.350000,0.609700,0.006970,-0.083800,87.474892,4000000.000000,6.000000,0.836501,0.006970,0.006970,120.014562,0.700000
2.500000,0.625600,0.007160,-0.083600,87.374302,4000000.000000,6.000000,0.858316,0.007160,0.007160,119.876553,0.700000
2.650000,0.642200,0.007280,-0.083600,88.214286,4000000.000000,6.000000,0.881091,0.007280,0.007280,121.029002,0.700000
2.800000,0.659000,0.007350,-0.083600,89.659864,4000000.000000,6.000000,0.904141,0.007350,0.007350,123.012318,0.700000
2.950000,0.675900,0.007430,-0.083600,90.969044,4000000.000000,6.000000,0.927327,0.007430,0.007430,124.808499,0.700000
3.100000,0.692800,0.007500,-0.083600,92.373333,4000000.000000,6.000000,0.950514,0.007500,0.007500,126.735168,0.700000
3.250000,0.709800,0.007570,-0.083600,93.764861,4000000.000000,6.000000,0.973838,0.007570,0.007570,128.644328,0.700000
3.400000,0.726700,0.007640,-0.083600,95.117801,4000000.000000,6.000000,0.997024,0.007640,0.007640,130.500546,0.700000
3.550000,0.743600,0.007710,-0.083600,96.446174,4000000.000000,6.000000,1.020211,0.007710,0.007710,132.323059,0.700000
3.700000,0.760200,0.007810,-0.083600,97.336748,4000000.000000,6.000000,1.042986,0.007810,0.007810,133.544916,0.700000
3.850000,0.776800,0.007910,-0.083600,98.204804,4000000.000000,6.000000,1.065761,0.007910,0.007910,134.735880,0.700000
4.000000,0.793600,0.007990,-0.083500,99.324155,4000000.000000,6.000000,1.088810,0.007990,0.007990,136.271617,0.700000
4.150000,0.810200,0.008090,-0.083500,100.148331,4000000.000000,6.000000,1.111585,0.008090,0.008090,137.402377,0.700000
4.300000,0.826800,0.008200,-0.083400,100.829268,4000000.000000,6.000000,1.134360,0.008200,0.008200,138.336615,0.700000
4.450000,0.843200,0.008310,-0.083300,101.468111,4000000.000000,6.000000,1.156861,0.008310,0.008310,139.213099,0.700000
4.600000,0.859900,0.008400,-0.083300,102.369048,4000000.000000,6.000000,1.179773,0.008400,0.008400,140.449175,0.700000
4.750000,0.876500,0.008500,-0.083200,103.117647,4000000.000000,6.000000,1.202548,0.008500,0.008500,141.476245,0.700000
4.900000,0.893000,0.008600,-0.083100,103.837209,4000000.000000,6.000000,1.225186,0.008600,0.008600,142.463476,0.700000
5.050000,0.909500,0.008710,-0.083000,104.420207,4000000.000000,6.000000,1.247824,0.008710,0.008710,143.263342,0.700000
5.200000,0.925800,0.008820,-0.082900,104.965986,4000000.000000,6.000000,1.270187,0.008820,0.008820,144.012145,0.700000
5.350000,0.942200,0.008930,-0.082800,105.509518,4000000.000000,6.000000,1.292688,0.008930,0.008930,144.757865,0.700000
5.500000,0.958500,0.009060,-0.082700,105.794702,4000000.000000,6.000000,1.315051,0.009060,0.009060,145.149134,0.700000
5.650000,0.974800,0.009180,-0.082500,106.187364,4000000.000000,6.000000,1.337415,0.009180,0.009180,145.687861,0.700000
5.800000,0.991000,0.009310,-0.082400,106.444683,4000000.000000,6.000000,1.359641,0.009310,0.009310,146.040900,0.700000
5.950000,1.007100,0.009440,-0.082200,106.684322,4000000.000000,6.000000,1.381730,0.009440,0.009440,146.369682,0.700000
6.100000,1.023100,0.009590,-0.082000,106.684046,4000000.000000,6.000000,1.403682,0.009590,0.009590,146.369303,0.700000
6.250000,1.039000,0.009740,-0.081800,106.673511,4000000.000000,6.000000,1.425496,0.009740,0.009740,146.354850,0.700000
6.400000,1.054700,0.009920,-0.081500,106.320565,4000000.000000,6.000000,1.447036,0.009920,0.009920,145.870611,0.700000
6.550000,1.070100,0.010130,-0.081200,105.636723,4000000.000000,6.000000,1.468165,0.010130,0.010130,144.932388,0.700000
6.700000,1.086200,0.010250,-0.081000,105.970732,4000000.000000,6.000000,1.490254,0.010250,0.010250,145.390644,0.700000
6.850000,1.102200,0.010380,-0.080800,106.184971,4000000.000000,6.000000,1.512206,0.010380,0.010380,145.684578,0.700000
7.000000,1.118100,0.010530,-0.080600,106.182336,4000000.000000,6.000000,1.534021,0.010530,0.010530,145.680963,0.700000
7.150000,1.134200,0.010640,-0.080400,106.597744,4000000.000000,6.000000,1.556110,0.010640,0.010640,146.250899,0.700000
7.300000,1.150100,0.010790,-0.080100,106.589435,4000000.000000,6.000000,1.577924,0.010790,0.010790,146.239498,0.700000
7.450000,1.165600,0.010950,-0.079800,106.447489,4000000.000000,6.000000,1.599190,0.010950,0.010950,146.044749,0.700000
7.600000,1.181200,0.011110,-0.079600,106.318632,4000000.000000,6.000000,1.620593,0.011110,0.011110,145.867960,0.700000
7.750000,1.196700,0.011290,-0.079200,105.996457,4000000.000000,6.000000,1.641859,0.011290,0.011290,145.425939,0.700000
7.900000,1.212000,0.011460,-0.078900,105.759162,4000000.000000,6.000000,1.662850,0.011460,0.011460,145.100374,0.700000
8.050000,1.227400,0.011630,-0.078600,105.537403,4000000.000000,6.000000,1.683979,0.011630,0.011630,144.796123,0.700000
8.200000,1.242800,0.011790,-0.078200,105.411366,4000000.000000,6.000000,1.705108,0.011790,0.011790,144.623200,0.700000
8.350000,1.258000,0.011980,-0.077800,105.008347,4000000.000000,6.000000,1.725962,0.011980,0.011980,144.070264,0.700000
8.500000,1.273000,0.012170,-0.077400,104.601479,4000000.000000,6.000000,1.746542,0.012170,0.012170,143.512045,0.700000
