alpha,cl_corrected
-5.000000,-0.299642
-4.850000,-0.276319
-4.700000,-0.252720
-4.550000,-0.229259
-4.400000,-0.205524
-4.250000,-0.181789
-4.100000,-0.158053
-3.950000,-0.134455
-3.800000,-0.110582
-3.650000,-0.086847
-3.500000,-0.062974
-3.350000,-0.039376
-3.200000,-0.015503
-3.050000,0.008369
-2.900000,0.032242
-2.750000,0.055977
-2.600000,0.079850
-2.450000,0.103860
-2.300000,0.127732
-2.150000,0.151605
-2.000000,0.175340
-1.850000,0.199350
-1.700000,0.223360
-1.550000,0.247095
-1.400000,0.270968
-1.250000,0.294840
-1.100000,0.318713
-0.950000,0.342586
-0.800000,0.366184
-0.650000,0.390056
-0.500000,0.414066
-0.350000,0.438076
-0.200000,0.462086
-0.050000,0.485958
0.100000,0.509968
0.250000,0.533704
0.400000,0.557439
0.550000,0.580763
0.700000,0.604361
0.850000,0.628096
1.000000,0.651695
1.150000,0.675156
1.300000,0.698205
1.450000,0.720843
1.600000,0.742520
1.750000,0.761728
1.900000,0.779976
2.050000,0.796439
2.200000,0.813589
2.350000,0.832934
2.500000,0.853651
2.650000,0.874094
2.800000,0.895223
2.950000,0.916763
3.100000,0.939126
3.250000,0.961901
3.400000,0.984539
3.550000,1.007451
3.700000,1.030363
3.850000,1.053139
4.000000,1.075914
4.150000,1.098140
4.300000,1.120503
4.450000,1.143004
4.600000,1.165504
4.750000,1.187593
4.900000,1.209682
5.050000,1.231497
5.200000,1.253449
5.350000,1.275401
5.500000,1.297490
5.650000,1.319167
5.800000,1.340845
5.950000,1.362522
6.100000,1.383925
6.250000,1.405191
6.550000,1.447311
6.700000,1.468302
6.850000,1.489157
7.000000,1.509599
7.300000,1.548975
7.450000,1.567085
7.600000,1.584784
7.900000,1.623337
8.050000,1.642408
8.200000,1.661204
8.350000,1.679177
8.500000,1.696876
8.650000,1.714163
8.800000,1.731038
8.950000,1.750658
9.100000,1.769591
9.250000,1.788524
9.400000,1.807595
9.550000,1.826391
9.700000,1.844776
9.850000,1.862337
10.000000,1.878115
10.150000,1.892658
10.300000,1.909397
10.450000,1.924489
10.600000,1.938483
10.750000,1.952203
10.900000,1.965099
11.050000,1.978819
11.200000,1.991304
11.350000,2.006259
11.500000,2.019979
11.650000,2.031915
11.800000,2.042342
11.950000,2.051260
12.100000,2.060590
12.250000,2.068822
12.400000,2.077191
12.550000,2.084462
12.700000,2.092008
12.850000,2.098182
13.000000,2.103670
13.150000,2.109433
13.300000,2.111902
13.450000,2.116704
13.600000,2.119037
13.750000,2.120546
13.900000,2.120409
14.050000,2.120271
14.200000,2.117253
14.350000,2.112588
14.500000,2.106140
14.650000,2.098594
14.800000,2.089127
14.950000,2.076093
15.100000,2.064431
15.250000,2.048791
15.400000,2.031915
15.550000,2.016961
15.700000,2.001183
15.850000,1.980603
16.000000,1.964002
16.150000,1.945068
16.300000,1.925998
16.450000,1.906927
16.600000,1.888268
16.750000,1.868237
16.900000,1.847383
17.050000,1.823510
17.200000,1.796345
