alpha,ld_corrected
-5.000000,-38.914588
-4.850000,-36.891658
-4.700000,-34.197607
-4.550000,-31.319578
-4.400000,-28.387280
-4.250000,-25.389455
-4.100000,-22.323884
-3.950000,-19.153118
-3.800000,-15.888260
-3.650000,-12.604773
-3.500000,-9.220246
-3.350000,-5.842148
-3.200000,-2.334860
-3.050000,1.273840
-2.900000,4.952647
-2.750000,8.665192
-2.600000,12.437654
-2.450000,16.278925
-2.300000,20.147026
-2.150000,24.102504
-2.000000,28.054425
-1.850000,32.153219
-1.700000,36.200933
-1.550000,40.375026
-1.400000,45.011257
-1.250000,50.400063
-1.100000,56.811581
-0.950000,64.395785
-0.800000,73.090575
-0.650000,84.979604
-0.500000,93.258150
-0.350000,100.246221
-0.200000,106.226618
-0.050000,112.230575
0.100000,118.873705
0.250000,124.117116
0.400000,129.036806
0.550000,132.594249
0.700000,136.733261
0.850000,141.145263
1.000000,145.143569
1.150000,148.712694
1.300000,151.454455
1.450000,152.720943
1.600000,151.844637
1.750000,145.367961
1.900000,137.561828
2.050000,127.430309
2.200000,119.821692
2.350000,116.169362
2.500000,114.892511
2.650000,113.224610
2.800000,112.465153
2.950000,112.348387
3.100000,113.421045
3.250000,114.785354
3.400000,115.964556
3.550000,117.418565
3.700000,118.979619
3.850000,120.496397
4.000000,121.572150
4.150000,122.423605
4.300000,123.132215
4.450000,124.239540
4.600000,125.188441
4.750000,125.804386
4.900000,126.271651
5.050000,126.307389
5.200000,126.867293
5.350000,127.412655
5.500000,127.831497
5.650000,128.074477
5.800000,128.310482
5.950000,128.418658
6.100000,128.498141
6.250000,128.327928
6.550000,127.967362
6.700000,127.789581
6.850000,127.605528
7.000000,127.177687
7.300000,125.119162
7.450000,122.908664
7.600000,120.975887
7.900000,119.891950
8.050000,119.274339
8.200000,118.742237
8.350000,117.919729
8.500000,117.106667
8.650000,116.927876
8.800000,116.489779
8.950000,116.014417
9.100000,115.132791
9.250000,114.355783
9.400000,113.685226
9.550000,113.019266
9.700000,112.144437
9.850000,110.985544
10.000000,109.002629
10.150000,106.809164
10.300000,105.783748
10.450000,104.591768
10.600000,103.330640
10.750000,102.156080
10.900000,100.774328
11.050000,99.738875
11.200000,98.336018
11.350000,97.723285
11.500000,96.742286
11.650000,95.171674
11.800000,93.215078
11.950000,90.844122
12.100000,88.742024
12.250000,86.380866
12.400000,84.233206
12.550000,81.839906
12.700000,79.695556
12.850000,77.309591
13.000000,74.890361
13.150000,72.663886
13.300000,69.907388
13.450000,67.734532
13.600000,65.261365
13.750000,62.793773
13.900000,60.238878
14.050000,57.820325
14.200000,55.194289
14.350000,52.525812
14.500000,49.814092
14.650000,47.223085
14.800000,44.601349
14.950000,41.839848
15.100000,39.442709
15.250000,36.895204
15.400000,34.450920
15.550000,32.323086
15.700000,30.311764
15.850000,28.141558
16.000000,26.355365
16.150000,24.574458
16.300000,22.914904
16.450000,21.373314
16.600000,19.941578
16.750000,18.552502
16.900000,17.234656
17.050000,15.910568
17.200000,14.593751
