alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.218400,0.007700,-0.080500,-28.363636,2200000.000000,6.000000,-0.299642,0.007700,0.007700,-38.914588,0.700000
-4.850000,-0.201400,0.007490,-0.080500,-26.889186,2200000.000000,6.000000,-0.276319,0.007490,0.007490,-36.891658,0.700000
-4.700000,-0.184200,0.007390,-0.080600,-24.925575,2200000.000000,6.000000,-0.252720,0.007390,0.007390,-34.197607,0.700000
-4.550000,-0.167100,0.007320,-0.080600,-22.827869,2200000.000000,6.000000,-0.229259,0.007320,0.007320,-31.319578,0.700000
-4.400000,-0.149800,0.007240,-0.080700,-20.690608,2200000.000000,6.000000,-0.205524,0.007240,0.007240,-28.387280,0.700000
-4.250000,-0.132500,0.007160,-0.080800,-18.505587,2200000.000000,6.000000,-0.181789,0.007160,0.007160,-25.389455,0.700000
-4.100000,-0.115200,0.007080,-0.080900,-16.271186,2200000.000000,6.000000,-0.158053,0.007080,0.007080,-22.323884,0.700000
-3.950000,-0.098000,0.007020,-0.080900,-13.960114,2200000.000000,6.000000,-0.134455,0.007020,0.007020,-19.153118,0.700000
-3.800000,-0.080600,0.006960,-0.081000,-11.580460,2200000.000000,6.000000,-0.110582,0.006960,0.006960,-15.888260,0.700000
-3.650000,-0.063300,0.006890,-0.081100,-9.187228,2200000.000000,6.000000,-0.086847,0.006890,0.006890,-12.604773,0.700000
-3.500000,-0.045900,0.006830,-0.081200,-6.720351,2200000.000000,6.000000,-0.062974,0.006830,0.006830,-9.220246,0.700000
-3.350000,-0.028700,0.006740,-0.081300,-4.258160,2200000.000000,6.000000,-0.039376,0.006740,0.006740,-5.842148,0.700000
-3.200000,-0.011300,0.006640,-0.081400,-1.701807,2200000.000000,6.000000,-0.015503,0.006640,0.006640,-2.334860,0.700000
-3.050000,0.006100,0.006570,-0.081500,0.928463,2200000.000000,6.000000,0.008369,0.006570,0.006570,1.273840,0.700000
-2.900000,0.023500,0.006510,-0.081600,3.609831,2200000.000000,6.000000,0.032242,0.006510,0.006510,4.952647,0.700000
-2.750000,0.040800,0.006460,-0.081700,6.315789,2200000.000000,6.000000,0.055977,0.006460,0.006460,8.665192,0.700000
-2.600000,0.058200,0.006420,-0.081800,9.065421,2200000.000000,6.000000,0.079850,0.006420,0.006420,12.437654,0.700000
-2.450000,0.075700,0.006380,-0.082000,11.865204,2200000.000000,6.000000,0.103860,0.006380,0.006380,16.278925,0.700000
-2.300000,0.093100,0.006340,-0.082100,14.684543,2200000.000000,6.000000,0.127732,0.006340,0.006340,20.147026,0.700000
-2.150000,0.110500,0.006290,-0.082200,17.567568,2200000.000000,6.000000,0.151605,0.006290,0.006290,24.102504,0.700000
-2.000000,0.127800,0.006250,-0.082300,20.448000,2200000.000000,6.000000,0.175340,0.006250,0.006250,28.054425,0.700000
-1.850000,0.145300,0.006200,-0.082500,23.435484,2200000.000000,6.000000,0.199350,0.006200,0.006200,32.153219,0.700000
-1.700000,0.162800,0.006170,-0.082600,26.385737,2200000.000000,6.000000,0.223360,0.006170,0.006170,36.200933,0.700000
-1.550000,0.180100,0.006120,-0.082700,29.428105,2200000.000000,6.000000,0.247095,0.006120,0.006120,40.375026,0.700000
-1.400000,0.197500,0.006020,-0.082900,32.807309,2200000.000000,6.000000,0.270968,0.006020,0.006020,45.011257,0.700000
-1.250000,0.214900,0.005850,-0.083100,36.735043,2200000.000000,6.000000,0.294840,0.005850,0.005850,50.400063,0.700000
-1.100000,0.232300,0.005610,-0.083400,41.408200,2200000.000000,6.000000,0.318713,0.005610,0.005610,56.811581,0.700000
-0.950000,0.249700,0.005320,-0.083800,46.936090,2200000.000000,6.000000,0.342586,0.005320,0.005320,64.395785,0.700000
-0.800000,0.266900,0.005010,-0.084200,53.273453,2200000.000000,6.000000,0.366184,0.005010,0.005010,73.090575,0.700000
-0.650000,0.284300,0.004590,-0.084700,61.938998,2200000.000000,6.000000,0.390056,0.004590,0.004590,84.979604,0.700000
-0.500000,0.301800,0.004440,-0.084900,67.972973,2200000.000000,6.000000,0.414066,0.004440,0.004440,93.258150,0.700000
-0.350000,0.319300,0.004370,-0.085100,73.066362,2200000.000000,6.000000,0.438076,0.004370,0.004370,100.246221,0.700000
-0.200000,0.336800,0.004350,-0.085200,77.425287,2200000.000000,6.000000,0.462086,0.004350,0.004350,106.226618,0.700000
-0.050000,0.354200,0.004330,-0.085400,81.801386,2200000.000000,6.000000,0.485958,0.004330,0.004330,112.230575,0.700000
0.100000,0.371700,0.004290,-0.085500,86.643357,2200000.000000,6.000000,0.509968,0.004290,0.004290,118.873705,0.700000
0.250000,0.389000,0.004300,-0.085600,90.465116,2200000.000000,6.000000,0.533704,0.004300,0.004300,124.117116,0.700000
0.400000,0.406300,0.004320,-0.085700,94.050926,2200000.000000,6.000000,0.557439,0.004320,0.004320,129.036806,0.700000
0.550000,0.423300,0.004380,-0.085700,96.643836,2200000.000000,6.000000,0.580763,0.004380,0.004380,132.594249,0.700000
0.700000,0.440500,0.004420,-0.085800,99.660633,2200000.000000,6.000000,0.604361,0.004420,0.004420,136.733261,0.700000
0.850000,0.457800,0.004450,-0.085900,102.876404,2200000.000000,6.000000,0.628096,0.004450,0.004450,141.145263,0.700000
1.000000,0.475000,0.004490,-0.085900,105.790646,2200000.000000,6.000000,0.651695,0.004490,0.004490,145.143569,0.700000
