alpha,cl_corrected
-5.000000,-0.301563
-4.850000,-0.277553
-4.700000,-0.253544
-4.550000,-0.229534
-4.400000,-0.205387
-4.250000,-0.181377
-4.100000,-0.157367
-3.950000,-0.133220
-3.800000,-0.109073
-3.650000,-0.085063
-3.500000,-0.061053
-3.350000,-0.037044
-3.200000,-0.012897
-3.050000,0.011250
-2.900000,0.035260
-2.750000,0.059270
-2.600000,0.083554
-2.450000,0.107701
-2.300000,0.131711
-2.150000,0.155721
-2.000000,0.179868
-1.850000,0.204015
-1.700000,0.228162
-1.550000,0.252309
-1.400000,0.276181
-1.250000,0.300328
-1.100000,0.324201
-0.950000,0.348074
-0.800000,0.371946
-0.650000,0.395819
-0.500000,0.419966
-0.350000,0.443976
-0.200000,0.467848
-0.050000,0.491309
0.100000,0.514496
0.400000,0.560732
0.550000,0.583232
0.700000,0.604773
0.850000,0.624941
1.150000,0.665415
1.450000,0.708495
1.600000,0.729075
1.750000,0.751027
1.900000,0.773253
2.050000,0.795753
2.200000,0.817980
2.350000,0.841166
2.500000,0.864490
2.650000,0.887814
2.800000,0.911275
2.950000,0.934736
3.100000,0.958197
3.250000,0.981521
3.400000,1.004570
3.550000,1.027620
3.700000,1.050806
3.850000,1.073856
4.000000,1.096768
4.150000,1.119817
4.300000,1.142867
4.450000,1.165779
4.600000,1.188691
4.750000,1.211466
4.900000,1.234378
5.050000,1.257153
5.200000,1.279791
5.350000,1.302566
5.500000,1.325067
5.650000,1.347567
5.800000,1.370068
5.950000,1.392706
6.100000,1.415206
6.250000,1.437707
6.400000,1.460208
6.550000,1.482708
6.700000,1.505072
6.850000,1.527435
7.000000,1.549798
7.150000,1.572025
7.300000,1.594114
7.450000,1.615928
7.600000,1.637880
7.750000,1.659695
7.900000,1.681235
8.050000,1.702501
8.200000,1.723767
8.350000,1.744484
8.500000,1.765063
8.650000,1.786329
8.800000,1.807595
8.950000,1.828587
9.100000,1.849441
9.250000,1.870432
9.400000,1.891149
9.700000,1.932172
9.850000,1.952340
10.000000,1.971822
10.150000,1.990893
10.300000,2.009689
10.450000,2.028348
10.600000,2.046596
10.750000,2.064157
10.900000,2.081170
11.050000,2.094752
11.200000,2.110942
11.350000,2.127406
11.500000,2.143458
11.650000,2.159373
11.800000,2.175151
11.950000,2.189145
12.100000,2.200807
12.250000,2.211783
12.400000,2.221936
12.550000,2.232088
12.700000,2.241555
12.850000,2.250747
13.000000,2.259940
13.150000,2.268309
13.300000,2.276815
13.450000,2.283538
13.600000,2.290810
13.750000,2.296709
13.900000,2.303157
14.050000,2.306725
14.200000,2.311115
14.350000,2.314819
14.500000,2.315231
14.650000,2.319621
14.800000,2.319072
14.950000,2.316603
15.100000,2.316328
15.250000,2.313036
15.400000,2.308097
15.550000,2.303706
15.700000,2.297258
15.850000,2.288066
16.000000,2.282989
16.150000,2.275855
16.300000,2.262821
16.450000,2.253629
16.600000,2.242515
16.750000,2.229619
16.900000,2.212743
17.050000,2.195593
17.200000,2.180776
17.350000,2.167056
17.500000,2.149495
17.650000,2.126308
17.800000,2.111491
17.950000,2.089813
18.100000,2.067450
18.250000,2.045772
18.400000,2.020939
18.550000,1.991167
18.700000,1.962081
18.850000,1.922705
19.000000,1.881820
19.600000,1.506992
19.750000,1.510697
19.900000,1.514538
20.050000,1.518380
20.350000,1.520849
20.500000,1.525377
20.650000,1.530042
20.800000,1.534295
20.950000,1.539097
21.100000,1.539234
21.250000,1.544996
21.400000,1.550759
21.550000,1.556384
21.700000,1.562284
21.850000,1.567634
22.000000,1.570790
22.150000,1.576552
22.300000,1.582589
22.450000,1.588763
22.600000,1.594937
22.750000,1.601248
22.900000,1.607422
23.050000,1.613596
