alpha,ld_corrected
-5.000000,-49.517752
-4.850000,-45.952535
-4.700000,-42.327798
-4.550000,-38.642038
-4.400000,-34.870408
-4.250000,-31.057689
-4.100000,-27.085560
-3.950000,-23.168713
-3.800000,-19.203011
-3.650000,-15.108934
-3.500000,-10.941487
-3.350000,-6.686587
-3.200000,-2.349125
-3.050000,2.064277
-2.900000,6.505555
-2.750000,10.975909
-2.600000,15.588453
-2.450000,20.244570
-2.300000,24.945249
-2.150000,29.604699
-2.000000,34.391533
-1.850000,39.233599
-1.700000,44.046664
-1.550000,48.991984
-1.400000,53.731775
-1.250000,58.772666
-1.100000,63.693698
-0.950000,68.789235
-0.800000,74.538303
-0.650000,80.779334
-0.500000,87.492862
-0.350000,95.273720
-0.200000,104.197804
-0.050000,111.407970
0.100000,120.209289
0.400000,136.431089
0.550000,139.863882
0.700000,139.993660
0.850000,134.976424
1.150000,127.230308
1.450000,125.397337
1.600000,122.739863
1.750000,122.716765
1.900000,122.933676
2.050000,123.756366
2.200000,124.124378
2.350000,126.111883
2.500000,128.072603
2.650000,130.369145
2.800000,132.645543
2.950000,135.077441
3.100000,137.277492
3.250000,139.420554
3.400000,141.091308
3.550000,142.329574
3.700000,144.143502
3.850000,145.706315
4.000000,146.822992
4.150000,148.123963
4.300000,149.589865
4.450000,150.812262
4.600000,152.006521
4.750000,152.962879
4.900000,153.912496
5.050000,155.012729
5.200000,155.692341
5.350000,156.558420
5.500000,156.998420
5.650000,157.610208
5.800000,158.023979
5.950000,158.622518
6.100000,159.190813
6.250000,159.745215
6.400000,160.286230
6.550000,160.814335
6.700000,161.315282
6.850000,161.804555
7.000000,162.112805
7.150000,162.399239
7.300000,162.498843
7.450000,162.241794
7.600000,162.166345
7.750000,162.079561
7.900000,161.657205
8.050000,160.916896
8.200000,160.201355
8.350000,159.023118
8.500000,157.735785
8.650000,157.385838
8.800000,156.909296
8.950000,156.289446
9.100000,155.676830
9.250000,155.222587
9.400000,154.631987
9.700000,153.225350
9.850000,152.407486
10.000000,151.329404
10.150000,149.916625
10.300000,148.426072
10.450000,147.088330
10.600000,145.561559
10.750000,143.944001
10.900000,142.253563
11.050000,140.587404
11.200000,138.786442
11.350000,136.547218
11.500000,134.217778
11.650000,132.152569
11.800000,130.170608
11.950000,128.245175
12.100000,126.120747
12.250000,124.048399
12.400000,121.749900
12.550000,119.363015
12.700000,116.808500
12.850000,114.251139
13.000000,111.657103
13.150000,108.896250
13.300000,106.293894
13.450000,103.140829
13.600000,100.342072
13.750000,97.235777
13.900000,94.430398
14.050000,91.030962
14.200000,87.975445
14.350000,84.978682
14.500000,81.378942
14.650000,78.818256
14.800000,75.416991
14.950000,71.899531
15.100000,68.979407
15.250000,65.767294
15.400000,62.499230
15.550000,59.542678
15.700000,56.499209
15.850000,53.384637
16.000000,50.925478
16.150000,48.391555
16.300000,45.456427
16.450000,43.098654
16.600000,40.699011
16.750000,38.322771
16.900000,35.822298
17.050000,33.510279
17.200000,31.500448
17.350000,29.693836
17.500000,27.799983
17.650000,25.764062
17.800000,24.283963
17.950000,22.597461
18.100000,21.012804
18.250000,19.578642
18.400000,18.159218
18.550000,16.701620
18.700000,15.410627
18.850000,13.982292
19.000000,12.710704
19.600000,6.117282
19.750000,6.058539
19.900000,6.001261
20.050000,5.947201
20.350000,5.761230
20.500000,5.716877
20.650000,5.671232
20.800000,5.620952
20.950000,5.579875
21.100000,5.459632
21.250000,5.432859
21.400000,5.408429
21.550000,5.377968
21.700000,5.353036
21.850000,5.319605
22.000000,5.226211
22.150000,5.191663
22.300000,5.167469
22.450000,5.149794
22.600000,5.131880
22.750000,5.114501
22.900000,5.097748
23.050000,5.086357
