alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.219800,0.006090,-0.080800,-36.091954,6200000.000000,6.000000,-0.301563,0.006090,0.006090,-49.517752,0.700000
-4.850000,-0.202300,0.006040,-0.080900,-33.493377,6200000.000000,6.000000,-0.277553,0.006040,0.006040,-45.952535,0.700000
-4.700000,-0.184800,0.005990,-0.081000,-30.851419,6200000.000000,6.000000,-0.253544,0.005990,0.005990,-42.327798,0.700000
-4.550000,-0.167300,0.005940,-0.081100,-28.164983,6200000.000000,6.000000,-0.229534,0.005940,0.005940,-38.642038,0.700000
-4.400000,-0.149700,0.005890,-0.081200,-25.415959,6200000.000000,6.000000,-0.205387,0.005890,0.005890,-34.870408,0.700000
-4.250000,-0.132200,0.005840,-0.081300,-22.636986,6200000.000000,6.000000,-0.181377,0.005840,0.005840,-31.057689,0.700000
-4.100000,-0.114700,0.005810,-0.081400,-19.741824,6200000.000000,6.000000,-0.157367,0.005810,0.005810,-27.085560,0.700000
-3.950000,-0.097100,0.005750,-0.081500,-16.886957,6200000.000000,6.000000,-0.133220,0.005750,0.005750,-23.168713,0.700000
-3.800000,-0.079500,0.005680,-0.081700,-13.996479,6200000.000000,6.000000,-0.109073,0.005680,0.005680,-19.203011,0.700000
-3.650000,-0.062000,0.005630,-0.081800,-11.012433,6200000.000000,6.000000,-0.085063,0.005630,0.005630,-15.108934,0.700000
-3.500000,-0.044500,0.005580,-0.081900,-7.974910,6200000.000000,6.000000,-0.061053,0.005580,0.005580,-10.941487,0.700000
-3.350000,-0.027000,0.005540,-0.082000,-4.873646,6200000.000000,6.000000,-0.037044,0.005540,0.005540,-6.686587,0.700000
-3.200000,-0.009400,0.005490,-0.082200,-1.712204,6200000.000000,6.000000,-0.012897,0.005490,0.005490,-2.349125,0.700000
-3.050000,0.008200,0.005450,-0.082300,1.504587,6200000.000000,6.000000,0.011250,0.005450,0.005450,2.064277,0.700000
-2.900000,0.025700,0.005420,-0.082500,4.741697,6200000.000000,6.000000,0.035260,0.005420,0.005420,6.505555,0.700000
-2.750000,0.043200,0.005400,-0.082600,8.000000,6200000.000000,6.000000,0.059270,0.005400,0.005400,10.975909,0.700000
-2.600000,0.060900,0.005360,-0.082800,11.361940,6200000.000000,6.000000,0.083554,0.005360,0.005360,15.588453,0.700000
-2.450000,0.078500,0.005320,-0.082900,14.755639,6200000.000000,6.000000,0.107701,0.005320,0.005320,20.244570,0.700000
-2.300000,0.096000,0.005280,-0.083100,18.181818,6200000.000000,6.000000,0.131711,0.005280,0.005280,24.945249,0.700000
-2.150000,0.113500,0.005260,-0.083200,21.577947,6200000.000000,6.000000,0.155721,0.005260,0.005260,29.604699,0.700000
-2.000000,0.131100,0.005230,-0.083300,25.066922,6200000.000000,6.000000,0.179868,0.005230,0.005230,34.391533,0.700000
-1.850000,0.148700,0.005200,-0.083500,28.596154,6200000.000000,6.000000,0.204015,0.005200,0.005200,39.233599,0.700000
-1.700000,0.166300,0.005180,-0.083700,32.104247,6200000.000000,6.000000,0.228162,0.005180,0.005180,44.046664,0.700000
-1.550000,0.183900,0.005150,-0.083800,35.708738,6200000.000000,6.000000,0.252309,0.005150,0.005150,48.991984,0.700000
-1.400000,0.201300,0.005140,-0.083900,39.163424,6200000.000000,6.000000,0.276181,0.005140,0.005140,53.731775,0.700000
-1.250000,0.218900,0.005110,-0.084100,42.837573,6200000.000000,6.000000,0.300328,0.005110,0.005110,58.772666,0.700000
-1.100000,0.236300,0.005090,-0.084200,46.424361,6200000.000000,6.000000,0.324201,0.005090,0.005090,63.693698,0.700000
-0.950000,0.253700,0.005060,-0.084400,50.138340,6200000.000000,6.000000,0.348074,0.005060,0.005060,68.789235,0.700000
-0.800000,0.271100,0.004990,-0.084600,54.328657,6200000.000000,6.000000,0.371946,0.004990,0.004990,74.538303,0.700000
-0.650000,0.288500,0.004900,-0.084700,58.877551,6200000.000000,6.000000,0.395819,0.004900,0.004900,80.779334,0.700000
-0.500000,0.306100,0.004800,-0.085000,63.770833,6200000.000000,6.000000,0.419966,0.004800,0.004800,87.492862,0.700000
-0.350000,0.323600,0.004660,-0.085200,69.442060,6200000.000000,6.000000,0.443976,0.004660,0.004660,95.273720,0.700000
-0.200000,0.341000,0.004490,-0.085500,75.946548,6200000.000000,6.000000,0.467848,0.004490,0.004490,104.197804,0.700000
-0.050000,0.358100,0.004410,-0.085700,81.201814,6200000.000000,6.000000,0.491309,0.004410,0.004410,111.407970,0.700000
0.100000,0.375000,0.004280,-0.085900,87.616822,6200000.000000,6.000000,0.514496,0.004280,0.004280,120.209289,0.700000
0.400000,0.408700,0.004110,-0.086300,99.440389,6200000.000000,6.000000,0.560732,0.004110,0.004110,136.431089,0.700000
0.550000,0.425100,0.004170,-0.086300,101.942446,6200000.000000,6.000000,0.583232,0.004170,0.004170,139.863882,0.700000
0.700000,0.440800,0.004320,-0.086200,102.037037,6200000.000000,6.000000,0.604773,0.004320,0.004320,139.993660,0.700000
0.850000,0.455500,0.004630,-0.085900,98.380130,6200000.000000,6.000000,0.624941,0.004630,0.004630,134.976424,0.700000
1.150000,0.485000,0.005230,-0.085300,92.734226,6200000.000000,6.000000,0.665415,0.005230,0.005230,127.230308,0.700000
1.450000,0.516400,0.005650,-0.085000,91.398230,6200000.000000,6.000000,0.708495,0.005650,0.005650,125.397337,0.700000
1.600000,0.531400,0.005940,-0.084800,89.461279,6200000.000000,6.000000,0.729075,0.005940,0.005940,122.739863,0.700000
1.750000,0.547400,0.006120,-0.084600,89.444444,6200000.000000,6.000000,0.751027,0.006120,0.006120,122.716765,0.700000
1.900000,0.563600,0.006290,-0.084600,89.602544,6200000.000000,6.000000,0.773253,0.006290,0.006290,122.933676,0.700000
2.050000,0.580000,0.006430,-0.084500,90.202177,6200000.000000,6.000000,0.795753,0.006430,0.006430,123.756366,0.700000
2.200000,0.596200,0.006590,-0.084400,90.470410,6200000.000000,6.000000,0.817980,0.006590,0.006590,124.124378,0.700000
2.350000,0.613100,0.006670,-0.084400,91.919040,6200000.000000,6.000000,0.841166,0.006670,0.006670,126.111883,0.700000
2.500000,0.630100,0.006750,-0.084400,93.348148,6200000.000000,6.000000,0.864490,0.006750,0.006750,128.072603,0.700000
2.650000,0.647100,0.006810,-0.084500,95.022026,6200000.000000,6.000000,0.887814,0.006810,0.006810,130.369145,0.700000
2.800000,0.664200,0.006870,-0.084500,96.681223,6200000.000000,6.000000,0.911275,0.006870,0.006870,132.645543,0.700000
2.950000,0.681300,0.006920,-0.084600,98.453757,6200000.000000,6.000000,0.934736,0.006920,0.006920,135.077441,0.700000
3.100000,0.698400,0.006980,-0.084600,100.057307,6200000.000000,6.000000,0.958197,0.006980,0.006980,137.277492,0.700000
3.250000,0.715400,0.007040,-0.084700,101.619318,6200000.000000,6.000000,0.981521,0.007040,0.007040,139.420554,0.700000
3.400000,0.732200,0.007120,-0.084700,102.837079,6200000.000000,6.000000,1.004570,0.007120,0.007120,141.091308,0.700000
3.550000,0.749000,0.007220,-0.084600,103.739612,6200000.000000,6.000000,1.027620,0.007220,0.007220,142.329574,0.700000
3.700000,0.765900,0.007290,-0.084700,105.061728,6200000.000000,6.000000,1.050806,0.007290,0.007290,144.143502,0.700000
3.850000,0.782700,0.007370,-0.084700,106.200814,6200000.000000,6.000000,1.073856,0.007370,0.007370,145.706315,0.700000
4.000000,0.799400,0.007470,-0.084600,107.014726,6200000.000000,6.000000,1.096768,0.007470,0.007470,146.822992,0.700000
4.150000,0.816200,0.007560,-0.084600,107.962963,6200000.000000,6.000000,1.119817,0.007560,0.007560,148.123963,0.700000
