alpha,cl_corrected
-5.000000,-0.405658
-4.850000,-0.373666
-4.700000,-0.341861
-4.550000,-0.309498
-4.400000,-0.277320
-4.250000,-0.245143
-4.100000,-0.212780
-3.950000,-0.180230
-3.800000,-0.147867
-3.650000,-0.115690
-3.500000,-0.083326
-3.350000,-0.050591
-3.200000,-0.018228
-3.050000,0.013950
-2.900000,0.046499
-2.750000,0.079048
-2.600000,0.111598
-2.450000,0.143961
-2.300000,0.176324
-2.150000,0.209060
-2.000000,0.241609
-1.850000,0.273972
-1.700000,0.306336
-1.550000,0.339071
-1.400000,0.371620
-1.250000,0.403798
-1.100000,0.436161
-0.950000,0.468896
-0.800000,0.501446
-0.650000,0.533995
-0.500000,0.566172
-0.350000,0.598908
-0.200000,0.631271
-0.050000,0.663449
0.100000,0.696184
0.250000,0.727989
0.400000,0.759981
0.700000,0.824521
0.850000,0.856327
1.000000,0.888132
1.150000,0.919565
1.300000,0.950069
1.450000,0.979084
1.600000,1.005868
1.750000,1.031349
1.900000,1.055343
2.050000,1.079336
2.350000,1.135879
2.500000,1.163964
2.650000,1.192794
2.800000,1.221995
2.950000,1.252499
3.100000,1.283560
3.250000,1.314621
3.400000,1.345683
3.550000,1.377116
3.700000,1.408363
3.850000,1.439425
4.000000,1.470114
4.150000,1.500804
4.300000,1.531679
4.450000,1.562368
4.600000,1.592686
4.750000,1.622817
4.900000,1.653320
5.050000,1.683824
5.200000,1.714141
5.500000,1.774590
5.650000,1.804535
5.950000,1.864240
6.100000,1.893814
6.250000,1.923387
6.400000,1.952588
6.550000,1.981790
6.700000,2.010619
6.850000,2.038705
7.000000,2.065860
7.150000,2.090970
7.300000,2.120171
7.450000,2.148442
7.600000,2.176714
7.900000,2.231769
8.050000,2.259110
8.200000,2.286452
8.350000,2.313421
8.500000,2.340204
8.650000,2.366430
8.800000,2.391911
8.950000,2.415905
9.100000,2.438038
9.250000,2.465380
9.400000,2.492349
9.550000,2.518389
9.700000,2.541638
9.850000,2.562842
10.000000,2.589439
10.150000,2.615107
10.300000,2.640216
10.450000,2.665698
10.600000,2.690435
10.750000,2.714615
10.900000,2.737306
11.050000,2.759440
11.200000,2.778412
11.350000,2.795337
11.500000,2.809659
11.650000,2.825097
11.800000,2.839790
11.950000,2.854298
12.100000,2.868620
12.250000,2.881639
12.400000,2.895403
12.550000,2.907307
12.700000,2.919955
12.850000,2.930742
13.000000,2.940228
13.150000,2.948598
13.300000,2.955666
13.450000,2.961246
13.600000,2.964594
13.750000,2.963106
13.900000,2.962362
14.050000,2.966268
14.200000,2.966454
14.350000,2.964594
14.500000,2.962734
14.650000,2.955666
14.800000,2.949900
14.950000,2.942646
15.100000,2.930556
15.250000,2.917537
15.400000,2.903959
15.550000,2.888335
15.700000,2.872340
15.850000,2.849462
16.000000,2.833652
16.150000,2.812635
16.300000,2.787711
16.450000,2.765578
16.600000,2.740096
16.750000,2.714987
16.900000,2.688203
17.050000,2.657514
17.200000,2.630173
17.350000,2.600971
17.500000,2.566190
17.650000,2.524899
17.800000,2.466496
18.100000,1.949054
18.250000,1.952588
18.400000,1.935291
18.550000,1.941057
18.700000,1.947380
18.850000,1.952402
19.000000,1.958354
19.150000,1.965608
19.300000,1.973606
19.450000,1.981232
19.600000,1.989788
19.750000,1.997785
19.900000,2.006155
20.050000,2.014339
20.200000,2.022151
20.350000,2.030149
20.500000,2.038147
20.650000,2.045586
20.800000,2.052282
20.950000,2.060838
21.100000,2.069394
21.250000,2.077764
21.400000,2.086320
21.550000,2.094689
21.700000,2.103617
21.850000,2.111243
22.000000,2.120171
22.150000,2.129099
22.300000,2.137655
22.450000,2.146768
22.600000,2.155510
22.750000,2.164624
22.900000,2.173366
23.050000,2.182108
