alpha,ld_corrected
-5.000000,-57.786006
-4.850000,-53.610676
-4.700000,-50.347725
-4.550000,-46.331993
-4.400000,-41.891294
-4.250000,-37.369363
-4.100000,-32.785775
-3.950000,-28.073262
-3.800000,-23.249528
-3.650000,-18.305324
-3.500000,-13.310912
-3.350000,-8.146694
-3.200000,-2.959031
-3.050000,2.294361
-2.900000,7.724096
-2.750000,13.263153
-2.600000,18.882865
-2.450000,24.441609
-2.300000,30.089491
-2.150000,35.920920
-2.000000,41.873326
-1.850000,47.813688
-1.700000,53.743119
-1.550000,60.012586
-1.400000,66.598647
-1.250000,74.091339
-1.100000,82.294555
-0.950000,93.035015
-0.800000,104.904982
-0.650000,119.195347
-0.500000,135.772782
-0.350000,147.151802
-0.200000,157.032631
-0.050000,165.448510
0.100000,174.920568
0.250000,182.453437
0.400000,189.995141
0.700000,203.585494
0.850000,208.860148
1.000000,213.493260
1.150000,217.391329
1.300000,218.406598
1.450000,215.183321
1.600000,206.543649
1.750000,195.701907
1.900000,182.901657
2.050000,172.142915
2.350000,167.041019
2.500000,164.634280
2.650000,163.396407
2.800000,162.715736
2.950000,163.939602
3.100000,166.049150
3.250000,167.895440
3.400000,170.339578
3.550000,172.570931
3.700000,174.951974
3.850000,176.833509
4.000000,178.195653
4.150000,179.521952
4.300000,181.049514
4.450000,182.519657
4.600000,183.489130
4.750000,183.992861
4.900000,184.935170
5.050000,186.263694
5.200000,187.133317
5.500000,188.786165
5.650000,189.154648
5.950000,190.034672
6.100000,190.141921
6.250000,190.245987
6.400000,190.125447
6.550000,190.008605
6.700000,189.502277
6.850000,188.246038
7.000000,186.281338
7.150000,182.458074
7.300000,182.931056
7.450000,182.380506
7.600000,182.151781
7.900000,180.710014
8.050000,180.152322
8.200000,179.752481
8.350000,179.057354
8.500000,178.641562
8.650000,178.060943
8.800000,177.309964
8.950000,176.343425
9.100000,175.904652
9.250000,175.596861
9.400000,174.534270
9.550000,173.085144
9.700000,170.123050
9.850000,165.987172
10.000000,165.565179
10.150000,164.575638
10.300000,163.582179
10.450000,162.741017
10.600000,161.782042
10.750000,160.533108
10.900000,158.868624
11.050000,157.682283
11.200000,155.827906
11.350000,153.505613
11.500000,150.329531
11.650000,147.678861
11.800000,144.887261
11.950000,142.075561
12.100000,139.321017
12.250000,136.247729
12.400000,133.367259
12.550000,130.139075
12.700000,127.175727
12.850000,123.764462
13.000000,120.254735
13.150000,116.591463
13.300000,112.725628
13.450000,108.789341
13.600000,104.534336
13.750000,99.566728
13.900000,95.160997
14.050000,91.920290
14.200000,88.234793
14.350000,84.413263
14.500000,80.882714
14.650000,76.870376
14.800000,73.271239
14.950000,69.747481
15.100000,65.944115
15.250000,62.300592
15.400000,58.868012
15.550000,55.502216
15.700000,52.367177
15.850000,48.892624
16.000000,46.180776
16.150000,43.317956
16.300000,40.407470
16.450000,37.874251
16.600000,35.328731
16.750000,33.004946
16.900000,30.760995
17.050000,28.501866
17.200000,26.548628
17.350000,24.665445
17.500000,22.741846
17.650000,20.777639
17.800000,18.538113
18.100000,8.639809
18.250000,8.519890
18.400000,8.086961
18.550000,8.002707
18.700000,7.929719
18.850000,7.833423
19.000000,7.753402
19.150000,7.694989
19.300000,7.652305
19.450000,7.603745
19.600000,7.573507
19.750000,7.532559
19.900000,7.498244
20.050000,7.460791
20.200000,7.416927
20.350000,7.377262
20.500000,7.340969
20.650000,7.286928
20.800000,7.221515
20.950000,7.190893
21.100000,7.161524
21.250000,7.130770
21.400000,7.103574
21.550000,7.072592
21.700000,7.050128
21.850000,7.007811
22.000000,6.983205
22.150000,6.960796
22.300000,6.938409
22.450000,6.917250
22.600000,6.888375
22.750000,6.853980
22.900000,6.831476
23.050000,6.811211
