alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.218100,0.007020,-0.080800,-31.068376,3200000.000000,7.000000,-0.405658,0.007020,0.007020,-57.786006,0.850000
-4.850000,-0.200900,0.006970,-0.080800,-28.823529,3200000.000000,7.000000,-0.373666,0.006970,0.006970,-53.610676,0.850000
-4.700000,-0.183800,0.006790,-0.080900,-27.069219,3200000.000000,7.000000,-0.341861,0.006790,0.006790,-50.347725,0.850000
-4.550000,-0.166400,0.006680,-0.081000,-24.910180,3200000.000000,7.000000,-0.309498,0.006680,0.006680,-46.331993,0.850000
-4.400000,-0.149100,0.006620,-0.081000,-22.522659,3200000.000000,7.000000,-0.277320,0.006620,0.006620,-41.891294,0.850000
-4.250000,-0.131800,0.006560,-0.081100,-20.091463,3200000.000000,7.000000,-0.245143,0.006560,0.006560,-37.369363,0.850000
-4.100000,-0.114400,0.006490,-0.081200,-17.627119,3200000.000000,7.000000,-0.212780,0.006490,0.006490,-32.785775,0.850000
-3.950000,-0.096900,0.006420,-0.081300,-15.093458,3200000.000000,7.000000,-0.180230,0.006420,0.006420,-28.073262,0.850000
-3.800000,-0.079500,0.006360,-0.081400,-12.500000,3200000.000000,7.000000,-0.147867,0.006360,0.006360,-23.249528,0.850000
-3.650000,-0.062200,0.006320,-0.081500,-9.841772,3200000.000000,7.000000,-0.115690,0.006320,0.006320,-18.305324,0.850000
-3.500000,-0.044800,0.006260,-0.081600,-7.156550,3200000.000000,7.000000,-0.083326,0.006260,0.006260,-13.310912,0.850000
-3.350000,-0.027200,0.006210,-0.081700,-4.380032,3200000.000000,7.000000,-0.050591,0.006210,0.006210,-8.146694,0.850000
-3.200000,-0.009800,0.006160,-0.081900,-1.590909,3200000.000000,7.000000,-0.018228,0.006160,0.006160,-2.959031,0.850000
-3.050000,0.007500,0.006080,-0.081900,1.233553,3200000.000000,7.000000,0.013950,0.006080,0.006080,2.294361,0.850000
-2.900000,0.025000,0.006020,-0.082100,4.152824,3200000.000000,7.000000,0.046499,0.006020,0.006020,7.724096,0.850000
