alpha,cl_corrected
-5.000000,-0.402496
-4.850000,-0.370504
-4.700000,-0.338699
-4.550000,-0.307080
-4.400000,-0.275088
-4.250000,-0.242911
-4.100000,-0.211106
-3.950000,-0.179300
-3.800000,-0.147495
-3.650000,-0.115690
-3.500000,-0.083884
-3.350000,-0.051893
-3.200000,-0.019530
-3.050000,0.012834
-2.900000,0.044825
-2.750000,0.077002
-2.600000,0.109552
-2.450000,0.141729
-2.300000,0.173906
-2.150000,0.206084
-2.000000,0.238633
-1.850000,0.270996
-1.700000,0.303174
-1.550000,0.335165
-1.400000,0.367343
-1.250000,0.399520
-1.100000,0.431325
-0.950000,0.463131
-0.800000,0.495680
-0.650000,0.528229
-0.500000,0.560593
-0.350000,0.592770
-0.200000,0.625505
-0.050000,0.658055
0.100000,0.690418
0.400000,0.755145
0.550000,0.787136
0.700000,0.819127
1.000000,0.883110
1.300000,0.947093
1.450000,0.978526
1.600000,1.009587
1.750000,1.039719
1.900000,1.069478
2.050000,1.097564
2.200000,1.120441
2.350000,1.141831
2.500000,1.166010
2.650000,1.190934
2.800000,1.216415
2.950000,1.243013
3.250000,1.298998
3.400000,1.329129
3.700000,1.389950
3.850000,1.420267
4.000000,1.451143
4.150000,1.481646
4.300000,1.511963
4.450000,1.541537
4.600000,1.571110
4.750000,1.601241
4.900000,1.631373
5.050000,1.660760
5.200000,1.690148
5.350000,1.719163
5.500000,1.747621
5.650000,1.775520
5.800000,1.802117
5.950000,1.830203
6.100000,1.858660
6.250000,1.886374
6.400000,1.913901
6.550000,1.941057
6.700000,1.968398
6.850000,1.995367
7.000000,2.021407
7.150000,2.047074
7.300000,2.071998
7.450000,2.096177
7.600000,2.121845
7.750000,2.143978
7.900000,2.167600
8.050000,2.192151
8.200000,2.214471
8.350000,2.231583
8.500000,2.251298
8.650000,2.277896
8.800000,2.303935
8.950000,2.330905
9.100000,2.355828
9.250000,2.380752
9.400000,2.404745
9.550000,2.428553
9.700000,2.451616
9.850000,2.474494
10.000000,2.497371
10.150000,2.518389
10.300000,2.539034
10.450000,2.557820
10.600000,2.572886
10.750000,2.580698
10.900000,2.596135
11.050000,2.614363
11.200000,2.628685
11.350000,2.645424
11.500000,2.661420
11.650000,2.674998
11.800000,2.688389
11.950000,2.703641
12.100000,2.720009
12.250000,2.732842
12.400000,2.748280
12.550000,2.758324
12.700000,2.766508
12.850000,2.765392
13.000000,2.766136
13.150000,2.769298
13.300000,2.763346
13.450000,2.762974
13.600000,2.757580
13.750000,2.750698
13.900000,2.740654
14.050000,2.732099
14.200000,2.717405
14.350000,2.701223
14.500000,2.687459
14.650000,2.663094
14.800000,2.643378
14.950000,2.624965
15.100000,2.596879
15.250000,2.572142
15.400000,2.548148
15.550000,2.519691
15.700000,2.492907
15.850000,2.462590
16.000000,2.435993
16.150000,2.405117
16.300000,2.371080
16.450000,2.325139
16.900000,1.843781
17.050000,1.847500
17.200000,1.853080
17.350000,1.859032
17.500000,1.866100
17.650000,1.873168
17.800000,1.880422
17.950000,1.888792
18.100000,1.897719
18.250000,1.905159
18.400000,1.913529
18.550000,1.922271
18.700000,1.931013
18.850000,1.938825
19.000000,1.944219
19.150000,1.951658
19.300000,1.959284
19.450000,1.967282
19.600000,1.975280
19.750000,1.983278
19.900000,1.991462
20.050000,2.000017
20.200000,2.008945
20.350000,2.017687
20.500000,2.026243
20.650000,2.034985
20.800000,2.043540
