alpha,ld_corrected
-5.000000,-49.937447
-4.850000,-46.371023
-4.700000,-42.765040
-4.550000,-39.168337
-4.400000,-35.541139
-4.250000,-31.753081
-4.100000,-27.887148
-3.950000,-23.843133
-3.800000,-20.122102
-3.650000,-16.180371
-3.500000,-11.915383
-3.350000,-7.455883
-3.200000,-2.838605
-3.050000,1.881780
-2.900000,6.621136
-2.750000,11.441670
-2.600000,16.399966
-2.450000,21.506695
-2.300000,26.631925
-2.150000,31.803058
-2.000000,37.112465
-1.850000,42.475940
-1.700000,48.122832
-1.550000,54.587165
-1.400000,62.579649
-1.250000,72.639979
-1.100000,84.408070
-0.950000,98.120888
-0.800000,108.227059
-0.650000,117.384282
-0.500000,125.693411
-0.350000,133.506748
-0.200000,141.517035
-0.050000,149.557871
0.100000,156.913176
0.400000,170.461549
0.550000,176.487895
0.700000,182.028303
1.000000,193.664487
1.300000,204.114819
1.450000,208.640965
1.600000,211.653562
1.750000,212.621448
1.900000,212.619936
2.050000,208.662302
2.200000,194.183924
2.350000,178.690267
2.500000,169.478244
2.650000,163.141618
2.800000,157.771114
2.950000,154.219944
3.250000,151.574984
3.400000,152.598048
3.700000,155.475365
3.850000,156.762379
4.000000,158.421673
4.150000,160.177936
4.300000,161.534539
4.450000,161.926123
4.600000,162.472605
4.750000,163.726122
4.900000,164.618856
5.050000,165.249778
5.200000,165.538459
5.350000,165.622647
5.500000,165.337796
5.650000,164.399994
5.800000,162.206786
5.950000,162.108310
6.100000,162.045357
6.250000,161.642989
6.400000,161.238511
6.550000,160.550585
6.700000,160.423636
6.850000,160.013430
7.000000,159.040672
7.150000,158.075245
7.300000,156.969539
7.450000,155.849622
7.600000,155.674608
7.750000,155.023749
7.900000,154.058278
8.050000,151.811044
8.200000,148.323578
8.350000,142.048547
8.500000,137.525857
8.650000,137.140020
8.800000,136.489052
8.950000,136.469828
9.100000,135.470279
9.250000,134.657898
9.400000,133.448677
9.550000,132.346195
9.700000,131.032400
9.850000,129.962906
10.000000,129.531705
10.150000,128.554816
10.300000,127.718029
10.450000,126.312101
10.600000,123.755928
10.750000,118.871376
10.900000,116.732701
11.050000,115.526421
11.200000,113.207778
11.350000,111.715552
11.500000,110.066995
11.650000,107.819334
11.800000,105.634161
11.950000,104.026206
12.100000,102.758170
12.250000,100.657182
12.400000,99.215891
12.550000,96.647651
12.700000,93.811726
12.850000,89.408077
13.000000,85.691940
13.150000,82.616281
13.300000,78.348338
13.450000,75.223901
13.600000,71.606855
13.750000,68.086587
13.900000,64.455652
14.050000,61.271552
14.200000,57.706621
14.350000,54.274124
14.500000,51.297183
14.650000,47.734252
14.800000,44.787840
14.950000,42.127503
15.100000,39.074319
15.250000,36.432603
15.400000,34.016129
15.550000,31.539502
15.700000,29.324872
15.850000,27.100143
16.000000,25.167812
16.150000,23.195266
16.300000,21.248139
16.450000,19.063202
16.900000,8.524970
17.050000,8.395058
17.200000,8.294156
17.350000,8.205474
17.500000,8.134700
17.650000,8.067045
17.800000,8.001454
17.950000,7.957498
18.100000,7.926320
18.250000,7.864759
18.400000,7.826615
18.550000,7.792253
18.700000,7.763490
18.850000,7.717944
19.000000,7.630371
19.150000,7.566034
19.300000,7.509138
19.450000,7.461435
19.600000,7.414158
19.750000,7.373602
19.900000,7.334223
20.050000,7.297469
20.200000,7.264048
20.350000,7.226155
20.500000,7.196742
20.650000,7.168215
20.800000,7.139255
