alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.216400,0.008060,-0.080900,-26.848635,1800000.000000,7.000000,-0.402496,0.008060,0.008060,-49.937447,0.850000
-4.850000,-0.199200,0.007990,-0.080900,-24.931164,1800000.000000,7.000000,-0.370504,0.007990,0.007990,-46.371023,0.850000
-4.700000,-0.182100,0.007920,-0.081000,-22.992424,1800000.000000,7.000000,-0.338699,0.007920,0.007920,-42.765040,0.850000
-4.550000,-0.165100,0.007840,-0.081000,-21.058673,1800000.000000,7.000000,-0.307080,0.007840,0.007840,-39.168337,0.850000
-4.400000,-0.147900,0.007740,-0.081000,-19.108527,1800000.000000,7.000000,-0.275088,0.007740,0.007740,-35.541139,0.850000
-4.250000,-0.130600,0.007650,-0.081100,-17.071895,1800000.000000,7.000000,-0.242911,0.007650,0.007650,-31.753081,0.850000
-4.100000,-0.113500,0.007570,-0.081100,-14.993395,1800000.000000,7.000000,-0.211106,0.007570,0.007570,-27.887148,0.850000
-3.950000,-0.096400,0.007520,-0.081200,-12.819149,1800000.000000,7.000000,-0.179300,0.007520,0.007520,-23.843133,0.850000
-3.800000,-0.079300,0.007330,-0.081300,-10.818554,1800000.000000,7.000000,-0.147495,0.007330,0.007330,-20.122102,0.850000
-3.650000,-0.062200,0.007150,-0.081300,-8.699301,1800000.000000,7.000000,-0.115690,0.007150,0.007150,-16.180371,0.850000
-3.500000,-0.045100,0.007040,-0.081400,-6.406250,1800000.000000,7.000000,-0.083884,0.007040,0.007040,-11.915383,0.850000
-3.350000,-0.027900,0.006960,-0.081400,-4.008621,1800000.000000,7.000000,-0.051893,0.006960,0.006960,-7.455883,0.850000
-3.200000,-0.010500,0.006880,-0.081600,-1.526163,1800000.000000,7.000000,-0.019530,0.006880,0.006880,-2.838605,0.850000
-3.050000,0.006900,0.006820,-0.081700,1.011730,1800000.000000,7.000000,0.012834,0.006820,0.006820,1.881780,0.850000
-2.900000,0.024100,0.006770,-0.081700,3.559823,1800000.000000,7.000000,0.044825,0.006770,0.006770,6.621136,0.850000
-2.750000,0.041400,0.006730,-0.081800,6.151560,1800000.000000,7.000000,0.077002,0.006730,0.006730,11.441670,0.850000
-2.600000,0.058900,0.006680,-0.081900,8.817365,1800000.000000,7.000000,0.109552,0.006680,0.006680,16.399966,0.850000
-2.450000,0.076200,0.006590,-0.082000,11.562974,1800000.000000,7.000000,0.141729,0.006590,0.006590,21.506695,0.850000
-2.300000,0.093500,0.006530,-0.082100,14.318530,1800000.000000,7.000000,0.173906,0.006530,0.006530,26.631925,0.850000
-2.150000,0.110800,0.006480,-0.082200,17.098765,1800000.000000,7.000000,0.206084,0.006480,0.006480,31.803058,0.850000
-2.000000,0.128300,0.006430,-0.082400,19.953344,1800000.000000,7.000000,0.238633,0.006430,0.006430,37.112465,0.850000
-1.850000,0.145700,0.006380,-0.082500,22.836991,1800000.000000,7.000000,0.270996,0.006380,0.006380,42.475940,0.850000
-1.700000,0.163000,0.006300,-0.082600,25.873016,1800000.000000,7.000000,0.303174,0.006300,0.006300,48.122832,0.850000
-1.550000,0.180200,0.006140,-0.082800,29.348534,1800000.000000,7.000000,0.335165,0.006140,0.006140,54.587165,0.850000
-1.400000,0.197500,0.005870,-0.083100,33.645656,1800000.000000,7.000000,0.367343,0.005870,0.005870,62.579649,0.850000
-1.250000,0.214800,0.005500,-0.083500,39.054545,1800000.000000,7.000000,0.399520,0.005500,0.005500,72.639979,0.850000
-1.100000,0.231900,0.005110,-0.084000,45.381605,1800000.000000,7.000000,0.431325,0.005110,0.005110,84.408070,0.850000
-0.950000,0.249000,0.004720,-0.084400,52.754237,1800000.000000,7.000000,0.463131,0.004720,0.004720,98.120888,0.850000
-0.800000,0.266500,0.004580,-0.084600,58.187773,1800000.000000,7.000000,0.495680,0.004580,0.004580,108.227059,0.850000
-0.650000,0.284000,0.004500,-0.084800,63.111111,1800000.000000,7.000000,0.528229,0.004500,0.004500,117.384282,0.850000
-0.500000,0.301400,0.004460,-0.084900,67.578475,1800000.000000,7.000000,0.560593,0.004460,0.004460,125.693411,0.850000
